osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,access,width
24342205,True,2,L 82,Koblenzer Straße,secondary,50,False,52.401,"LINESTRING (7.2272108 50.3299895, 7.2269955 50.3300934, 7.2267586 50.3302336, 7.2266504 50.3302955)",,,,
24342205,True,2,L 82,Koblenzer Straße,secondary,50,False,11.374,"LINESTRING (7.2266504 50.3302955, 7.2265631 50.3303093, 7.226493 50.3303059)",,,,
26279395,True,1,,Ettringer Weg,residential,,False,71.22,"LINESTRING (7.2266504 50.3302955, 7.2267133 50.3304862, 7.2266786 50.3306571, 7.2266374 50.3307311, 7.2266105 50.3307793, 7.2265348 50.3309145)",,,,
25947709,True,1,,Im Trinnel,residential,30,False,9.146,"LINESTRING (7.2260879 50.3302802, 7.2261553 50.3302101)",,,,
26231065,False,2,L 82,Koblenzer Straße,secondary,50,False,45.434,"LINESTRING (7.2260879 50.3302802, 7.2260235 50.3302964, 7.2258635 50.3303368, 7.2256669 50.3303969, 7.2256288 50.330414, 7.2255294 50.3304716)",,,,
332380146,False,3,L 82,Habsburgring,secondary,50,False,6.354,"LINESTRING (7.2255294 50.3304716, 7.2254664 50.3305122)",,,,
26231065,False,2,L 82,Koblenzer Straße,secondary,50,True,45.434,"LINESTRING (7.2255294 50.3304716, 7.2256288 50.330414, 7.2256669 50.3303969, 7.2258635 50.3303368, 7.2260235 50.3302964, 7.2260879 50.3302802)",,,,
97798607,False,2,L 82,Auf der Eich,secondary,50,True,50.001000000000005,"LINESTRING (7.2255294 50.3304716, 7.2256231 50.3305278, 7.2257167 50.330584, 7.2258826 50.3306774, 7.2260603 50.3307667)",,,,
"[25947712, 657293186]",False,2,,Im Trinnel,residential,30,False,106.938,"LINESTRING (7.2259418 50.3294001, 7.2261353 50.32945, 7.2262012 50.329467, 7.2264636 50.3295311, 7.2265553 50.3295434, 7.2266409 50.3295476, 7.2267169 50.3295393, 7.2269772 50.3294931, 7.2270216 50.3294858, 7.2270676 50.3294782, 7.2271038 50.3294771, 7.2271486 50.3294805, 7.2273875 50.3295129)",,,,
657266112,True,1,,Im Trinnel,residential,30,False,23.531,"LINESTRING (7.2259418 50.3294001, 7.2259569 50.3293233, 7.2259609 50.3293027, 7.225963 50.3292912, 7.2259815 50.32919)",,,,
25947715,True,1,L 82,Alleestraße,secondary,50,False,54.462,"LINESTRING (7.2273875 50.3295129, 7.2273264 50.3296864, 7.2272108 50.3299895)",,,,
