osmid,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge,tunnel,access,junction
239789276,L 94,Hauptstraße,secondary,50,6,False,False,100.83599999999998,"LINESTRING (8.0609294 48.3455698, 8.0611584 48.3456596, 8.0613678 48.345758, 8.0619515 48.3461614)",,,,
"[239481792, 32975796, 246730015]",K 5354,Unterentersbacher Straße,tertiary,50,,False,True,90.248,"LINESTRING (8.0609294 48.3455698, 8.0609828 48.3454812, 8.0609966 48.3453698, 8.0609765 48.345138, 8.0609706 48.3449919, 8.060947 48.3449001, 8.0609122 48.3447692)",yes,,,
25163590,L 94,Hauptstraße,secondary,40,6,False,False,33.529,"LINESTRING (8.0638471 48.3468656, 8.0642757 48.3469645)",,,,
131695771,L 94,Hauptstraße,secondary,40,,False,True,20.237000000000002,"LINESTRING (8.0638471 48.3468656, 8.0636968 48.3468139, 8.0636054 48.3467801)",,,,
33460962,,Oberentersbacher Straße,unclassified,,,False,False,19.634,"LINESTRING (8.0617468 48.3437334, 8.0617361 48.3437658, 8.0617114 48.3438119, 8.0616503 48.3438972)",,,,
126559837,,Am Kindergarten,residential,,,False,True,28.037,"LINESTRING (8.0617468 48.3437334, 8.0619181 48.3437536, 8.0620886 48.3438297)",,,,
"[239481792, 32975796, 246730015]",K 5354,Unterentersbacher Straße,tertiary,50,,False,False,90.248,"LINESTRING (8.0609122 48.3447692, 8.060947 48.3449001, 8.0609706 48.3449919, 8.0609765 48.345138, 8.0609966 48.3453698, 8.0609828 48.3454812, 8.0609294 48.3455698)",yes,,,
1206385939,,Oberentersbacher Straße,unclassified,,,False,True,18.391,"LINESTRING (8.0609122 48.3447692, 8.0609775 48.3447356, 8.0610637 48.3446411)",,,,
25163590,L 94,Hauptstraße,secondary,40,6,False,False,6.321,"LINESTRING (8.0642757 48.3469645, 8.0643575 48.3469811)",,,,
25163590,L 94,Hauptstraße,secondary,40,6,False,True,33.529,"LINESTRING (8.0642757 48.3469645, 8.0638471 48.3468656)",,,,
31862381,,Turmstraße,residential,30,5,False,False,26.429,"LINESTRING (8.0642757 48.3469645, 8.0644291 48.3467498)",,,,
31862381,,Turmstraße,residential,30,5,False,True,17.975,"LINESTRING (8.0645693 48.3466177, 8.0644291 48.3467498)",,,,
31862403,,Turmstraße,residential,30,5,False,True,51.708,"LINESTRING (8.0645693 48.3466177, 8.0639748 48.3463725)",,,,
31862403,,Turmstraße,residential,30,5,False,False,33.364999999999995,"LINESTRING (8.0645693 48.3466177, 8.0647575 48.346712, 8.0649635 48.3467547)",,,,
31862403,,Turmstraße,residential,30,5,False,True,54.674,"LINESTRING (8.0656705 48.3468995, 8.0649635 48.3467547)",,,,
31862422,,Grabenstraße,residential,30,5,False,True,7.362,"LINESTRING (8.0656705 48.3468995, 8.0656718 48.3469657)",,,,
31862422,,Grabenstraße,residential,30,5,False,False,34.459,"LINESTRING (8.0656705 48.3468995, 8.0656526 48.3468329, 8.0656337 48.3466967, 8.0655648 48.3466017)",,,,
25163590,L 94,Hauptstraße,secondary,40,6,False,True,60.7,"LINESTRING (8.0656167 48.3471794, 8.0648147 48.3470616)",,,,
31863171,,Fabrikstraße,residential,30,,False,False,28.855,"LINESTRING (8.0656167 48.3471794, 8.0655537 48.3474355)",,,,
677661415,,Spitalstraße,residential,30,5,False,False,24.109,"LINESTRING (8.0656167 48.3471794, 8.0656718 48.3469657)",,,,
25163590,L 94,Hauptstraße,secondary,40,6,False,False,41.53,"LINESTRING (8.0656167 48.3471794, 8.06574 48.3471959, 8.0661746 48.3471712)",,,,
31862420,,Fabrikstraße,residential,30,,False,True,6.201,"LINESTRING (8.0655537 48.3474355, 8.0654726 48.3474212)",,,,
31863171,,Fabrikstraße,residential,30,,False,True,28.855,"LINESTRING (8.0655537 48.3474355, 8.0656167 48.3471794)",,,,
"[361418317, 32975621]",,Im Park,residential,30,,False,False,68.564,"LINESTRING (8.0655537 48.3474355, 8.0654094 48.3478964, 8.0653786 48.3479895, 8.0653643 48.3480391)",yes,,,
226746885,,Fabrikstraße,residential,30,4,False,False,83.334,"LINESTRING (8.0655537 48.3474355, 8.0662191 48.3475939, 8.066597 48.347717)",,,,
25163590,L 94,Hauptstraße,secondary,40,6,False,True,8.855,"LINESTRING (8.0666438 48.3471431, 8.0665259 48.3471573)",,,,
248630782,L 94,Hauptstraße,secondary,40,6,False,False,214.06500000000003,"LINESTRING (8.0666438 48.3471431, 8.0666992 48.3471402, 8.0671295 48.3471476, 8.0675938 48.3472314, 8.0682328 48.3473883, 8.0684372 48.3474455, 8.0686797 48.3475232, 8.0689669 48.3476302, 8.0691809 48.3477205, 8.0693236 48.3477873)",,,,
33117839,,Spitalstraße,residential,,,False,False,18.329,"LINESTRING (8.0659894 48.3468487, 8.0659015 48.3468772, 8.0658329 48.346918, 8.0657803 48.3469345)",,,,
"[131695775, 33117838, 33117839]",,Spitalstraße,residential,,,False,True,54.892,"LINESTRING (8.0659894 48.3468487, 8.0661573 48.346686, 8.0662465 48.3465933, 8.0663198 48.3465088, 8.0664037 48.3464397)",yes,,,
254898875,,Grabenstraße,residential,30,5,True,False,59.01599999999999,"LINESTRING (8.0659894 48.3468487, 8.06604 48.3468884, 8.0661084 48.3469226, 8.0664509 48.3470337, 8.0666438 48.3471431)",,,,
1206385935,,Grabenstraße,residential,30,5,False,True,43.013,"LINESTRING (8.0659894 48.3468487, 8.0658932 48.3467332, 8.0655648 48.3466017)",,,,
