osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,maxspeed,access
54955663,2,B 455,primary,False,False,36.13,"LINESTRING (8.5151713 50.193208, 8.5146968 50.1930927)",,,
59091412,2,B 455,primary,False,True,61.495999999999995,"LINESTRING (8.5151713 50.193208, 8.5154398 50.1932662, 8.5157413 50.1933194, 8.5160034 50.1933541)",,,
59614925,,,residential,True,False,96.533,"LINESTRING (8.5218722 50.1868003, 8.5229362 50.1873384)",Am Oberberg,30,
199233478,2,L 3005,secondary,False,False,459.00600000000003,"LINESTRING (8.5133449 50.1875974, 8.5134515 50.1878128, 8.5135043 50.1880421, 8.5135076 50.1882748, 8.5133933 50.1887368, 8.5131325 50.1892539, 8.5127389 50.1901836, 8.5126755 50.1904127, 8.5126438 50.1905447, 8.51263 50.1906567, 8.5126313 50.1907793, 8.5126432 50.1908814, 8.5126916 50.1910266, 8.5127438 50.1911546, 8.5128237 50.1912868, 8.5128879 50.1913768, 8.5129713 50.1914667, 8.5130904 50.1915763)",Hainstraße,50,
198196112,1,,unclassified,True,False,23.444,"LINESTRING (8.5136894 50.193236, 8.5136525 50.1932653, 8.5135754 50.1933001, 8.5134864 50.1933208, 8.5134054 50.1933267)",Am Waldschwimmbad,,yes
"[23210089, 321985620, 1136943173]",3,L 3005,secondary,False,True,80.729,"LINESTRING (8.5136894 50.193236, 8.5136785 50.19321, 8.5136651 50.1931698, 8.513655 50.1931152, 8.5136595 50.1930384, 8.5136647 50.1929741, 8.5136802 50.1928543, 8.5137005 50.1927492, 8.5137073 50.1926943, 8.5137172 50.1926149, 8.5137205 50.192514)",Hainstraße,100,
1057904934,2,B 455,primary_link,False,False,24.552,"LINESTRING (8.5136894 50.193236, 8.5137306 50.1933021, 8.5137703 50.1933575, 8.5138537 50.1934283)",,,
199233481,3,L 3005,secondary,False,False,18.262999999999998,"LINESTRING (8.5137071 50.19235, 8.5137162 50.1924356, 8.5137205 50.192514)",Hainstraße,100,
321985611,1,B 455,primary_link,True,False,20.256,"LINESTRING (8.5137071 50.19235, 8.5138061 50.1923025, 8.5138793 50.1922896, 8.513964 50.1922858)",,,
1057904933,2,L 3005,secondary,False,True,24.842999999999996,"LINESTRING (8.5137071 50.19235, 8.5136926 50.1922688, 8.5136705 50.1921937, 8.5136463 50.1921303)",Hainstraße,100,
8915465,2,,residential,False,False,237.052,"LINESTRING (8.5130904 50.1915763, 8.5132332 50.1915109, 8.5138857 50.1914315, 8.5141288 50.1913938, 8.5144647 50.191414, 8.5148762 50.1914223, 8.5159456 50.1914294, 8.5163585 50.1913754)",Schülerwiesen,30,
199233478,2,L 3005,secondary,False,True,459.00600000000003,"LINESTRING (8.5130904 50.1915763, 8.5129713 50.1914667, 8.5128879 50.1913768, 8.5128237 50.1912868, 8.5127438 50.1911546, 8.5126916 50.1910266, 8.5126432 50.1908814, 8.5126313 50.1907793, 8.51263 50.1906567, 8.5126438 50.1905447, 8.5126755 50.1904127, 8.5127389 50.1901836, 8.5131325 50.1892539, 8.5133933 50.1887368, 8.5135076 50.1882748, 8.5135043 50.1880421, 8.5134515 50.1878128, 8.5133449 50.1875974)",Hainstraße,50,
"[321985616, 199233480]",2,L 3005,secondary,False,False,73.72099999999999,"LINESTRING (8.5130904 50.1915763, 8.5134303 50.1918539, 8.5135132 50.1919403, 8.5135641 50.191995, 8.5136085 50.1920656, 8.5136463 50.1921303)",Hainstraße,"['50', '100']",
8909657,,,residential,False,True,185.403,"LINESTRING (8.5229362 50.1873384, 8.5224674 50.1875709, 8.5217452 50.1879261, 8.5216584 50.1879759, 8.5214787 50.1880791, 8.5212849 50.1882825, 8.5211458 50.1884411, 8.5211281 50.1884952)",Höhenstraße,30,
8916467,,,residential,False,True,131.988,"LINESTRING (8.5229362 50.1873384, 8.5234197 50.1876637, 8.5236554 50.1876835, 8.524299 50.1876423, 8.5245663 50.18763)",Am Oberberg,30,
