osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed,junction
24483799,2,Fröndenberger Straße,unclassified,6.5,False,False,94.487,"LINESTRING (12.9678258 51.0953182, 12.9678309 51.0954388, 12.9677802 51.0961672)",,
24483799,2,Fröndenberger Straße,unclassified,6.5,False,True,156.86699999999996,"LINESTRING (12.9678258 51.0953182, 12.9678063 51.0951891, 12.9677577 51.0949991, 12.9676893 51.0948475, 12.9675834 51.0946521, 12.9675211 51.0945541, 12.9673983 51.0944019, 12.9672432 51.0942395, 12.9670585 51.0940992, 12.9669803 51.0940398)",,
24483799,2,Fröndenberger Straße,unclassified,6.5,False,True,112.02499999999999,"LINESTRING (12.9677966 51.0971658, 12.9677654 51.0971419, 12.9677498 51.0971114, 12.9677458 51.0970629, 12.9677614 51.0966556, 12.9677802 51.0961672)",,
"[24483803, 545184423]","['2', '3']",Flemmingener Straße,unclassified,7.0,False,True,162.711,"LINESTRING (12.9677966 51.0971658, 12.9678362 51.0971822, 12.9678937 51.0971981, 12.9679907 51.0972132, 12.9680495 51.0972208, 12.968168 51.0972377, 12.9682611 51.0972581, 12.9683549 51.0972846, 12.9687621 51.0974339, 12.969064 51.0975416, 12.9691123 51.0975588, 12.9692611 51.0976015, 12.9692953 51.097611, 12.969467 51.0976566, 12.9699174 51.0977518)",,
916909918,2,Flemmingener Straße,residential,5.25,False,False,102.077,"LINESTRING (12.9677966 51.0971658, 12.9677325 51.0971837, 12.9676498 51.0971922, 12.9675547 51.0971881, 12.9672225 51.0971737, 12.9671067 51.0971687, 12.9670029 51.0971642, 12.9666979 51.0971578, 12.966469 51.0971574, 12.9663448 51.0971679)",,
317932775,3,Leipziger Straße,tertiary,,False,False,15.586,"LINESTRING (12.9699174 51.0977518, 12.9699859 51.0976184)",,
"[24483803, 545184423]","['2', '3']",Flemmingener Straße,unclassified,7.0,False,False,162.711,"LINESTRING (12.9699174 51.0977518, 12.969467 51.0976566, 12.9692953 51.097611, 12.9692611 51.0976015, 12.9691123 51.0975588, 12.969064 51.0975416, 12.9687621 51.0974339, 12.9683549 51.0972846, 12.9682611 51.0972581, 12.968168 51.0972377, 12.9680495 51.0972208, 12.9679907 51.0972132, 12.9678937 51.0971981, 12.9678362 51.0971822, 12.9677966 51.0971658)",,
"[317932776, 274137650]",2,Leipziger Straße,tertiary,9.0,False,True,99.819,"LINESTRING (12.9699174 51.0977518, 12.969716 51.0981518, 12.9695741 51.09835, 12.9694592 51.0984691, 12.969394 51.09853, 12.9693511 51.09857)",,
317931214,2,Geschwister-Scholl-Straße,residential,,False,True,29.375,"LINESTRING (12.9656926 51.100324, 12.965737 51.1000613)",,
"[299682530, 317931199]","['2', '3']",Gallbergstraße,residential,,False,True,289.237,"LINESTRING (12.9656926 51.100324, 12.9656267 51.1008462, 12.9653474 51.102782, 12.9653308 51.1029152)",,
538826782,3,Leipziger Straße,tertiary,,False,False,28.926000000000002,"LINESTRING (12.9656926 51.100324, 12.9658739 51.1002167, 12.9659876 51.1001415)",,
25216351,2,Weststraße,unclassified,7.0,False,True,269.288,"LINESTRING (12.9693511 51.09857, 12.969422 51.0986038, 12.9694905 51.0986187, 12.9702662 51.098656, 12.9706492 51.0986762, 12.9714343 51.0987175, 12.9715755 51.0987232, 12.9721956 51.0987482, 12.97242 51.0987559, 12.9727962 51.0987733, 12.9729172 51.0987789, 12.973026 51.098789, 12.9731492 51.0988412)",,
"[317932776, 274137650]",2,Leipziger Straße,tertiary,9.0,False,False,99.819,"LINESTRING (12.9693511 51.09857, 12.969394 51.09853, 12.9694592 51.0984691, 12.9695741 51.09835, 12.969716 51.0981518, 12.9699174 51.0977518)",,
538770848,3,Leipziger Straße,tertiary,,False,True,44.647999999999996,"LINESTRING (12.9693511 51.09857, 12.9691847 51.0986934, 12.9690457 51.0987834, 12.9689097 51.0988596)",,
317932775,3,Leipziger Straße,tertiary,,False,True,15.586,"LINESTRING (12.9699859 51.0976184, 12.9699174 51.0977518)",,
"[25216401, 317932762]","['2', '3']",Dresdener Straße,tertiary,,False,False,126.328,"LINESTRING (12.9699859 51.0976184, 12.9700818 51.0974582, 12.970279 51.0971201, 12.9702915 51.0970957, 12.9703565 51.0969283, 12.9703983 51.0967342, 12.9704185 51.0965235)",,
"[25497792, 317932774]",2,Karl-Marx-Straße,residential,,False,True,125.36300000000001,"LINESTRING (12.9699859 51.0976184, 12.9706365 51.0977148, 12.9709756 51.0977651, 12.9715699 51.0978607, 12.9717309 51.097883)",,
274137654,2,Nordstraße,unclassified,,False,True,17.215,"LINESTRING (12.9732158 51.1000166, 12.973229 51.1001712)",,
"[25216459, 25281359]",2,"['Gartenstraße', 'Otto-Buchwitz-Straße']",residential,5.25,False,True,278.375,"LINESTRING (12.9732158 51.1000166, 12.9721488 51.1000449, 12.9712729 51.1000682, 12.9710258 51.1013411)",,
274137654,2,Nordstraße,unclassified,,False,False,82.207,"LINESTRING (12.9732158 51.1000166, 12.9732124 51.0999648, 12.9731796 51.099464, 12.9731647 51.099278)",,
25216485,2,Damaschkestraße,residential,,False,True,164.53000000000003,"LINESTRING (12.9733205 51.1010879, 12.9720397 51.1013175, 12.9717958 51.1013523, 12.9716665 51.1013633, 12.9715682 51.1013682, 12.9714768 51.10137, 12.9712907 51.1013639, 12.9710258 51.1013411)",,
274137654,2,Nordstraße,unclassified,,False,False,102.153,"LINESTRING (12.9733205 51.1010879, 12.9732328 51.1003139, 12.973229 51.1001712)",,
274137654,2,Nordstraße,unclassified,,False,True,118.72999999999999,"LINESTRING (12.9733205 51.1010879, 12.9733529 51.1013259, 12.9733846 51.101595, 12.9734052 51.101793, 12.9734582 51.1021521)",,
25216506,2,Gabelsbergerstraße,residential,,False,True,89.044,"LINESTRING (12.9734582 51.1021521, 12.9731833 51.1021973, 12.9724093 51.1023273, 12.9722627 51.1024031)",,
274137654,2,Nordstraße,unclassified,,False,False,118.72999999999999,"LINESTRING (12.9734582 51.1021521, 12.9734052 51.101793, 12.9733846 51.101595, 12.9733529 51.1013259, 12.9733205 51.1010879)",,
916909892,2,Döbelner Straße,unclassified,,False,False,94.504,"LINESTRING (12.9777957 51.1006092, 12.977975 51.0997668)",,
25216618,2,Straße des Friedens,residential,,False,True,128.96800000000002,"LINESTRING (12.9777957 51.1006092, 12.9768481 51.1005401, 12.9767878 51.1005349, 12.9766486 51.1005218, 12.9763087 51.1004792, 12.9759725 51.1004311)",,
276123751,2,Döbelner Straße,unclassified,,False,True,180.07299999999998,"LINESTRING (12.9777957 51.1006092, 12.9777016 51.1011125, 12.9776836 51.1012462, 12.9776134 51.1022237)",,
25272979,2,Wiesenstraße,residential,,False,False,154.588,"LINESTRING (12.9674216 51.1018483, 12.967587 51.1008455, 12.9676253 51.1006164, 12.9676518 51.1004656)",,
317931218,2,Leipziger Straße,tertiary,,False,False,5.951,"LINESTRING (12.9678142 51.0992561, 12.9678903 51.099232)",,
25272979,2,Wiesenstraße,residential,,False,True,135.749,"LINESTRING (12.9678142 51.0992561, 12.9678492 51.0993076, 12.9678505 51.0993257, 12.9676518 51.1004656)",,
"[317931218, 317931219]","['2', '3']",Leipziger Straße,tertiary,,False,True,162.64999999999998,"LINESTRING (12.9678142 51.0992561, 12.9672039 51.0994561, 12.9669486 51.0995617, 12.9668399 51.0996116, 12.9666642 51.0997059, 12.9665046 51.0997981, 12.966424 51.0998532, 12.9660971 51.1000671, 12.9659876 51.1001415)",,
317932762,2,Dresdener Straße,tertiary,,False,False,45.766000000000005,"LINESTRING (12.9712704 51.0954447, 12.9715011 51.0951667, 12.9715621 51.0950764)",,
317932762,2,Dresdener Straße,tertiary,,False,True,134.10000000000002,"LINESTRING (12.9712704 51.0954447, 12.9704875 51.096394, 12.9704461 51.0964561, 12.9704185 51.0965235)",,
25216416,2,Pestalozzistraße,residential,5.25,False,False,58.843,"LINESTRING (12.9738202 51.0972051, 12.9738854 51.0966775)",,
