osmid,name,highway,maxspeed,oneway,reversed,length,width,geometry,lanes,ref,tunnel,access
301158586,Schützenstraße,residential,20,False,False,45.616,,"LINESTRING (10.960923 49.4418117, 10.9602921 49.4418148)",,,,
301158586,Schützenstraße,residential,20,False,True,34.971,,"LINESTRING (10.960923 49.4418117, 10.9614064 49.4418009)",,,,
27650400,Kraftstraße,living_street,20,True,False,121.983,5,"LINESTRING (10.960923 49.4418117, 10.9609706 49.4422201, 10.9610319 49.4424395, 10.9611619 49.4428962)",,,,
691025029,Kirchenweg,residential,20,True,False,44.13,4,"LINESTRING (10.9570907 49.4416278, 10.9565751 49.4418402)",,,,
30445037,Marktplatz,residential,20,False,False,22.415,6,"LINESTRING (10.9570907 49.4416278, 10.9573334 49.4416214, 10.9573999 49.4416155)",,,,
30445037,Marktplatz,residential,20,False,True,38.16,6,"LINESTRING (10.9570907 49.4416278, 10.9570499 49.4416277, 10.9568921 49.4416272, 10.956563 49.4416322)",,,,
30445037,Marktplatz,residential,20,False,False,38.160000000000004,6,"LINESTRING (10.956563 49.4416322, 10.9568921 49.4416272, 10.9570499 49.4416277, 10.9570907 49.4416278)",,,,
30609530,Rathausplatz,residential,20,False,True,40.114,5,"LINESTRING (10.956563 49.4416322, 10.9565382 49.4415565, 10.9564439 49.44136, 10.9564121 49.4412853)",,,,
30691511,Kirchenweg,living_street,,False,True,23.146,4.5,"LINESTRING (10.956563 49.4416322, 10.9565649 49.4416854, 10.9565708 49.4417703, 10.9565751 49.4418402)",,,,
"[43698861, 929732447]",Hauptstraße,residential,10,False,True,101.003,"['6', '5']","LINESTRING (10.956563 49.4416322, 10.9562395 49.4416345, 10.9559764 49.4416363, 10.9557769 49.4416741, 10.9552252 49.4418316)",,,,
4603961,Banderbacher Straße,tertiary,,False,True,17.939,8,"LINESTRING (10.9506732 49.4423212, 10.9505075 49.4423249, 10.9504253 49.4423279)",,,,
58732536,Banderbacher Straße,residential,20,False,False,41.021,5,"LINESTRING (10.9506732 49.4423212, 10.9508525 49.4423071, 10.9512391 49.4422999)",,,,
"[4604008, 979710324]",Albert-Einstein-Straße,tertiary,,False,False,63.27199999999999,7,"LINESTRING (10.9506732 49.4423212, 10.9506915 49.4423783, 10.9506976 49.4424051, 10.9507371 49.4426128, 10.9507919 49.4428717, 10.9507941 49.4428846)",2,,,
"[27661854, 392712647]",Hinterm Bahnhof,residential,20,False,True,151.398,,"LINESTRING (10.9592353 49.4440302, 10.9589403 49.4439466, 10.9588102 49.4439408, 10.9582563 49.4440222, 10.9577021 49.4440468, 10.9571836 49.4440453)",2,,,
"[27650398, 26824665, 1244000030]",Fürther Straße,secondary,,False,False,174.171,,"LINESTRING (10.9592353 49.4440302, 10.9593664 49.4439178, 10.9598774 49.4437056, 10.9603454 49.4436385, 10.9609567 49.4435972, 10.9611448 49.4435833, 10.9612899 49.4435525, 10.9614129 49.4434967)",2,St 2242,yes,
"[1244000034, 1244000035, 239629804]",Fürther Straße,secondary,,False,True,71.825,,"LINESTRING (10.9592353 49.4440302, 10.9591414 49.4442399, 10.9591279 49.4445003, 10.9591201 49.4446672)",2,St 2242,,
27661852,Nibelungenstraße,residential,30,False,True,120.105,,"LINESTRING (10.9591201 49.4446672, 10.9574939 49.444888)",,,,
30573359,Saarlandstraße,residential,,False,True,82.69200000000001,,"LINESTRING (10.9591201 49.4446672, 10.9592734 49.444605, 10.9593397 49.444585, 10.9593895 49.4445164, 10.9594165 49.444438, 10.9594665 49.4443234, 10.9595053 49.4442888, 10.9595603 49.4442732, 10.9596303 49.444276, 10.9598888 49.4443279)",,,,
"[1244000034, 1244000035, 239629804]",Fürther Straße,secondary,,False,False,71.825,,"LINESTRING (10.9591201 49.4446672, 10.9591279 49.4445003, 10.9591414 49.4442399, 10.9592353 49.4440302)",2,St 2242,,
239629804,Fürther Straße,secondary,,False,True,170.957,,"LINESTRING (10.9591201 49.4446672, 10.9591146 49.4448651, 10.9591149 49.4449765, 10.959138 49.4453236, 10.9591965 49.4457944, 10.9593078 49.4461963)",2,St 2242,,
58723405,Fürther Straße,residential,20,False,True,13.946,5,"LINESTRING (10.9573999 49.4416155, 10.9575061 49.4417202)",,,,
30445037,Marktplatz,residential,20,False,True,22.415,6,"LINESTRING (10.9573999 49.4416155, 10.9573334 49.4416214, 10.9570907 49.4416278)",,,,
24234835,Kleinstraße,tertiary,,False,True,163.596,,"LINESTRING (10.9555325 49.4438157, 10.954901 49.4439256, 10.9543754 49.4440762, 10.9537704 49.4443209, 10.9535256 49.4444571)",2,,,
24445376,Kleinstraße,residential,20,False,True,40.911,5.5,"LINESTRING (10.9555325 49.4438157, 10.9555047 49.4437491, 10.9554092 49.4435538, 10.9553996 49.4435342, 10.9553218 49.443481)",,,,
"[394315235, 394315236]",Bahnhofstraße,tertiary,,False,False,161.01899999999998,,"LINESTRING (10.9555325 49.4438157, 10.9566681 49.4437872, 10.9571879 49.4437246, 10.9574705 49.44368, 10.9576517 49.4436482, 10.9577331 49.4436359)",,,,
27650401,Bahnhofstraße,secondary,,False,False,13.825,,"LINESTRING (10.9611619 49.4428962, 10.9613381 49.4428479)",2,St 2242,,
1244181336,Bahnhofstraße,tertiary,,False,True,41.729,,"LINESTRING (10.9611619 49.4428962, 10.9608554 49.4429624, 10.9606115 49.443009)",2,,,
1244181336,Bahnhofstraße,tertiary,,False,False,41.729,,"LINESTRING (10.9606115 49.443009, 10.9608554 49.4429624, 10.9611619 49.4428962)",2,,,
"[1244181336, 199276455]",Bahnhofstraße,tertiary,,False,True,154.19,,"LINESTRING (10.9606115 49.443009, 10.960084 49.4431211, 10.9595491 49.4432472, 10.9587218 49.4434439, 10.9586031 49.4434748)",2,,,
27661874,Steinweg,residential,20,False,True,90.445,,"LINESTRING (10.9583436 49.441795, 10.9584153 49.4419569, 10.9587245 49.4421137, 10.9592071 49.4423452)",,,,
"[301158586, 131525563]",Schützenstraße,residential,20,False,False,61.147999999999996,5,"LINESTRING (10.9583436 49.441795, 10.9579466 49.4417524, 10.957705 49.4417317, 10.9575061 49.4417202)",,,,
301158586,Schützenstraße,residential,20,False,True,121.31899999999999,,"LINESTRING (10.9583436 49.441795, 10.9589664 49.4418326, 10.9593647 49.4418231, 10.9594227 49.4418235, 10.9597106 49.4418253, 10.9600186 49.4418245)",,,,
1240078890,Paul-Metz-Straße,tertiary,50,False,True,105.342,4,"LINESTRING (10.9535256 49.4444571, 10.95248 49.4451169)",1,,,
24234835,Kleinstraße,tertiary,,False,False,163.596,,"LINESTRING (10.9535256 49.4444571, 10.9537704 49.4443209, 10.9543754 49.4440762, 10.954901 49.4439256, 10.9555325 49.4438157)",2,,,
1240710645,Burgfarrnbacher Straße,residential,,True,False,30.026,3,"LINESTRING (10.9535256 49.4444571, 10.9533822 49.4443881, 10.9533362 49.444237)",,,,
27650571,Pestalozzistraße,residential,,False,False,91.585,,"LINESTRING (10.9612951 49.4464707, 10.9625449 49.4463361)",,,,
27650571,Pestalozzistraße,residential,,False,True,28.853,,"LINESTRING (10.9612951 49.4464707, 10.9609028 49.4465184)",,,,
24235512,Lessingstraße,residential,30,False,True,144.875,,"LINESTRING (10.9612951 49.4464707, 10.9613266 49.4471755, 10.9613399 49.4475972, 10.9612901 49.4477702)",,,,
30573359,Saarlandstraße,residential,,False,True,67.157,,"LINESTRING (10.9598888 49.4443279, 10.9607817 49.4444944)",,,,
30573359,Saarlandstraße,residential,,False,False,82.69200000000001,,"LINESTRING (10.9598888 49.4443279, 10.9596303 49.444276, 10.9595603 49.4442732, 10.9595053 49.4442888, 10.9594665 49.4443234, 10.9594165 49.444438, 10.9593895 49.4445164, 10.9593397 49.444585, 10.9592734 49.444605, 10.9591201 49.4446672)",,,,
27650571,Pestalozzistraße,residential,,False,False,28.853,,"LINESTRING (10.9609028 49.4465184, 10.9612951 49.4464707)",,,,
27650571,Pestalozzistraße,residential,,False,True,69.914,,"LINESTRING (10.9609028 49.4465184, 10.959945 49.4466053)",,,,
1067482223,,residential,,False,True,63.363,,"LINESTRING (10.9609028 49.4465184, 10.9609062 49.4468803, 10.96068 49.4470273)",,,,
27661856,Saarbrückener Straße,residential,,False,False,20.498,,"LINESTRING (10.9607962 49.4456947, 10.960785 49.4455105)",,,,
27661856,Saarbrückener Straße,residential,,False,True,20.498,,"LINESTRING (10.960785 49.4455105, 10.9607962 49.4456947)",,,,
24235499,Homburger Straße,residential,,True,False,202.39600000000002,,"LINESTRING (10.960785 49.4455105, 10.9597909 49.4454989, 10.9598381 49.4445699, 10.9598888 49.4443279)",,,,
27661856,Saarbrückener Straße,residential,,False,False,112.98599999999999,,"LINESTRING (10.960785 49.4455105, 10.960784 49.4451995, 10.9607817 49.4444944)",,,,
30573359,Saarlandstraße,residential,,False,False,67.157,,"LINESTRING (10.9607817 49.4444944, 10.9598888 49.4443279)",,,,
30573359,Saarlandstraße,residential,,False,True,62.91,,"LINESTRING (10.9607817 49.4444944, 10.9615955 49.4446947)",,,,
27661856,Saarbrückener Straße,residential,,False,True,112.98599999999999,,"LINESTRING (10.9607817 49.4444944, 10.960784 49.4451995, 10.960785 49.4455105)",,,,
24235512,Lessingstraße,residential,30,False,False,144.875,,"LINESTRING (10.9612901 49.4477702, 10.9613399 49.4475972, 10.9613266 49.4471755, 10.9612951 49.4464707)",,,,
394315259,Fürther Straße,secondary,50,False,False,111.917,,"LINESTRING (10.9612901 49.4477702, 10.9612191 49.4477231, 10.9608476 49.4474766, 10.960468 49.4472384, 10.9603499 49.4471643, 10.9601886 49.4470631)",2,St 2242,,
394315259,Fürther Straße,secondary,50,False,True,114.565,,"LINESTRING (10.9612901 49.4477702, 10.9616634 49.4479895, 10.961768 49.4480457, 10.9618725 49.4480992, 10.962511 49.4484263)",2,St 2242,,
27661857,Hauckstraße,residential,,False,False,51.538,,"LINESTRING (10.9618317 49.447, 10.9625444 49.4470109)",,,,
110536407,Burgfarrnbacher Straße,residential,,False,True,25.555,8,"LINESTRING (10.9544664 49.4489458, 10.9544509 49.4487162)",,,,
24445201,Lohengrinstraße,residential,30,False,False,71.543,6,"LINESTRING (10.9544664 49.4489458, 10.9549759 49.4489398, 10.9554559 49.4489342)",,,,
394315245,Burgfarrnbacher Straße,residential,,False,False,129.813,,"LINESTRING (10.9544664 49.4489458, 10.9544647 49.4489731, 10.9544587 49.4490701, 10.9544472 49.4492546, 10.9544415 49.4493469, 10.9544356 49.4495088, 10.9543553 49.4500536, 10.954347 49.4501101)",2,,,
79179719,Virchowstraße,residential,30,False,False,34.486,,"LINESTRING (10.9609035 49.448823, 10.9613637 49.4487413)",,,,
