osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,junction,width
25268548,Borngasse,tertiary,30,False,False,69.815,"LINESTRING (8.9212941 50.8207136, 8.9212356 50.8206878, 8.92113 50.8206446, 8.9207479 50.8204693, 8.9206651 50.8204254, 8.9206239 50.8203905, 8.9206166 50.8203471, 8.9206157 50.8202976)",,,,,
158232465,Borngasse,tertiary,50,False,True,19.500999999999998,"LINESTRING (8.9212941 50.8207136, 8.9214118 50.8207508, 8.9215376 50.8207976)",,,,,
160634089,Brießelstraße,residential,20,False,False,34.824,"LINESTRING (8.9212941 50.8207136, 8.9211151 50.820797, 8.9208933 50.8208979)",,,,,
25065053,Steinweg,residential,30,False,False,193.8,"LINESTRING (8.917525 50.8216378, 8.9173833 50.8218026, 8.9173069 50.8219666, 8.9172504 50.8221433, 8.9172567 50.8223689, 8.9174663 50.8230634, 8.9175231 50.8232386, 8.9175558 50.8233289)",,,,,
25065053,Steinweg,residential,30,False,True,34.36,"LINESTRING (8.917525 50.8216378, 8.9177044 50.8215485, 8.917759 50.8215213, 8.9177964 50.8215035, 8.9179116 50.8214485)",,,,,
26471916,Am Wohraberg,residential,30,False,False,98.10499999999999,"LINESTRING (8.917525 50.8216378, 8.9171837 50.8215893, 8.9168159 50.8216177, 8.9162854 50.8217037, 8.9161609 50.8217239)",1,,,,
25065050,Ziegelgartenstraße,residential,30,False,False,128.99200000000002,"LINESTRING (8.9221137 50.82466, 8.9219598 50.8246066, 8.9214212 50.8243532, 8.9211555 50.8242728, 8.9208703 50.8241921, 8.9205082 50.824115)",1,,,,
25156830,Röthestraße,tertiary,50,False,True,98.67499999999998,"LINESTRING (8.9221137 50.82466, 8.9221855 50.8245648, 8.9222712 50.8244993, 8.9224897 50.8243593, 8.9225192 50.8243467, 8.9225502 50.8243334, 8.9225846 50.8243189, 8.9226533 50.82429, 8.9227421 50.8242598, 8.922856 50.8242302, 8.9229677 50.8242154, 8.9230974 50.8242055, 8.9231694 50.8241955, 8.923219 50.8241844)",2,K 14,,,
1131766791,Röthestraße,tertiary,50,False,False,21.320999999999998,"LINESTRING (8.9221137 50.82466, 8.9220958 50.8247064, 8.9221019 50.8247508, 8.9221173 50.8247942, 8.9221537 50.8248441)",2,K 14,,,
"[865770360, 25065050]",Ziegelgartenstraße,residential,"['50', '30']",False,True,198.586,"LINESTRING (8.918099 50.8249123, 8.9181726 50.8248813, 8.9182296 50.8248525, 8.9188477 50.8245429, 8.9191398 50.8243922, 8.9193627 50.8242797, 8.9194843 50.8242274, 8.9196213 50.8241772, 8.919769 50.8241422, 8.919908 50.824115, 8.9200916 50.8240962, 8.9202655 50.8240926, 8.9203917 50.8240998, 8.9205082 50.824115)",1,,,,
1131766792,Ziegelgartenstraße,residential,50,False,False,23.897,"LINESTRING (8.918099 50.8249123, 8.9178692 50.8249308, 8.9177619 50.8249412)",1,,,,
1131766792,Ziegelgartenstraße,residential,50,False,True,23.897,"LINESTRING (8.9177619 50.8249412, 8.9178692 50.8249308, 8.918099 50.8249123)",1,,,,
25156609,Eisenbahnstraße,unclassified,50,False,False,139.53,"LINESTRING (8.923219 50.8241844, 8.9232811 50.8242089, 8.9235444 50.8242636, 8.923976 50.824348, 8.9243385 50.8244237, 8.9250944 50.8245938)",2,,,,
"[25156610, 25156611, 29376156]",Hindenburgstraße,tertiary,50,False,True,97.835,"LINESTRING (8.923219 50.8241844, 8.9232729 50.824159, 8.9232926 50.824138, 8.9233069 50.8241154, 8.9235885 50.8234375, 8.9236179 50.8233517)",2,K 14,yes,,
25156830,Röthestraße,tertiary,50,False,False,98.675,"LINESTRING (8.923219 50.8241844, 8.9231694 50.8241955, 8.9230974 50.8242055, 8.9229677 50.8242154, 8.922856 50.8242302, 8.9227421 50.8242598, 8.9226533 50.82429, 8.9225846 50.8243189, 8.9225502 50.8243334, 8.9225192 50.8243467, 8.9224897 50.8243593, 8.9222712 50.8244993, 8.9221855 50.8245648, 8.9221137 50.82466)",2,K 14,,,
25064116,Niederrheinische Straße,tertiary,50,False,False,109.68700000000001,"LINESTRING (8.9247062 50.8222239, 8.9247877 50.8222841, 8.9249038 50.8223547, 8.9250344 50.8224285, 8.9251296 50.8224809, 8.9253157 50.8225784, 8.9254744 50.8226532, 8.9256072 50.8227065, 8.9257724 50.8227685, 8.9259318 50.8228268)",,K 14,,,
25065138,Hindenburgstraße,tertiary,50,False,False,149.8,"LINESTRING (8.9247062 50.8222239, 8.9246584 50.8222529, 8.9242669 50.8225197, 8.9241673 50.8225903, 8.9240699 50.82267, 8.9239502 50.8227808, 8.923879 50.8228554, 8.9238338 50.8229016, 8.9237962 50.8229608, 8.9237613 50.8230266, 8.9236431 50.8232879, 8.9236179 50.8233517)",2,K 14,,,
25275146,Niederrheinische Straße,tertiary,50,False,False,33.729,"LINESTRING (8.9247062 50.8222239, 8.924586 50.8221328, 8.9244221 50.8219798)",2,,,,
"[495819624, 25255627, 495819623]",Am Bahnhof,residential,50,False,False,296.878,"LINESTRING (8.9176855 50.823383, 8.9177974 50.8233771, 8.9182091 50.8233544, 8.9183546 50.8233606, 8.918484 50.8233925, 8.9185773 50.8234404, 8.9188347 50.8236274, 8.9189647 50.8237079, 8.9189965 50.8237276, 8.9190362 50.8237402, 8.919069 50.8237442, 8.9191023 50.8237434, 8.9191345 50.8237378, 8.9204931 50.8235644, 8.9210042 50.8234976, 8.921133 50.8234576, 8.9211707 50.8234441, 8.9214148 50.8233378, 8.9214863 50.8233151, 8.9215438 50.823302)",1,,,,
1176944686,Steinweg,residential,,True,False,10.432000000000002,"LINESTRING (8.9176855 50.823383, 8.9176848 50.8234017, 8.9176755 50.8234196, 8.9176585 50.823435, 8.9176352 50.8234466, 8.9176076 50.8234535)",,,,roundabout,
25156828,Ziegelgartenstraße,residential,30,False,False,58.399,"LINESTRING (8.9205082 50.824115, 8.9199258 50.8244898)",1,,,,
"[865770360, 25065050]",Ziegelgartenstraße,residential,"['50', '30']",False,False,198.586,"LINESTRING (8.9205082 50.824115, 8.9203917 50.8240998, 8.9202655 50.8240926, 8.9200916 50.8240962, 8.919908 50.824115, 8.919769 50.8241422, 8.9196213 50.8241772, 8.9194843 50.8242274, 8.9193627 50.8242797, 8.9191398 50.8243922, 8.9188477 50.8245429, 8.9182296 50.8248525, 8.9181726 50.8248813, 8.918099 50.8249123)",1,,,,
25065050,Ziegelgartenstraße,residential,30,False,True,128.992,"LINESTRING (8.9205082 50.824115, 8.9208703 50.8241921, 8.9211555 50.8242728, 8.9214212 50.8243532, 8.9219598 50.8246066, 8.9221137 50.82466)",1,,,,
25156828,Ziegelgartenstraße,residential,30,False,True,58.399,"LINESTRING (8.9199258 50.8244898, 8.9205082 50.824115)",1,,,,
26416313,Pestalozzistraße,residential,30,False,False,81.569,"LINESTRING (8.9221537 50.8248441, 8.9220067 50.8249035, 8.9216023 50.8250699, 8.9213191 50.8251833, 8.9211755 50.8252394)",1,,,,
1131766791,Röthestraße,tertiary,50,False,True,21.320999999999998,"LINESTRING (8.9221537 50.8248441, 8.9221173 50.8247942, 8.9221019 50.8247508, 8.9220958 50.8247064, 8.9221137 50.82466)",2,K 14,,,
25451290,Römerstraße,residential,50,False,False,108.911,"LINESTRING (8.9216689 50.8232095, 8.9216771 50.8231761, 8.9217018 50.82313, 8.9217385 50.8230899, 8.9219237 50.8229583, 8.9221629 50.8227882, 8.922195 50.8227654, 8.9226297 50.8224522)",1,,,,
1077252112,Am Bahnhof,residential,50,True,False,6.213,"LINESTRING (8.9216689 50.8232095, 8.921721 50.8232243, 8.9217423 50.8232388)",1,,,roundabout,
28553627,Am Amöneburger Tor,tertiary,50,False,False,27.901,"LINESTRING (8.9173854 50.8177537, 8.9174397 50.8178178, 8.9174965 50.8178996, 8.9175512 50.8179815)",,,,,
"[25268547, 165046107, 29066510]",Am Amöneburger Tor,tertiary,50,False,True,88.506,"LINESTRING (8.9173854 50.8177537, 8.9172969 50.8176347, 8.9172066 50.817512, 8.9170099 50.8172548, 8.916903 50.8171432, 8.9168664 50.817093, 8.9168249 50.8170415)",2,,,,
"[253794832, 294556888, 253794831]",Unterm Berg,residential,50,False,True,131.50900000000001,"LINESTRING (8.9173854 50.8177537, 8.916466 50.8177937, 8.9162721 50.8178222, 8.9161452 50.8178376, 8.916019 50.8178257, 8.9155432 50.8177406)",1,,yes,,
26456088,Am Amöneburger Tor,residential,50,False,True,112.71,"LINESTRING (8.9175512 50.8179815, 8.9171578 50.8180791, 8.9171186 50.8181042, 8.9170938 50.8181241, 8.9170758 50.8181562, 8.9170824 50.8181936, 8.9171014 50.8182386, 8.9171882 50.8183752, 8.9172255 50.8184339, 8.917244 50.8184406, 8.9172654 50.8184422, 8.917295 50.8184431, 8.9173374 50.818438, 8.9177659 50.8183514)",1,,,,
28553627,Am Amöneburger Tor,tertiary,50,False,False,29.623,"LINESTRING (8.9175512 50.8179815, 8.9175762 50.8180208, 8.9176023 50.8180556, 8.9176701 50.8181728, 8.9176879 50.8181991, 8.917704 50.8182296)",,,,,
28553627,Am Amöneburger Tor,tertiary,50,False,True,27.901,"LINESTRING (8.9175512 50.8179815, 8.9174965 50.8178996, 8.9174397 50.8178178, 8.9173854 50.8177537)",,,,,
28553627,Am Amöneburger Tor,tertiary,50,False,True,14.225,"LINESTRING (8.9177659 50.8183514, 8.917704 50.8182296)",,,,,
26456088,Am Amöneburger Tor,residential,50,False,False,112.71000000000002,"LINESTRING (8.9177659 50.8183514, 8.9173374 50.818438, 8.917295 50.8184431, 8.9172654 50.8184422, 8.917244 50.8184406, 8.9172255 50.8184339, 8.9171882 50.8183752, 8.9171014 50.8182386, 8.9170824 50.8181936, 8.9170758 50.8181562, 8.9170938 50.8181241, 8.9171186 50.8181042, 8.9171578 50.8180791, 8.9175512 50.8179815)",1,,,,
28553627,Am Amöneburger Tor,tertiary,50,False,False,61.354,"LINESTRING (8.9177659 50.8183514, 8.9178777 50.8185931, 8.9179425 50.8187803, 8.9179495 50.8188065, 8.9179712 50.8188871)",,,,,
435459496,Am Amöneburger Tor,tertiary,50,False,False,6.235,"LINESTRING (8.9179712 50.8188871, 8.9179907 50.8189418)",,,,,
26455852,In der Ecke,residential,50,False,True,33.842,"LINESTRING (8.9179712 50.8188871, 8.9177056 50.8189345, 8.9175279 50.819)",1,,,,
28553627,Am Amöneburger Tor,tertiary,50,False,True,61.354,"LINESTRING (8.9179712 50.8188871, 8.9179495 50.8188065, 8.9179425 50.8187803, 8.9178777 50.8185931, 8.9177659 50.8183514)",,,,,
26455654,Mühlgasse,residential,30,False,True,13.728000000000002,"LINESTRING (8.9207494 50.8195585, 8.9208105 50.8195608, 8.9209359 50.819591)",1,,,,
