osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,width,lanes,junction
23275566,Marktplatz,unclassified,30,False,False,82.99099999999999,"LINESTRING (11.6874554 50.0117548, 11.6875128 50.0116757, 11.6875483 50.0116648, 11.6879994 50.0115267, 11.6883258 50.0114386, 11.688448 50.0114056)",,,,,
38147336,Bernecker Straße,secondary,50,False,True,67.646,"LINESTRING (11.6874554 50.0117548, 11.6874621 50.0119048, 11.6873125 50.0123529)",St 2163,,,,
"[1242556273, 38147338, 206079420]",Bayreuther Straße,secondary,50,False,False,39.731,"LINESTRING (11.6874554 50.0117548, 11.6874048 50.0116401, 11.687341 50.0115211, 11.6872947 50.0114129)",St 2163,yes,,,
394043719,Bachgasse,residential,30,False,True,50.669,"LINESTRING (11.6874554 50.0117548, 11.6869818 50.0119372, 11.6868477 50.0119896)",,,,,
23275566,Marktplatz,unclassified,30,False,True,82.991,"LINESTRING (11.688448 50.0114056, 11.6883258 50.0114386, 11.6879994 50.0115267, 11.6875483 50.0116648, 11.6875128 50.0116757, 11.6874554 50.0117548)",,,,,
"[350276250, 24226516, 24226517, 128108695]","['Sickenreuther Straße', 'Marktplatz']",unclassified,30,False,False,298.88599999999997,"LINESTRING (11.688448 50.0114056, 11.688882 50.0113038, 11.6890555 50.0112612, 11.6892905 50.0111764, 11.6894185 50.0111302, 11.6894607 50.011115, 11.6901601 50.0107025, 11.6904259 50.0105093, 11.690444 50.0104962, 11.6908961 50.010168, 11.6910437 50.010064, 11.6911521 50.0099104, 11.6911698 50.0098838, 11.6913595 50.0095978)",,,3,,
"[38147333, 67918534, 67918535]",Marktplatz,residential,,False,False,30.861,"LINESTRING (11.688448 50.0114056, 11.6883509 50.0112974, 11.6882812 50.0112091, 11.6882425 50.0111616)",,yes,,,
67918536,Marktplatz,residential,30,False,False,4.162,"LINESTRING (11.6882425 50.0111616, 11.6881866 50.0111721)",,,,,
"[140824661, 67918533, 24226518]","['Kirchgasse', 'Marktplatz']",residential,30,False,False,98.17300000000002,"LINESTRING (11.6882425 50.0111616, 11.6886922 50.0110708, 11.6887412 50.0110616, 11.6886408 50.0108795, 11.688424 50.0106041, 11.6883878 50.0105652)",,,,,
"[38147333, 67918534, 67918535]",Marktplatz,residential,,False,True,30.861,"LINESTRING (11.6882425 50.0111616, 11.6882812 50.0112091, 11.6883509 50.0112974, 11.688448 50.0114056)",,yes,,,
24226515,Leisauer Straße,unclassified,30,False,True,264.56399999999996,"LINESTRING (11.6873125 50.0123529, 11.6870493 50.0124193, 11.6868877 50.0124822, 11.6867447 50.01255, 11.6865227 50.0127092, 11.6863393 50.0128202, 11.6862221 50.0128912, 11.6858688 50.0130539, 11.685363 50.0133255, 11.6851192 50.0134936, 11.6850259 50.0135579, 11.6845036 50.0138757)",,,,,
38147336,Bernecker Straße,secondary,50,False,False,67.646,"LINESTRING (11.6873125 50.0123529, 11.6874621 50.0119048, 11.6874554 50.0117548)",St 2163,,,,
206079419,Bayreuther Straße,secondary,50,False,True,48.658,"LINESTRING (11.6869947 50.0108351, 11.6872193 50.0112482)",St 2163,,,,
71292925,Kirchgasse,residential,30,False,False,70.457,"LINESTRING (11.6869947 50.0108351, 11.6878518 50.0106765, 11.6879422 50.0106598)",,,,,
206079419,Bayreuther Straße,secondary,50,False,False,34.857,"LINESTRING (11.6869947 50.0108351, 11.6868501 50.010706, 11.6867368 50.0106487, 11.6866613 50.0106105)",St 2163,,,,
71132487,Kellergasse,residential,30,False,False,43.276,"LINESTRING (11.6857096 50.0088578, 11.6861795 50.0086123)",,,,,
206079419,Bayreuther Straße,secondary,50,False,False,94.756,"LINESTRING (11.6857096 50.0088578, 11.6856024 50.0087169, 11.6851331 50.0080904)",St 2163,,,,
206079419,Bayreuther Straße,secondary,50,False,True,92.35,"LINESTRING (11.6857096 50.0088578, 11.685759 50.0090788, 11.6857188 50.0095194, 11.6857198 50.0096853)",St 2163,,,,
23908067,Weizbühl,residential,30,False,False,55.081,"LINESTRING (11.6851331 50.0080904, 11.6847009 50.0081784, 11.684401 50.0082452)",,,,,
"[206079419, 140824645, 325934046]",Bayreuther Straße,secondary,50,False,False,324.086,"LINESTRING (11.6851331 50.0080904, 11.6849109 50.0076767, 11.6848451 50.0075484, 11.6847259 50.0073157, 11.6846624 50.0071918, 11.6845594 50.0069922, 11.684455 50.006787, 11.684374 50.0066326, 11.6843426 50.0065717, 11.6842468 50.006386, 11.6841015 50.0061044, 11.6840473 50.0059993, 11.6839526 50.0058813, 11.6835409 50.0053682)",St 2163,,,2,
