osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,bridge
8015115,Maaseiker Straße,tertiary,50,False,False,138.662,"LINESTRING (6.2757414 51.1388164, 6.2758703 51.1387364, 6.2762569 51.1385684, 6.2765699 51.1384356, 6.2769072 51.1382387, 6.2770183 51.1381688, 6.277217 51.1379957)",,,
24414796,Maaseiker Straße,tertiary,50,False,True,66.284,"LINESTRING (6.2757414 51.1388164, 6.275516 51.1389999, 6.2751544 51.1392851)",,,
8015115,Maaseiker Straße,tertiary,50,False,True,138.662,"LINESTRING (6.277217 51.1379957, 6.2770183 51.1381688, 6.2769072 51.1382387, 6.2765699 51.1384356, 6.2762569 51.1385684, 6.2758703 51.1387364, 6.2757414 51.1388164)",,,
8015117,Kreuzherrenstraße,tertiary,50,False,False,182.298,"LINESTRING (6.277217 51.1379957, 6.2774135 51.1381089, 6.2779641 51.1385328, 6.2780268 51.138583, 6.2783108 51.1388004, 6.2789079 51.1392436)",,,
"[8015120, 557044737, 557044735]",Beecker Straße,tertiary,50,False,False,140.18,"LINESTRING (6.2800855 51.1402989, 6.2802352 51.140268, 6.2803762 51.1402326, 6.2806729 51.1401415, 6.2809281 51.140056, 6.2811707 51.1399768, 6.2814639 51.139865, 6.2818516 51.1397055)",,,
8015120,Beecker Straße,tertiary,50,False,True,47.807,"LINESTRING (6.2800855 51.1402989, 6.2799599 51.1403207, 6.2798554 51.1403364, 6.2797144 51.1403477, 6.2795492 51.140342, 6.2794961 51.1403353, 6.2794148 51.1403183)",,,
"[14261656, 8097231]",Birkenallee,residential,30,False,False,341.4150000000001,"LINESTRING (6.2800855 51.1402989, 6.2808094 51.1413514, 6.2809082 51.1414876, 6.2802993 51.1417142, 6.2800286 51.1418231, 6.2794671 51.1420273, 6.2793702 51.1420995, 6.2792657 51.1421261, 6.2789808 51.1421984, 6.2784429 51.1423332)",,,
8015117,Kreuzherrenstraße,tertiary,50,False,True,132.341,"LINESTRING (6.2794148 51.1403183, 6.2795059 51.1401596, 6.2795258 51.1400701, 6.2795221 51.1399805, 6.2794886 51.1398665, 6.2793954 51.1397103, 6.2792206 51.139517, 6.2789732 51.1392975, 6.2789079 51.1392436)",,,
8015120,Beecker Straße,tertiary,50,False,False,47.806999999999995,"LINESTRING (6.2794148 51.1403183, 6.2794961 51.1403353, 6.2795492 51.140342, 6.2797144 51.1403477, 6.2798554 51.1403364, 6.2799599 51.1403207, 6.2800855 51.1402989)",,,
"[8016753, 92509010]",Kreuzherrenstraße,tertiary,30,False,False,205.20999999999998,"LINESTRING (6.2794148 51.1403183, 6.279313 51.1404496, 6.2792139 51.1405777, 6.2791673 51.1407009, 6.27917 51.1407832, 6.2792252 51.1409574, 6.279245 51.1410502, 6.279249 51.1411534, 6.2791921 51.1412883, 6.279065 51.1414283, 6.2789302 51.1415142, 6.2787976 51.1415685, 6.2785988 51.1416153, 6.2783252 51.141675, 6.2782254 51.1417099, 6.2781578 51.1417611)",,,
