osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,tunnel,access,junction
155570075,True,2,B 51,Konrad-Adenauer-Ufer,primary,50,False,68.736,"LINESTRING (6.9624977 50.941833, 6.9625519 50.9421618, 6.9625582 50.9422125, 6.9625856 50.9424486)",,,,
155570078,True,2,,Trankgasse,residential,50,False,29.844,"LINESTRING (6.9624977 50.941833, 6.9624046 50.9419355, 6.9623584 50.9419727, 6.9622786 50.9419978, 6.9622047 50.9420031)",,,,
171952941,True,2,,Heumarkt,secondary,,False,15.84,"LINESTRING (6.9630327 50.9349452, 6.9632282 50.9350167)",,,,
171952935,True,2,B 51,Am Leystapel,primary,50,False,41.192,"LINESTRING (6.9630327 50.9349452, 6.9630329 50.9349057, 6.9630333 50.9348469, 6.963042 50.9345748)",,,,
23568269,True,2,,,secondary_link,50,False,29.521,"LINESTRING (6.9536122 50.9352192, 6.9534696 50.9352225, 6.9533481 50.9352177, 6.953309 50.9352146, 6.9532758 50.9352075, 6.9532318 50.9351963, 6.9532003 50.9351868)",,,,
23692033,True,1,,,secondary_link,50,False,35.876,"LINESTRING (6.9536122 50.9352192, 6.9534695 50.9353203, 6.9532771 50.9354631)",,,,
303244422,True,2,L 111,Cäcilienstraße,secondary,50,False,27.668,"LINESTRING (6.9536122 50.9352192, 6.9533667 50.9352713, 6.9532354 50.9352931)",,,,
303244424,True,5,L 111,Cäcilienstraße,secondary,50,False,42.641999999999996,"LINESTRING (6.9542015 50.9351236, 6.9540014 50.9351551, 6.9536122 50.9352192)",,,,
"[322860621, 23691831]",False,"['2', '3']",,An St. Agatha,residential,50,True,109.89899999999999,"LINESTRING (6.9542015 50.9351236, 6.9542522 50.9351822, 6.9542927 50.9352315, 6.9544429 50.935403, 6.9545736 50.9355542, 6.9547018 50.9357414, 6.9548127 50.9360271)",,,,
"[367049195, 37276375]",True,2,,Neuköllner Straße,secondary_link,50,False,99.238,"LINESTRING (6.9529839 50.9349064, 6.9530429 50.934217, 6.9530815 50.9340164)",,,,
48586924,True,2,L 111,Cäcilienstraße,secondary,50,False,17.177,"LINESTRING (6.9532354 50.9352931, 6.9529992 50.9353344)",,,,
"[5667167, 768602479]",True,2,,,secondary_link,50,False,20.313,"LINESTRING (6.9532354 50.9352931, 6.9532649 50.9353162, 6.9532841 50.9353357, 6.9532903 50.9353452, 6.9532962 50.935358, 6.953299 50.9353733, 6.9532984 50.9353908, 6.9532903 50.9354251, 6.9532771 50.9354631)",,,,
48591705,True,2,,,secondary_link,50,False,14.837,"LINESTRING (6.9529992 50.9353344, 6.953134 50.9352315)",,,,
"[639959617, 1075393377, 30743982, 100132117, 142518653]",True,"['2', '3']",L 111,"['Cäcilienstraße', 'Pipinstraße']",secondary,50,False,248.081,"LINESTRING (6.9536798 50.9350248, 6.9538759 50.9350008, 6.9540953 50.934974, 6.9543912 50.934943, 6.9546819 50.9349273, 6.9548929 50.9349226, 6.9551011 50.934921, 6.9552798 50.9349239, 6.9554557 50.9349313, 6.9557136 50.934956, 6.9558939 50.9349769, 6.955996 50.9349911, 6.9561256 50.9350068, 6.9561889 50.9350143, 6.9563735 50.9350594, 6.9567115 50.9351118, 6.9569421 50.9351355, 6.9571674 50.9351464)",,,,
"[23568083, 136417821]",True,1,,,secondary_link,50,False,38.813,"LINESTRING (6.953361 50.934766, 6.9534076 50.9348611, 6.9534324 50.9349067, 6.953458 50.9349347, 6.9534896 50.9349537, 6.9535411 50.9349844, 6.9536061 50.9350088, 6.9536798 50.9350248)",,,,
48591635,True,2,,Neuköllner Straße,secondary_link,50,False,37.138999999999996,"LINESTRING (6.953361 50.934766, 6.9533493 50.9348702, 6.9533442 50.9349254, 6.9533326 50.9349684, 6.9533146 50.9350093, 6.9532775 50.9350481, 6.9532356 50.9350819)",,,,
23568429,True,2,,,secondary_link,50,False,11.485,"LINESTRING (6.9532356 50.9350819, 6.953126 50.9351587)",,,,
48587086,True,2,L 111,Cäcilienstraße,secondary,50,False,18.729,"LINESTRING (6.9532356 50.9350819, 6.9534951 50.9350416)",,,,
48587087,True,2,L 111,Cäcilienstraße,secondary,50,False,12.901,"LINESTRING (6.9530592 50.9351151, 6.9532356 50.9350819)",,,,
23568275,True,2,,Neuköllner Straße,secondary_link,50,False,24.212999999999997,"LINESTRING (6.9530592 50.9351151, 6.9530364 50.9350931, 6.9530174 50.9350689, 6.9530066 50.935049, 6.9529979 50.9350184, 6.9529938 50.9349904, 6.9529839 50.9349064)",,,,
"[115851528, 142518652]",True,2,L 111,Augustinerstraße,secondary,50,False,161.89600000000002,"LINESTRING (6.960305 50.935872, 6.9601015 50.9358357, 6.9596299 50.9357969, 6.9594103 50.935777, 6.9592539 50.9357579, 6.959035 50.9357052, 6.9582721 50.9355207, 6.9582052 50.9355012, 6.9581009 50.9354679)",,,,
203486082,True,4,,Tunisstraße,primary,50,False,68.603,"LINESTRING (6.9531309 50.9398701, 6.953206 50.9395115, 6.9532162 50.9394036, 6.9532092 50.9392565)",,,,
35282302,True,1,,Glockengasse,residential,,False,20.565,"LINESTRING (6.9532186 50.9382764, 6.9531509 50.9382544, 6.9530625 50.9382166, 6.9529856 50.9381666)",,,,
78419226,True,4,,Offenbachplatz,primary,,False,10.646,"LINESTRING (6.9532186 50.9382764, 6.9532359 50.9383144, 6.9532564 50.9383691)",,,,
30095780,False,1,,Königstraße,residential,,True,37.833000000000006,"LINESTRING (6.9597724 50.9342195, 6.9596505 50.934239, 6.959363 50.9342247, 6.9592374 50.9342212)",,,,
36695921,False,,,Rheingasse,residential,,False,138.989,"LINESTRING (6.9597724 50.9342195, 6.9598543 50.9342073, 6.9599229 50.9341971, 6.9604595 50.9342177, 6.9608566 50.9342436, 6.9612992 50.9342705, 6.9615784 50.9342811, 6.9617459 50.9342781)",3,,,
288162959,False,3,,Am Malzbüchel,secondary,50,True,44.481,"LINESTRING (6.9597724 50.9342195, 6.9598884 50.9345044, 6.9599404 50.9346051)",,,,
32308866,True,2,,Heumarkt,secondary,50,False,43.191,"LINESTRING (6.9601478 50.9347624, 6.9603176 50.9348728, 6.9604069 50.9349492, 6.9604668 50.9350004, 6.9605269 50.9350665)",,,,
"[37276384, 288162960, 64025975]",True,"['2', '1']",,Heumarkt,secondary,,False,57.594,"LINESTRING (6.9601478 50.9347624, 6.9603514 50.9348108, 6.960438 50.9348263, 6.9605651 50.9348429, 6.9608189 50.9348703, 6.9608447 50.9348728, 6.9609438 50.9348846)",,,,
"[332665336, 23487084]",False,1,,Plectrudengasse,residential,,False,52.062000000000005,"LINESTRING (6.9599404 50.9346051, 6.9597621 50.9346322, 6.9594612 50.934624, 6.9592031 50.934617)",,,,
63530469,False,4,,Am Malzbüchel,secondary,50,True,15.447000000000001,"LINESTRING (6.9599404 50.9346051, 6.9600326 50.9347113, 6.9600517 50.9347245)",,,,
288162959,False,3,,Am Malzbüchel,secondary,50,False,44.481,"LINESTRING (6.9599404 50.9346051, 6.9598884 50.9345044, 6.9597724 50.9342195)",,,,
4534408,True,2,,Heumarkt,secondary,50,False,19.274,"LINESTRING (6.9605269 50.9350665, 6.9606239 50.9352287)",,,,
"[1011698907, 37873580]",True,2,,Heumarkt,secondary,,False,35.872,"LINESTRING (6.9605269 50.9350665, 6.9606132 50.9350132, 6.9606924 50.9349692, 6.9608213 50.9349198, 6.9609438 50.9348846)",,,,
