osmid,oneway,lanes,name,highway,reversed,length,geometry,width,ref,maxspeed,tunnel,junction
5019885,False,2,Schmöllnsche Straße,tertiary,False,94.39099999999999,"LINESTRING (12.4327225 50.9834903, 12.4325441 50.9835127, 12.4321853 50.9835629, 12.4314019 50.9836616)",,,,,
"[224540968, 175511029]",False,2,"['Roßplan', 'Teichstraße']",tertiary,True,94.42,"LINESTRING (12.4327225 50.9834903, 12.4327695 50.98345, 12.432778 50.9834016, 12.4327855 50.983305, 12.4327964 50.9831643, 12.4328229 50.9831121, 12.4328644 50.9830772, 12.4335149 50.9830134)",,,,,
291213205,False,,Moritzstraße,living_street,True,120.13,"LINESTRING (12.4327225 50.9834903, 12.4327408 50.983586, 12.432792 50.9837084, 12.4328355 50.9838719, 12.4328758 50.9841305, 12.4329132 50.9845112, 12.4328755 50.9845556)",,,,,
5019885,False,2,Schmöllnsche Straße,tertiary,True,94.39099999999999,"LINESTRING (12.4314019 50.9836616, 12.4321853 50.9835629, 12.4325441 50.9835127, 12.4327225 50.9834903)",,,,,
"[979461120, 979461118, 979461119]",False,2,Schmöllnsche Straße,tertiary,False,151.92700000000002,"LINESTRING (12.4314019 50.9836616, 12.4311044 50.9837002, 12.4306991 50.9837434, 12.4303463 50.9837651, 12.4301075 50.9837617, 12.4299714 50.983751, 12.4297069 50.9837303, 12.429252 50.9836943)",,,,,
27190456,False,2,Schmöllnsche Vorstadt,tertiary,True,118.453,"LINESTRING (12.4275695 50.9836098, 12.4276384 50.9835982, 12.428341 50.9836401, 12.429252 50.9836943)",,,,,
27190457,False,3,Schmöllnsche Vorstadt,tertiary,False,51.424,"LINESTRING (12.4275695 50.9836098, 12.427426 50.9836443, 12.4273016 50.9836857, 12.4272059 50.9837328, 12.4271577 50.9837668, 12.4271076 50.9838132, 12.427018 50.9838946)",,,,,
27190456,False,2,Schmöllnsche Vorstadt,tertiary,False,118.453,"LINESTRING (12.429252 50.9836943, 12.428341 50.9836401, 12.4276384 50.9835982, 12.4275695 50.9836098)",,,,,
"[979461120, 979461118, 979461119]",False,2,Schmöllnsche Straße,tertiary,True,151.92700000000002,"LINESTRING (12.429252 50.9836943, 12.4297069 50.9837303, 12.4299714 50.983751, 12.4301075 50.9837617, 12.4303463 50.9837651, 12.4306991 50.9837434, 12.4311044 50.9837002, 12.4314019 50.9836616)",,,,,
"[979461123, 979467668, 979467669, 5196862]",False,2,Johannisgraben,residential,False,113.528,"LINESTRING (12.429252 50.9836943, 12.4292875 50.9839345, 12.4292771 50.9841888, 12.4292627 50.9843226, 12.4292449 50.9845268, 12.4292406 50.9845967, 12.4292392 50.9847135)",,,,,
