osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,width,access,junction
"[42482727, 40215983]",2,B 13,Ringstraße,primary,50,False,True,248.83100000000002,"LINESTRING (10.2319801 49.546076, 10.2321658 49.5458493, 10.2326242 49.5453507, 10.2326621 49.5452934, 10.2327407 49.5452169, 10.2329419 49.5450225, 10.2330061 49.5449614, 10.2333458 49.5446379, 10.2333831 49.5445968, 10.2336238 49.5443316, 10.2336644 49.5442675, 10.2337003 49.5441479)",,,,,
"[40215984, 36945171]",2,,Bahnhofstraße,secondary,50,False,True,103.717,"LINESTRING (10.2319801 49.546076, 10.2323139 49.5461798, 10.2332779 49.5464772)",,,,,
"[44013222, 27705737, 27705738, 44013118, 44013119]",,,Luitpoldstraße,residential,,False,True,71.565,"LINESTRING (10.2319801 49.546076, 10.2317901 49.5459888, 10.2317264 49.5459525, 10.2315661 49.5458613, 10.2314827 49.5458159, 10.231383 49.5457542, 10.2313502 49.5457355, 10.2312584 49.5456831, 10.2312218 49.5456623)",,,,,
"[46874563, 298423982]","['2', '3']",B 13,Ringstraße,primary,50,False,False,124.834,"LINESTRING (10.2319801 49.546076, 10.2318134 49.5461781, 10.2316349 49.5462367, 10.2315721 49.5462573, 10.2313462 49.5463214, 10.2303941 49.5464828)",,,,,
4015881,2,B 13,Ringstraße,primary,50,False,False,25.148,"LINESTRING (10.233745 49.543842, 10.2337154 49.543977, 10.2337067 49.5440165, 10.2337059 49.5440664)",,,,,
27191735,,,Friedhofweg,residential,,False,False,167.951,"LINESTRING (10.233745 49.543842, 10.2339251 49.5438448, 10.2342653 49.5436844, 10.2345573 49.5435411, 10.2349228 49.5433833, 10.2354788 49.5431555, 10.2356552 49.5430894, 10.2357037 49.5431131)",,,,,
34938838,2,St 2419,Ansbacher Straße,secondary,50,False,True,74.202,"LINESTRING (10.233745 49.543842, 10.2335805 49.5437737, 10.2332522 49.5436805, 10.2328036 49.5435796)",,,,,
"[298423974, 114966871]","['2', '3']",B 13,Ansbacher Straße,primary,50,False,True,89.43199999999999,"LINESTRING (10.233745 49.543842, 10.2338374 49.543738, 10.2340159 49.5436231, 10.2340535 49.5436015, 10.2345576 49.543313, 10.2346175 49.5432779)",,,,,
26988775,2,NEA 43,Custenlohrer Straße,tertiary,,False,False,156.779,"LINESTRING (10.2322241 49.5419798, 10.2323031 49.5417846, 10.2321827 49.5410523, 10.2320765 49.5407982, 10.2319531 49.5406058)",,,,,
677658838,2,St 2419,Rothenburger Straße,secondary,50,False,False,66.583,"LINESTRING (10.2322241 49.5419798, 10.2325063 49.5422965, 10.2325637 49.5424362, 10.2325988 49.5425216)",,,,,
867986172,2,St 2419,Rothenburger Straße,secondary,50,False,True,169.799,"LINESTRING (10.2322241 49.5419798, 10.2318212 49.5416474, 10.2313886 49.5412756, 10.2311597 49.5411382, 10.2311396 49.5411338, 10.2310136 49.5411062, 10.2308731 49.5411011, 10.2304978 49.5411234)",,,,,
26826979,,,Mühlstraße,residential,30,False,False,55.556,"LINESTRING (10.2383301 49.5479255, 10.2388655 49.5475664)",,,,,
45591856,2,St 2256,Bahnhofstraße,secondary,50,False,False,122.836,"LINESTRING (10.2383301 49.5479255, 10.2380766 49.5478487, 10.2372693 49.5476995, 10.2367018 49.5476116)",,,,,
"[677658864, 446722824, 446722823]",2,St 2256,Bahnhofstraße,secondary,50,False,True,71.108,"LINESTRING (10.2383301 49.5479255, 10.2387422 49.5481936, 10.2388412 49.5482614, 10.2390321 49.5483741)",yes,,,,
"[446722824, 677658864, 446722823]",2,St 2256,Bahnhofstraße,secondary,50,False,False,71.108,"LINESTRING (10.2390321 49.5483741, 10.2388412 49.5482614, 10.2387422 49.5481936, 10.2383301 49.5479255)",yes,,,,
"[382687424, 27192641, 382687425]",,,Würzburger Straße,residential,30,False,False,41.43600000000001,"LINESTRING (10.2281 49.5457193, 10.2281459 49.5456338, 10.2282066 49.5455205, 10.2282772 49.5453811, 10.2282887 49.5453676)",,yes,,,
27192662,,,Würzburger Straße,residential,30,False,False,65.112,"LINESTRING (10.2281 49.5457193, 10.22787 49.5461175, 10.2278111 49.5462732)",,,,,
27191097,,,Uttenhofer Weg,residential,30,False,False,117.74,"LINESTRING (10.2392688 49.5445679, 10.238046 49.5444817, 10.2376456 49.5444593)",,,,,
27191097,,,Uttenhofer Weg,residential,30,False,True,107.625,"LINESTRING (10.2392688 49.5445679, 10.2397112 49.5444785, 10.2405196 49.5442257, 10.2406374 49.5441886)",,,,,
27191844,,,Frühwaldstraße,residential,30,False,True,62.932,"LINESTRING (10.2392688 49.5445679, 10.2393002 49.5448695, 10.2392712 49.5451325)",,,,,
861136377,,,Welbhauser Straße,residential,30,False,False,65.589,"LINESTRING (10.2392688 49.5445679, 10.2392988 49.5443918, 10.2396039 49.5440297)",,,,,
26826979,,,Mühlstraße,residential,30,False,True,55.556,"LINESTRING (10.2388655 49.5475664, 10.2383301 49.5479255)",,,,,
26826979,,,Mühlstraße,residential,30,False,False,85.072,"LINESTRING (10.2388655 49.5475664, 10.2392817 49.547314, 10.2396791 49.5471594, 10.2398115 49.5471193)",,,,,
33067451,,,Frühwaldstraße,residential,30,False,True,33.351,"LINESTRING (10.2388655 49.5475664, 10.2388648 49.5474602, 10.2387851 49.5473698, 10.2386891 49.5473054)",,,,,
27706348,,,Tannenbergstraße,residential,30,False,True,8.063,"LINESTRING (10.2398115 49.5471193, 10.2398132 49.5470468)",,,,,
26826979,,,Mühlstraße,residential,30,False,True,85.072,"LINESTRING (10.2398115 49.5471193, 10.2396791 49.5471594, 10.2392817 49.547314, 10.2388655 49.5475664)",,,,,
27190825,,,Mühlstraße,residential,30,False,False,102.49000000000001,"LINESTRING (10.2398115 49.5471193, 10.2399723 49.5470856, 10.2412178 49.5470054)",,,,,
26847000,,,Schillerstraße,residential,30,False,False,53.311,"LINESTRING (10.2397726 49.5457358, 10.2390344 49.5457568)",,,,,
26847000,,,Schillerstraße,residential,30,False,True,85.257,"LINESTRING (10.2397726 49.5457358, 10.2409514 49.5456821)",,,,,
26826980,,,Tannenbergstraße,residential,30,False,True,79.288,"LINESTRING (10.2397726 49.5457358, 10.2398496 49.5463364, 10.2398431 49.5464467)",,,,,
27191844,,,Frühwaldstraße,residential,30,False,True,71.491,"LINESTRING (10.2392712 49.5451325, 10.2390344 49.5457568)",,,,,
27191844,,,Frühwaldstraße,residential,30,False,False,62.932,"LINESTRING (10.2392712 49.5451325, 10.2393002 49.5448695, 10.2392688 49.5445679)",,,,,
26847000,,,Schillerstraße,residential,30,False,True,53.311,"LINESTRING (10.2390344 49.5457568, 10.2397726 49.5457358)",,,,,
27191844,,,Frühwaldstraße,residential,30,False,False,71.491,"LINESTRING (10.2390344 49.5457568, 10.2392712 49.5451325)",,,,,
