osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,access
"[20893633, 208328822]",K 9033,"['Teplitzer Straße', 'Altmarkt']",tertiary,False,False,122.392,50,"LINESTRING (13.7929384 50.7573579, 13.7928643 50.7572367, 13.7928196 50.7571543, 13.792783 50.7570467, 13.792794 50.7568368, 13.7928412 50.7567247, 13.7930101 50.7562901)",,
"[208328816, 22493602]",K 9033,"['Löwenhainer Straße', 'Altmarkt']",tertiary,False,False,287.889,50,"LINESTRING (13.7929384 50.7573579, 13.79314 50.7572658, 13.7933015 50.757196, 13.7935314 50.7571103, 13.7938033 50.7569882, 13.7941377 50.7567973, 13.7947767 50.7564895, 13.7948456 50.7564548, 13.7948569 50.7564446, 13.7950087 50.7562914, 13.7954259 50.7558954, 13.7957069 50.7557218, 13.7959019 50.755617)",,
948726302,,Hauptstraße,tertiary,False,True,50.34,30,"LINESTRING (13.7929384 50.7573579, 13.7928847 50.7574146, 13.7925668 50.7577448)",,
37611451,,Hauptstraße,tertiary,False,False,33.055,,"LINESTRING (13.788303 50.760748, 13.7884866 50.7606447, 13.7886809 50.7605739)",,
22493476,,Lange Straße,residential,False,False,114.007,,"LINESTRING (13.7886809 50.7605739, 13.7888608 50.7602919, 13.7889939 50.760139, 13.7891959 50.7598613, 13.7892247 50.7597572, 13.7893098 50.7596331)",,
37611451,,Hauptstraße,tertiary,False,True,33.055,,"LINESTRING (13.7886809 50.7605739, 13.7884866 50.7606447, 13.788303 50.760748)",,
"[158575536, 893983273, 158575527]",,Hauptstraße,tertiary,False,False,27.272999999999996,,"LINESTRING (13.7886809 50.7605739, 13.7887305 50.7605638, 13.7888738 50.7605369, 13.7890516 50.760502)",yes,
158575583,K 9033,Teplitzer Straße,tertiary,False,False,48.206,,"LINESTRING (13.7929639 50.7557179, 13.7929385 50.7556229, 13.7929322 50.7555977, 13.7929319 50.7554938, 13.7929791 50.7552882)",,
"[951770347, 158575582, 158575583]",K 9033,Teplitzer Straße,tertiary,False,True,64.919,50,"LINESTRING (13.7929639 50.7557179, 13.7930067 50.7558365, 13.7930686 50.7559882, 13.7930681 50.7561055, 13.7930101 50.7562901)",yes,
208328814,,Lange Straße,residential,False,True,30.18,,"LINESTRING (13.7929639 50.7557179, 13.7928651 50.7557352, 13.7928314 50.7557628, 13.7927773 50.7558283, 13.7927434 50.7559237)",,
