osmid,oneway,name,highway,maxspeed,reversed,length,geometry,width,lanes,bridge,tunnel
5077529,False,Friedrich-Fischer-Straße,tertiary,20,True,41.501999999999995,"LINESTRING (11.9068671 48.3058337, 11.9068558 48.3057396, 11.906862 48.305568, 11.9068557 48.3054609)",,,,
23628750,False,Münchener Straße,tertiary,20,False,70.504,"LINESTRING (11.9068671 48.3058337, 11.9067383 48.3058355, 11.9060098 48.305847, 11.9059141 48.3058483)",,,,
229079991,False,Friedrich-Fischer-Straße,tertiary,20,False,41.349000000000004,"LINESTRING (11.9068671 48.3058337, 11.9069045 48.3059432, 11.9069587 48.3060616, 11.9069953 48.3061213, 11.9070533 48.3061813)",,,,
5077529,False,Friedrich-Fischer-Straße,tertiary,20,False,22.882,"LINESTRING (11.9068746 48.3052555, 11.9068557 48.3054609)",,,,
"[5077529, 26950523]",False,"['Haager Straße', 'Friedrich-Fischer-Straße']",tertiary,20,True,80.631,"LINESTRING (11.9068746 48.3052555, 11.9069015 48.3050624, 11.906912 48.3049973, 11.9069166 48.3049685, 11.9069475 48.3048893, 11.9070203 48.3046876, 11.9070436 48.3046321, 11.9070771 48.304545)",,,,
26770311,False,Hinter den Mauern,residential,20,True,76.238,"LINESTRING (11.9068746 48.3052555, 11.9069083 48.3052564, 11.9071481 48.3052455, 11.9072727 48.3052242, 11.9073377 48.305205, 11.9078899 48.305157)",2,,,
24607944,False,Riverastraße,residential,50,False,78.479,"LINESTRING (11.9036244 48.3043147, 11.9035912 48.3043428, 11.9035715 48.3043546, 11.9035067 48.3044002, 11.903335 48.3045613, 11.9030735 48.3049128)",,,,
"[234485192, 302079224]",False,Münchener Straße,tertiary,50,False,125.441,"LINESTRING (11.9036244 48.3043147, 11.903587 48.3042799, 11.9035551 48.304235, 11.9033815 48.3041282, 11.9031591 48.3040005, 11.902375 48.3035596)",,,,
234485192,False,Münchener Straße,tertiary,,True,17.672,"LINESTRING (11.9036244 48.3043147, 11.9036911 48.3043437, 11.9037741 48.3044341)",,,,
157285331,False,Dr.-Henkel-Straße,residential,30,True,286.21200000000005,"LINESTRING (11.9137312 48.3081099, 11.9137787 48.3080775, 11.9138692 48.3079768, 11.9138711 48.3078906, 11.9138608 48.3077449, 11.9138169 48.3075871, 11.913773 48.3074297, 11.9137151 48.3072217, 11.9134298 48.306442, 11.9133114 48.3060845, 11.9132028 48.3057564, 11.9131943 48.3057308, 11.9131669 48.305648, 11.9131567 48.305617)",,,,
