osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,width,tunnel
145069386,True,Tränktorstraße,residential,30,False,82.111,"LINESTRING (11.4269952 48.7607458, 11.4269871 48.7608177, 11.4269771 48.760867, 11.426992 48.7609618, 11.4271453 48.7614732)",,,,
"[379723624, 28418763, 233673423]",False,"['Donaustraße', 'Konrad-Adenauer-Brücke', 'Brückenkopf']",tertiary,"['50', '30']","[False, True]",196.10299999999998,"LINESTRING (11.4269952 48.7607458, 11.4270846 48.7607156, 11.4273122 48.7606388, 11.429066 48.760058, 11.4291654 48.7600259, 11.4292169 48.7600092, 11.4293869 48.7599556)",4,yes,,
"[887476722, 32201044]",False,Donaustraße,residential,30,True,44.806,"LINESTRING (11.4269952 48.7607458, 11.426736 48.7608472, 11.4266121 48.7609085, 11.4264994 48.7609786)",2,,,
32200983,False,Mauthstraße,living_street,,True,94.12400000000001,"LINESTRING (11.4272816 48.7627779, 11.4272795 48.7628636, 11.4272674 48.7629126, 11.4272217 48.7630275, 11.4271988 48.7630702, 11.4271008 48.7631796, 11.4270859 48.7631868, 11.4269174 48.7632654, 11.4268129 48.7633315, 11.4267319 48.7634995)",,,,
718481105,False,Schutterstraße,unclassified,30,True,15.588,"LINESTRING (11.4272816 48.7627779, 11.4274016 48.7627832, 11.427494 48.7627836)",3,,,
"[718481107, 1215634476]",False,Schutterstraße,unclassified,20,False,60.789,"LINESTRING (11.4272816 48.7627779, 11.4272128 48.7627642, 11.4271266 48.7627463, 11.4265152 48.7625704)",2,,,
10425610,False,Jahnstraße,tertiary,50,False,46.095,"LINESTRING (11.4253707 48.7585772, 11.425223 48.7586548, 11.4251291 48.7587018, 11.424868 48.7588261)",,,,
389831364,False,Schloßlände,tertiary,50,False,100.792,"LINESTRING (11.4253707 48.7585772, 11.4255083 48.7586979, 11.4255364 48.7587205, 11.4259035 48.7590429, 11.4261912 48.7593045)",,,,
103512667,False,Kreuzstraße,residential,30,False,20.226,"LINESTRING (11.4187727 48.7641054, 11.4188347 48.7640516, 11.4189104 48.7640078, 11.4189769 48.7639884)",,,,
145069287,False,Bergbräustraße,unclassified,30,True,186.924,"LINESTRING (11.4187727 48.7641054, 11.418894 48.7641644, 11.4191137 48.7642734, 11.4191823 48.7643021, 11.4192299 48.7643231, 11.4192493 48.7643329, 11.4195619 48.7644896, 11.4195967 48.764507, 11.4199201 48.7646274, 11.4201994 48.7647125, 11.4206246 48.7648075, 11.4209981 48.7648965)",,,,
"[103396186, 32084380]",False,Kreuzschmiedgasse,residential,30,True,37.168000000000006,"LINESTRING (11.4189769 48.7639884, 11.4189378 48.7638391, 11.4188376 48.7636687)",,,,
