osmid,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,lanes,ref
16786004,Prinzregentenstraße,residential,50,False,False,42.979,"LINESTRING (12.111459 47.7908868, 12.1114513 47.7909589, 12.1115475 47.7910818, 12.1117114 47.7912183)",,,
"[18091854, 18091858, 330237942, 135258055]",Bahnhofstraße,"['residential', 'unclassified']",50,False,False,144.851,"LINESTRING (12.111459 47.7908868, 12.1115317 47.790877, 12.1117134 47.7908119, 12.1121001 47.7906721, 12.1121805 47.7906584, 12.1124214 47.7906361, 12.1127499 47.7906552, 12.1128759 47.7906228, 12.1130074 47.7905702, 12.1132139 47.7904472)",yes,1,
334558328,Bahnhofstraße,residential,50,False,True,19.157,"LINESTRING (12.111459 47.7908868, 12.1113902 47.790857, 12.1112842 47.7907638)",,,
25383256,Wendelsteinstraße,residential,30,False,False,166.997,"LINESTRING (12.1139748 47.7906286, 12.1141144 47.7902386, 12.1142078 47.7899777, 12.1143598 47.7891516)",,,
36938220,Kufsteiner Straße,secondary,50,False,False,60.405,"LINESTRING (12.1139748 47.7906286, 12.1136291 47.7905306, 12.1132139 47.7904472)",,,St 2363
"[36963380, 1055807318, 443728751]",Rosenheimer Straße,secondary,50,False,True,71.291,"LINESTRING (12.1139748 47.7906286, 12.1141489 47.7907045, 12.1143848 47.7908405, 12.1145444 47.7909471, 12.1146939 47.791047)",,3,St 2363
25383259,Traithenstraße,residential,30,False,False,45.919,"LINESTRING (12.1121699 47.7901234, 12.1124819 47.7897676)",,,
330237943,Kufsteiner Straße,secondary,50,False,False,148.135,"LINESTRING (12.1121699 47.7901234, 12.1119101 47.789922, 12.1116733 47.7897384, 12.1111116 47.7890073)",,2,St 2363
443728749,Kufsteiner Straße,secondary,50,False,True,86.29899999999999,"LINESTRING (12.1121699 47.7901234, 12.1127606 47.7903413, 12.1130226 47.7904152, 12.1132139 47.7904472)",,3,St 2363
200041433,Innstraße,residential,50,False,True,96.696,"LINESTRING (12.1093614 47.7867118, 12.1096305 47.7866925, 12.1106253 47.7868546)",,,
330237943,Kufsteiner Straße,secondary,50,False,True,286.854,"LINESTRING (12.1093614 47.7867118, 12.1094989 47.786882, 12.1097109 47.7871445, 12.1100149 47.7875209, 12.1101217 47.7876532, 12.1101565 47.7876964, 12.110364 47.7879847, 12.1104878 47.7881541, 12.1107498 47.7885125, 12.1111116 47.7890073)",,2,St 2363
