osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,bridge
312525718,3,Johannisbergstraße,secondary,50,False,False,10.644,"LINESTRING (11.6429688 52.1299778, 11.643104 52.1299301)",,
"[1126071928, 31638223, 741612630, 176642006, 741612632]","['2', '3']",Schleinufer,secondary,50,True,False,177.006,"LINESTRING (11.6429688 52.1299778, 11.642798 52.1298149, 11.6423566 52.1294101, 11.6420234 52.1290932, 11.6418604 52.1289337, 11.6416509 52.1287483, 11.64158 52.1286864, 11.6416121 52.1286468)",,
"[5215222, 312525718]",3,Johannisbergstraße,secondary,50,False,True,196.48100000000002,"LINESTRING (11.6429688 52.1299778, 11.6428365 52.1300254, 11.6422539 52.1302198, 11.641881 52.1303403, 11.6416138 52.1304222, 11.6414789 52.1304552, 11.641056 52.1305445, 11.6408951 52.1305844, 11.6405135 52.1306991, 11.6404525 52.1307176, 11.6403772 52.1307391)",,
8090363,,Neustädter Straße,residential,50,False,False,10.938,"LINESTRING (11.6432104 52.133421, 11.6433696 52.1334097)",,
145325147,2,Jakobstraße,tertiary,50,True,False,91.402,"LINESTRING (11.6432104 52.133421, 11.6431803 52.1333775, 11.6431692 52.1333615, 11.6431215 52.1332925, 11.6429723 52.1330659, 11.6428729 52.1329313, 11.6428129 52.1328603, 11.642792 52.1328352, 11.6426291 52.1326831)",,
365816639,,Neustädter Straße,residential,30,False,True,62.775999999999996,"LINESTRING (11.6462575 52.1358498, 11.6461567 52.1355967, 11.6461433 52.1355631, 11.646039 52.1353014)",,
874050538,,Mühlenstraße,residential,30,False,True,120.045,"LINESTRING (11.6462575 52.1358498, 11.645864 52.1358886, 11.6454846 52.1359271, 11.6451231 52.1359623, 11.6446389 52.1360095, 11.6445209 52.1360211)",,
29894241,,Weitlingstraße,residential,30,False,False,38.711,"LINESTRING (11.6414841 52.1359265, 11.6413607 52.1355867)",,
"[26748765, 26748767, 15710959]",,Bärstraße,residential,30,False,False,84.331,"LINESTRING (11.6350081 52.1287719, 11.6350936 52.1287481, 11.6351527 52.1287335, 11.6352236 52.1287161, 11.6352803 52.1287009, 11.6353599 52.1286793, 11.6354563 52.1286551, 11.6354726 52.1286515, 11.6354894 52.1286482, 11.6355258 52.1286422, 11.6356074 52.1286314, 11.6357609 52.1286114, 11.6358432 52.1285981, 11.6358855 52.1285907, 11.6359278 52.1285819, 11.6361703 52.1285216)",building_passage,
"[314547847, 31761815]","['2', '1']",Breiter Weg,tertiary,30,True,False,255.897,"LINESTRING (11.6350081 52.1287719, 11.6350659 52.1289012, 11.6351232 52.1289909, 11.6351929 52.1290539, 11.6352726 52.1291666, 11.6355883 52.1296352, 11.6356003 52.1296535, 11.6356082 52.1296656, 11.6356262 52.1296965, 11.6356416 52.1297285, 11.6356544 52.1297605, 11.6356687 52.1297935, 11.6356847 52.1298265, 11.6357021 52.1298569, 11.6357222 52.1298859, 11.63604 52.1303831, 11.6361044 52.1304813, 11.6363124 52.1307954, 11.6363338 52.1308295, 11.6363604 52.130865, 11.6363921 52.1309066)",,
"[148003748, 834205637]",1,Breiter Weg,tertiary,30,True,False,21.347,"LINESTRING (11.6363921 52.1309066, 11.6363976 52.1309136, 11.6364398 52.1309743, 11.6364485 52.1309866, 11.6364575 52.1309994, 11.6365059 52.1310692, 11.6365155 52.131083)",,
"[38571851, 116167707, 148003749]","['2', '3']",Ernst-Reuter-Allee,secondary,50,True,False,249.90700000000004,"LINESTRING (11.6363921 52.1309066, 11.6364548 52.1308894, 11.63648 52.1308826, 11.63675 52.1308133, 11.6370683 52.1307359, 11.6376897 52.1305923, 11.6378319 52.1305594, 11.6384974 52.1304055, 11.6385612 52.1303907, 11.6387865 52.1303382, 11.6394503 52.1301838, 11.6398011 52.1300882)",,
145322491,,Himmelreichstraße,residential,30,False,True,107.23100000000001,"LINESTRING (11.6348885 52.1289234, 11.6348133 52.1289405, 11.6347509 52.1289475, 11.6343891 52.1289881, 11.6342527 52.129006, 11.6341426 52.1290228, 11.6339868 52.12905, 11.6333701 52.1291651)",,
7838183,,Otto-von-Guericke-Straße,residential,50,False,True,12.205,"LINESTRING (11.6330688 52.1334281, 11.632895 52.1334539)",,
"[150387138, 95928573]","['4', '3']",Julius-Bremer-Straße,residential,50,False,False,111.576,"LINESTRING (11.6330688 52.1334281, 11.6331563 52.1334151, 11.6332608 52.1333995, 11.6333819 52.1333814, 11.6336619 52.1333467, 11.6339527 52.1333106, 11.6346738 52.1332402)",,
39977541,,Julius-Bremer-Straße,residential,50,False,True,9.844,"LINESTRING (11.6426291 52.1326831, 11.6427531 52.1326379)",,
29894372,2,Jakobstraße,tertiary,50,True,False,171.27200000000002,"LINESTRING (11.6426291 52.1326831, 11.6424371 52.1325277, 11.6422834 52.132413, 11.6422016 52.1323561, 11.6421173 52.1322991, 11.6420294 52.1322425, 11.641939 52.1321864, 11.6417593 52.1320783, 11.6413983 52.1318577, 11.6412894 52.1317909, 11.6411838 52.1317256, 11.6410559 52.1316405, 11.6409321 52.1315511)",,
"[152411242, 29894284]",,Julius-Bremer-Straße,residential,"['50', '30']",False,"[False, True]",147.004,"LINESTRING (11.6426291 52.1326831, 11.6426033 52.1326918, 11.6425775 52.1326988, 11.6425499 52.1327042, 11.6425236 52.1327088, 11.642414 52.1327241, 11.6420965 52.1327604, 11.6416823 52.1328037, 11.6415827 52.1328204, 11.640716 52.1329171, 11.6405169 52.1329295)",,
26732917,,Jakobstraße,residential,30,False,False,12.016,"LINESTRING (11.6409321 52.1315511, 11.6411062 52.1315351)",,
"[366315540, 366315541]","['2', '3']",Jakobstraße,tertiary,50,True,False,98.408,"LINESTRING (11.6409321 52.1315511, 11.6408804 52.1315096, 11.6408315 52.1314672, 11.6407668 52.1314062, 11.6407133 52.1313525, 11.6406626 52.1312972, 11.6405818 52.1312076, 11.6403894 52.1309675, 11.640321 52.1308801, 11.6402406 52.1307766)",,
