osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,junction,access,bridge,ref,width,tunnel
37761176,Breidenbachstraße,residential,False,True,110.286,"LINESTRING (6.9840338 51.0289091, 6.9834836 51.0298386)",,,,,,,,
37761176,Breidenbachstraße,residential,False,False,98.891,"LINESTRING (6.9840338 51.0289091, 6.9841916 51.028612, 6.9842453 51.028477, 6.9842969 51.0280967, 6.984307 51.0280418)",,,,,,,,
174579192,Lichstraße,residential,True,False,146.236,"LINESTRING (6.9840338 51.0289091, 6.9831945 51.0287377, 6.9825695 51.028623, 6.9825548 51.0286209, 6.9820262 51.0285442)",,,,,,,,
25994282,Van't-Hoff-Straße,living_street,False,False,42.155,"LINESTRING (6.9845852 51.0351745, 6.9848225 51.034826)",,,,,,,,
5875216,Dhünnstraße,residential,False,False,168.781,"LINESTRING (6.9845852 51.0351745, 6.9847115 51.0351767, 6.9855733 51.0351413, 6.986668 51.0350751, 6.9869908 51.0350573)",10,,,,,,,
5875216,Dhünnstraße,residential,False,True,115.155,"LINESTRING (6.9845852 51.0351745, 6.9835261 51.035152, 6.9832265 51.0351319, 6.9829483 51.0350906)",10,,,,,,,
25994282,Van't-Hoff-Straße,living_street,False,True,148.99,"LINESTRING (6.9845852 51.0351745, 6.984195 51.0357496, 6.983798 51.0363616, 6.9837469 51.0364046)",,,,,,,,
25331411,Kaiserplatz,living_street,False,True,37.427,"LINESTRING (6.9829483 51.0350906, 6.9831291 51.0347738)",,,,,,,,
5875216,Dhünnstraße,residential,False,False,115.155,"LINESTRING (6.9829483 51.0350906, 6.9832265 51.0351319, 6.9835261 51.035152, 6.9845852 51.0351745)",10,,,,,,,
25331411,Kaiserplatz,living_street,False,False,34.674,"LINESTRING (6.9829483 51.0350906, 6.9828182 51.0353312, 6.9827455 51.0353664)",,,,,,,,
5875215,Dhünnstraße,living_street,False,False,84.35,"LINESTRING (6.9811382 51.0347023, 6.9811982 51.0347157, 6.9822747 51.0349566)",,,,,,,,
13082945,Nobelstraße,secondary,True,False,11.718,"LINESTRING (6.9811382 51.0347023, 6.9811173 51.0347251, 6.9810843 51.0347414, 6.9810441 51.0347488, 6.9810024 51.0347463)",,1,roundabout,,,,,
"[206081376, 13787532]",Nobelstraße,residential,False,False,95.188,"LINESTRING (6.981993 51.0326164, 6.9820071 51.0325524, 6.9820809 51.0322176, 6.9821297 51.0320794, 6.9821761 51.0319534, 6.982239 51.0317752)",,,,,,,,
501370991,,secondary,True,False,14.805,"LINESTRING (6.981993 51.0326164, 6.9820436 51.0326261, 6.9820867 51.0326454, 6.9821176 51.0326725, 6.9821331 51.0327043)",30,1,roundabout,,,,,
"[13082952, 481599392]",Wöhlerstraße,secondary,True,False,256.994,"LINESTRING (6.9821331 51.0327043, 6.9822485 51.0327304, 6.9827816 51.0328299, 6.9830669 51.0328819, 6.9833867 51.0329396, 6.9838605 51.0330255, 6.9839919 51.0330492, 6.9846357 51.0331605, 6.9847554 51.0331856, 6.9848811 51.0332126, 6.9849772 51.0332323, 6.9854033 51.0333245, 6.9856494 51.0333743)",30,2,,,,,,
489126364,,secondary,True,False,10.113,"LINESTRING (6.9821331 51.0327043, 6.9821325 51.0327346, 6.9821179 51.0327635, 6.9820906 51.0327885)",30,1,roundabout,,,,,
489126365,,secondary,True,False,20.299,"LINESTRING (6.9820401 51.0328116, 6.9819933 51.0328194, 6.981945 51.0328189, 6.9818986 51.0328103, 6.9818576 51.0327942, 6.981825 51.0327717, 6.9818032 51.0327445)",30,1,roundabout,,,,,
