osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,width,geometry
"[190630360, 190630361, 24681438]",2,L 3176,Schwerstedter Straße,secondary,50,False,False,61.443,6.5,"LINESTRING (10.9877891 51.1608825, 10.9875281 51.1609103, 10.9872767 51.1609359, 10.9871031 51.160952, 10.9869183 51.1609662)"
"[280960017, 1219506291, 159226349, 280960015]","['2', '3']",B 4,Straße des Friedens,primary,50,False,True,216.65099999999998,,"LINESTRING (10.9877891 51.1608825, 10.9878414 51.1609513, 10.9878805 51.1609986, 10.9879255 51.1610532, 10.988112 51.161219, 10.9886738 51.1615419, 10.9888051 51.1616216, 10.9890486 51.1617773, 10.9894743 51.1621159, 10.9896642 51.1622937, 10.9896934 51.162321, 10.9897429 51.1623791)"
280959997,2,L 3176,Schwerstedter Straße,secondary,50,False,True,31.035,6.5,"LINESTRING (10.9864766 51.1610004, 10.9869183 51.1609662)"
46985249,,,Bergstraße,residential,30,False,True,115.75,,"LINESTRING (10.9864766 51.1610004, 10.9864733 51.1610446, 10.9862672 51.1620329)"
280959997,2,L 3176,Schwerstedter Straße,secondary,50,False,False,31.035,6.5,"LINESTRING (10.9869183 51.1609662, 10.9864766 51.1610004)"
34898382,,,Schwerstedter Straße,residential,30,False,True,163.43799999999996,,"LINESTRING (10.9869183 51.1609662, 10.986951 51.161043, 10.9872846 51.1618257, 10.9873138 51.1619122, 10.9873067 51.1619982, 10.9872265 51.1620576, 10.9871337 51.1620955, 10.9870235 51.1621056, 10.986927 51.1620998, 10.9867252 51.1620827)"
"[190630360, 190630361, 24681438]",2,L 3176,Schwerstedter Straße,secondary,50,False,True,61.443,6.5,"LINESTRING (10.9869183 51.1609662, 10.9871031 51.160952, 10.9872767 51.1609359, 10.9875281 51.1609103, 10.9877891 51.1608825)"
47029847,,,Fabrikstraße,residential,,False,True,128.907,,"LINESTRING (10.9895888 51.1638467, 10.9896823 51.1638598, 10.9902155 51.1637708, 10.9904961 51.1637165, 10.9913683 51.1635595)"
"[280960018, 280989365, 810029087]","['2', '3']",B 4,Straße des Friedens,primary,50,False,False,145.76600000000002,,"LINESTRING (10.9895888 51.1638467, 10.9897635 51.1632979, 10.9898026 51.163175, 10.9898121 51.1631452, 10.9898484 51.1630314, 10.9898853 51.1628532, 10.9898819 51.1627198, 10.9898809 51.1626781, 10.9898545 51.1625545)"
"[159226352, 280989364, 280989365]","['2', '3']",B 4,Straße des Friedens,primary,50,False,True,311.527,,"LINESTRING (10.9895888 51.1638467, 10.9895561 51.1639625, 10.9894204 51.1644231, 10.9892277 51.1650723, 10.9890703 51.1656028, 10.9890372 51.1657142, 10.9889688 51.1659361, 10.9889245 51.1660795, 10.9887628 51.1666)"
