osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,width
32208969,2,Jahnstraße,unclassified,50,False,False,52.775999999999996,"LINESTRING (11.6270502 48.769479, 11.6270637 48.7694142, 11.6270644 48.7693225, 11.6270556 48.769223, 11.6270307 48.7691248, 11.6269869 48.7690101)",,,,
159356774,,Regensburger Straße,secondary,50,False,False,311.863,"LINESTRING (11.6270502 48.769479, 11.6256957 48.7692952, 11.6247235 48.7691492, 11.6245941 48.7691297, 11.623724 48.7689894, 11.6230236 48.7688666, 11.6229064 48.7688442)",St 2232,,,
"[757932960, 482531089, 754023494]","['2', '3']",Regensburger Straße,secondary,"['50', '80']",False,True,243.606,"LINESTRING (11.6270502 48.769479, 11.6275248 48.7695523, 11.6286721 48.7697151, 11.629384 48.7698079, 11.6296493 48.7698319, 11.629945 48.7698385, 11.6303186 48.769837)",St 2232,,,
32208969,2,Jahnstraße,unclassified,50,False,False,68.83500000000001,"LINESTRING (11.6269869 48.7690101, 11.6268888 48.7688157, 11.6267123 48.7684182)",,,,
32208969,2,Jahnstraße,unclassified,50,False,True,52.775999999999996,"LINESTRING (11.6269869 48.7690101, 11.6270307 48.7691248, 11.6270556 48.769223, 11.6270644 48.7693225, 11.6270637 48.7694142, 11.6270502 48.769479)",,,,
26966762,,Agnes-Bernauer-Straße,residential,,False,False,64.64699999999999,"LINESTRING (11.6178328 48.7710726, 11.6177201 48.7711209, 11.6177084 48.7711281, 11.6175765 48.7712086, 11.6174184 48.7713051, 11.6171796 48.7714613)",,,,
27590487,,Donaustraße,secondary,30,False,True,29.929,"LINESTRING (11.6178328 48.7710726, 11.6178474 48.7709337, 11.61791 48.7708105)",,,,
27590487,,Donaustraße,secondary,30,False,False,29.929,"LINESTRING (11.61791 48.7708105, 11.6178474 48.7709337, 11.6178328 48.7710726)",,,,
27590487,,Donaustraße,secondary,30,False,True,95.376,"LINESTRING (11.61791 48.7708105, 11.6180034 48.7706426, 11.618101 48.7704413, 11.6181927 48.7702655, 11.6182334 48.7699851)",,,,
"[44902763, 753586724]",,"['Ulrich-Steinberger-Platz', 'Lederergasse']",residential,,False,"[False, True]",134.958,"LINESTRING (11.61791 48.7708105, 11.6179593 48.770806, 11.6183381 48.770763, 11.6187687 48.7716461)",,,,
27590487,,Donaustraße,secondary,30,False,False,95.376,"LINESTRING (11.6182334 48.7699851, 11.6181927 48.7702655, 11.618101 48.7704413, 11.6180034 48.7706426, 11.61791 48.7708105)",,,,
"[94235451, 27590487]",,Donaustraße,secondary,30,False,True,13.923000000000002,"LINESTRING (11.6182334 48.7699851, 11.6182503 48.7699384, 11.6182842 48.7698645)",,,,
40724392,,Ulrich-Steinberger-Platz,residential,,False,False,56.278,"LINESTRING (11.6182334 48.7699851, 11.6186445 48.7700562, 11.6189751 48.7701162)",,,,
40724395,,Griesstraße,residential,,False,False,165.361,"LINESTRING (11.6185125 48.769347, 11.6186085 48.7693742, 11.6194609 48.7696152, 11.6199147 48.7697351, 11.6205236 48.7698817, 11.620586 48.7699218)",,,,
"[94235410, 94235451, 89219501]",,Donaustraße,secondary,"['50', '30']",False,False,59.970000000000006,"LINESTRING (11.6185125 48.769347, 11.6184852 48.7694254, 11.6184364 48.7695422, 11.6184227 48.7695786, 11.6184178 48.7695915, 11.6183911 48.769656, 11.6183849 48.7696685, 11.6183786 48.769681, 11.6182842 48.7698645)",,building_passage,,
"[548709369, 89219458, 48520755, 487438205]","['2', '3']","['Donaustraße', 'Bahnhofstraße']",secondary,50,False,True,124.36699999999999,"LINESTRING (11.6185125 48.769347, 11.6185327 48.7692785, 11.6185364 48.7692684, 11.618675 48.7689338, 11.61873 48.7688086, 11.6187418 48.7687857, 11.6187595 48.7687541, 11.6189033 48.768522, 11.6189452 48.7684545, 11.6190317 48.7682842)",B 16a,,yes,
32208981,,,secondary,50,False,True,18.688,"LINESTRING (11.6190317 48.7682842, 11.619245 48.7683041, 11.619284 48.7683085)",St 2232,,,
32238878,3,Bahnhofstraße,secondary,50,False,True,22.008,"LINESTRING (11.6190317 48.7682842, 11.6190319 48.7681789, 11.6190074 48.7680877)",B 16a,,,
"[548709369, 89219458, 48520755, 487438205]","['2', '3']","['Bahnhofstraße', 'Donaustraße']",secondary,50,False,False,124.36699999999999,"LINESTRING (11.6190317 48.7682842, 11.6189452 48.7684545, 11.6189033 48.768522, 11.6187595 48.7687541, 11.6187418 48.7687857, 11.61873 48.7688086, 11.618675 48.7689338, 11.6185364 48.7692684, 11.6185327 48.7692785, 11.6185125 48.769347)",B 16a,,yes,
892609523,,Hartackerstraße,residential,30,False,True,12.649,"LINESTRING (11.6190074 48.7680877, 11.6191572 48.7680312)",,,,
32238878,3,Bahnhofstraße,secondary,50,False,False,22.008,"LINESTRING (11.6190074 48.7680877, 11.6190319 48.7681789, 11.6190317 48.7682842)",B 16a,,,
482528842,2,Bahnhofstraße,secondary,50,False,True,96.31899999999999,"LINESTRING (11.6190074 48.7680877, 11.6189064 48.7679431, 11.6184136 48.7673151)",St 2232,,,
261891372,,Feldweberstraße,residential,30,False,False,17.537,"LINESTRING (11.621032 48.7669735, 11.6208937 48.7668448)",,,,
892609523,,Hartackerstraße,residential,30,False,False,15.735,"LINESTRING (11.621032 48.7669735, 11.620858 48.7670564)",,,,
25479008,,Hartackerstraße,residential,30,False,True,262.965,"LINESTRING (11.621032 48.7669735, 11.6211342 48.7669288, 11.6220207 48.7665103, 11.6222763 48.7663898, 11.6224819 48.7662923, 11.6226202 48.7662184, 11.6226988 48.7661812, 11.62306 48.7659526, 11.6234463 48.7657543, 11.6239058 48.7655647)",,,,
32208989,,Schulstraße,residential,30,False,True,146.688,"LINESTRING (11.621032 48.7669735, 11.6210779 48.7670068, 11.6211399 48.7670521, 11.6217254 48.767724, 11.6217868 48.7678076, 11.6214834 48.7679303, 11.6213301 48.7679759)",,,,
25479008,,Hartackerstraße,residential,30,False,False,77.81700000000001,"LINESTRING (11.6248189 48.7652147, 11.6246928 48.7652442, 11.6245969 48.7652666, 11.6240174 48.7655222, 11.6239058 48.7655647)",,,,
32208969,2,Jahnstraße,unclassified,50,False,True,104.29700000000001,"LINESTRING (11.6248189 48.7652147, 11.624865 48.7652829, 11.6248969 48.7653142, 11.6249887 48.7654044, 11.625177 48.7655893, 11.6252833 48.7656937, 11.6255478 48.7659207, 11.6256197 48.765988)",,,,
127930358,2,Hartackerstraße,unclassified,50,False,False,83.29100000000001,"LINESTRING (11.6248189 48.7652147, 11.6248202 48.7651515, 11.6248705 48.765079, 11.6250899 48.7648786, 11.625243 48.7646842, 11.6253397 48.7645596)",,,,
26966762,,Agnes-Bernauer-Straße,residential,,False,True,64.647,"LINESTRING (11.6171796 48.7714613, 11.6174184 48.7713051, 11.6175765 48.7712086, 11.6177084 48.7711281, 11.6177201 48.7711209, 11.6178328 48.7710726)",,,,
261891372,,Feldweberstraße,residential,30,False,True,17.537,"LINESTRING (11.6208937 48.7668448, 11.621032 48.7669735)",,,,
261891372,,Feldweberstraße,residential,30,False,False,46.07900000000001,"LINESTRING (11.6208937 48.7668448, 11.6208557 48.7667021, 11.6207843 48.7665321, 11.6207394 48.7664438)",,,,
32277561,,Hebbelstraße,residential,30,False,True,221.298,"LINESTRING (11.6207394 48.7664438, 11.620604 48.7664446, 11.6185201 48.7657481, 11.6181106 48.7656329, 11.618012 48.7656151)",,,,
261891372,,Feldweberstraße,residential,30,False,False,83.28099999999999,"LINESTRING (11.6207394 48.7664438, 11.6207233 48.7663742, 11.6207051 48.7662454, 11.6207177 48.7660363, 11.6207367 48.7658766, 11.6207518 48.7657857, 11.6207532 48.7656974)",,,,
261891372,,Feldweberstraße,residential,30,False,True,46.079,"LINESTRING (11.6207394 48.7664438, 11.6207843 48.7665321, 11.6208557 48.7667021, 11.6208937 48.7668448)",,,,
32208972,,Frühlingstraße,residential,,False,False,8.31,"LINESTRING (11.6213141 48.7642709, 11.62142 48.7642976)",,,,
753587639,,Feldweberstraße,residential,30,False,False,131.88299999999998,"LINESTRING (11.6213141 48.7642709, 11.6213582 48.764193, 11.6217404 48.7635187, 11.6218312 48.7632374, 11.6218613 48.763144)",,,,
