osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,access
166256526,2,S 116,Bautzener Straße,secondary,50,False,True,141.773,"LINESTRING (14.4264754 51.0903312, 14.4261725 51.0901072, 14.4260278 51.0899641, 14.4259372 51.0897809, 14.4259127 51.089591, 14.4259824 51.089408, 14.4261274 51.0891848)",,,
27523339,,,Fabrikstraße,residential,,False,False,120.796,"LINESTRING (14.4381731 51.0890866, 14.4381031 51.088969, 14.4380401 51.0888524, 14.4379757 51.0887104, 14.437955 51.088609, 14.4379192 51.088176, 14.4378939 51.0881149, 14.4378315 51.0880327)",,,
27523346,,K 7245,Kirschauer Straße,tertiary,,False,True,48.563,"LINESTRING (14.4381731 51.0890866, 14.4380108 51.0891537, 14.4377984 51.0892589, 14.4376487 51.089369)",,,
134953119,,K 7245,Kirschauer Straße,tertiary,,False,True,60.537,"LINESTRING (14.4381731 51.0890866, 14.4384115 51.0890621, 14.4385916 51.0890489, 14.4386497 51.0890524, 14.4388375 51.0890757, 14.4390201 51.089117)",,,
"[27523338, 134953115]",,,Gartenstraße,residential,,False,False,83.07300000000001,"LINESTRING (14.4378315 51.0880327, 14.4379395 51.0880272, 14.438096 51.0880369, 14.4385426 51.0881947, 14.4388599 51.0882706, 14.4389303 51.0882796)",,,
27523339,,,Fabrikstraße,residential,,False,True,120.796,"LINESTRING (14.4378315 51.0880327, 14.4378939 51.0881149, 14.4379192 51.088176, 14.437955 51.088609, 14.4379757 51.0887104, 14.4380401 51.0888524, 14.4381031 51.088969, 14.4381731 51.0890866)",,,
37938286,2,K 7245,Callenberger Straße,tertiary,,False,False,171.04199999999997,"LINESTRING (14.432415 51.0897688, 14.4325358 51.089731, 14.4326636 51.0897243, 14.4328015 51.0897521, 14.4331954 51.0898949, 14.4333472 51.0899522, 14.4334407 51.0899864, 14.4335307 51.0900234, 14.4340175 51.0902293, 14.4340748 51.0902495, 14.4341616 51.0902839, 14.4342733 51.0903076, 14.4344372 51.09031, 14.4345184 51.0903054, 14.4345923 51.0902985)",,,
37938287,,,Am Schlossberg,residential,,False,False,12.648,"LINESTRING (14.432415 51.0897688, 14.432373 51.0897253, 14.4323199 51.089672)",,,
27523337,,,Ringstraße,residential,,False,False,8.677,"LINESTRING (14.4390201 51.089117, 14.4390614 51.0891906)",,,
134953119,,K 7245,Kirschauer Straße,tertiary,,False,False,60.537,"LINESTRING (14.4390201 51.089117, 14.4388375 51.0890757, 14.4386497 51.0890524, 14.4385916 51.0890489, 14.4384115 51.0890621, 14.4381731 51.0890866)",,,
166256526,2,S 116,Bautzener Straße,secondary,50,False,False,141.773,"LINESTRING (14.4261274 51.0891848, 14.4259824 51.089408, 14.4259127 51.089591, 14.4259372 51.0897809, 14.4260278 51.0899641, 14.4261725 51.0901072, 14.4264754 51.0903312)",,,
