osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,bridge,geometry,width,junction,access
55449119,Friedrichstraße,residential,False,False,74.741,,,,,"LINESTRING (14.0149903 53.6299076, 14.0146285 53.6305446)",,,
"[23203215, 262109712, 23203218, 23062233, 995724473, 262116412]","['Breite Straße', 'Friedrichstraße']",secondary,False,False,287.09499999999997,3,L 32,DE:urban,yes,"LINESTRING (14.0149903 53.6299076, 14.0147275 53.6299337, 14.0142624 53.6299629, 14.0139724 53.62996, 14.0137111 53.6299395, 14.0133087 53.6298778, 14.0130832 53.6298131, 14.0128037 53.629714, 14.0125867 53.6296419, 14.0120751 53.6294719, 14.0119579 53.6294362, 14.0118663 53.6294084, 14.0116176 53.6293559, 14.0114583 53.6293413, 14.0113347 53.6293299, 14.0110816 53.6293173, 14.010882 53.6293074)",,,
"[327547223, 262108199]",Pasewalker Straße,tertiary,False,True,118.357,"['2', '3']",,50,,"LINESTRING (14.0149903 53.6299076, 14.0153505 53.6292826, 14.0153974 53.6292011, 14.0155776 53.6289018)",,,
"[266522113, 1051347597]",Friedrichstraße,secondary,False,True,123.584,2,L 32,,,"LINESTRING (14.0149903 53.6299076, 14.0154568 53.6298996, 14.0158438 53.629893, 14.0168641 53.6299001)",,,
23203214,Friedrichstraße,secondary,False,False,119.776,,L 32,DE:urban,,"LINESTRING (14.0186805 53.6299102, 14.0168641 53.6299001)",,,
55363616,Schleusenufer,unclassified,False,False,245.853,,,,,"LINESTRING (14.0186805 53.6299102, 14.0187836 53.6310376, 14.0169634 53.6311126)",4,,
"[24652528, 262116416]",Karlsfelder Straße,residential,False,False,132.97899999999998,3,,,,"LINESTRING (14.0132301 53.6344845, 14.0133081 53.6344815, 14.0134332 53.6344776, 14.0145561 53.6343919, 14.0152306 53.6343348)",,,
1228717661,,tertiary,True,False,21.096,,,,,"LINESTRING (14.0132301 53.6344845, 14.0132324 53.6345116, 14.0132238 53.6345382, 14.013205 53.6345629, 14.0131769 53.6345843, 14.0131411 53.6346011, 14.0130996 53.6346125, 14.0130548 53.6346178)",,roundabout,
262116412,Breite Straße,secondary,False,True,6.243,3,L 32,,,"LINESTRING (14.0107877 53.6293024, 14.010882 53.6293074)",,,
"[262116413, 77348149]",Breite Straße,secondary,False,False,156.992,3,L 32,,,"LINESTRING (14.0107877 53.6293024, 14.0105725 53.6292925, 14.0099853 53.6292656, 14.0091098 53.6292027, 14.0084317 53.6291147)",,,
"[1228856320, 262116411]",Bahnhofstraße,tertiary,False,True,136.32899999999998,3,K 75,,,"LINESTRING (14.0107877 53.6293024, 14.0107866 53.6294237, 14.0107838 53.6297405, 14.0107673 53.63005, 14.0107746 53.630216, 14.0108038 53.6303502, 14.010892 53.6305192)",,,
57993253,,unclassified,False,False,59.246,,,,,"LINESTRING (14.0038293 53.6325628, 14.0046359 53.632328)",,,
28364586,Espelkamper Straße,residential,False,True,136.013,,,,,"LINESTRING (14.0038293 53.6325628, 14.0040252 53.6326269, 14.0042478 53.6326913, 14.0057155 53.6330561)",,,
28364586,Espelkamper Straße,residential,False,False,129.32,,,,,"LINESTRING (14.0101965 53.6348047, 14.0095037 53.6344853, 14.0090722 53.6342973, 14.0086262 53.6341081)",,,
"[30841900, 1229025557, 1231173655, 1229082140, 1229056574]",Bahnhofstraße,residential,False,False,152.457,,,,,"LINESTRING (14.0101965 53.6348047, 14.0102119 53.6347659, 14.0102555 53.6346846, 14.0103079 53.6346012, 14.0103749 53.6345248, 14.0103862 53.6345108, 14.0110069 53.6337415, 14.0111054 53.633584, 14.0111291 53.6335525)",,,
55188525,Bahnhofstraße,tertiary,False,False,189.72500000000002,,K 75,,,"LINESTRING (14.0112098 53.6332919, 14.0112227 53.6332352, 14.0112956 53.6329809, 14.0113141 53.6328957, 14.011382 53.6324857, 14.0114032 53.632243, 14.011405 53.6321585, 14.0114215 53.631867, 14.0113966 53.6315934)",,,
72135983,,tertiary,True,False,29.648,,,,,"LINESTRING (14.0112098 53.6332919, 14.0112827 53.6333022, 14.0113459 53.633326, 14.0113924 53.6333609, 14.011417 53.6334029, 14.0114169 53.6334473, 14.0113923 53.6334893)",,roundabout,
262116417,Karlsfelder Straße,residential,False,False,60.452,,,,,"LINESTRING (14.0152306 53.6343348, 14.0161383 53.634258)",,,
"[262116416, 24652528]",Karlsfelder Straße,residential,False,True,132.97899999999998,3,,,,"LINESTRING (14.0152306 53.6343348, 14.0145561 53.6343919, 14.0134332 53.6344776, 14.0133081 53.6344815, 14.0132301 53.6344845)",,,
262116417,Karlsfelder Straße,residential,False,True,55.979,,,,,"LINESTRING (14.0169806 53.6341947, 14.0166221 53.6342208, 14.0161383 53.634258)",,,
