osmid,oneway,name,highway,maxspeed,width,reversed,length,geometry,lanes,ref,bridge
31961703,False,Bobersbergstraße,residential,50,5.4,True,159.57399999999998,"LINESTRING (13.5332771 51.2866881, 13.5332969 51.2867435, 13.5333414 51.2868628, 13.5333564 51.2868905, 13.5333887 51.2869249, 13.5334362 51.2869557, 13.5334776 51.2869784, 13.5335311 51.2870017, 13.5336019 51.2870237, 13.5336903 51.2870434, 13.5338291 51.2870712, 13.5343265 51.2871585, 13.5344187 51.287174, 13.5346736 51.287217, 13.534908 51.2872493, 13.5350465 51.2872684, 13.5351729 51.2872925)",,,
"[534092226, 11951148]",False,Weßnitzer Straße,tertiary,50,,True,144.127,"LINESTRING (13.5332771 51.2866881, 13.5331385 51.2867131, 13.5330436 51.2867218, 13.5325894 51.2867259, 13.5325084 51.2867265, 13.5322452 51.2867209, 13.5319206 51.2867009, 13.5318846 51.2866985, 13.5315713 51.2866761, 13.531486 51.2866712, 13.531422 51.2866714, 13.5313105 51.2866836, 13.5312222 51.2867021)","['2', '3']",K 8531,
"[1131956409, 31987257, 8582927]",True,Naundorfer Straße,residential,30,,False,42.865,"LINESTRING (13.5338632 51.2924738, 13.5339115 51.2924794, 13.5339679 51.2924888, 13.5342493 51.2925264, 13.5344112 51.292515, 13.5344692 51.2925115)",2,,
23897723,True,Lessingplatz,residential,30,,False,58.852,"LINESTRING (13.5338632 51.2924738, 13.5339541 51.2922545, 13.534021 51.2920879, 13.5340701 51.2919606)",,,
8582927,True,Naundorfer Straße,residential,30,,False,94.037,"LINESTRING (13.5325124 51.2925128, 13.5327448 51.2925025, 13.5329817 51.2924976, 13.5332885 51.2924879, 13.5338632 51.2924738)",,,
8582931,False,Kirchplatz,residential,30,11,False,61.068,"LINESTRING (13.531023 51.292715, 13.5307958 51.2921845)",,,
8582927,True,Naundorfer Straße,residential,30,,False,101.263,"LINESTRING (13.531023 51.292715, 13.5317358 51.2925907, 13.5318781 51.2925627, 13.5319775 51.2925471, 13.5322364 51.2925248, 13.5324392 51.2925161)",,,
23209274,True,Kirchplatz,residential,,,False,104.617,"LINESTRING (13.531023 51.292715, 13.5308447 51.2927195, 13.5301394 51.2926872, 13.5299007 51.2926754, 13.529847 51.2924405)",,,
49713268,True,Hauptmarkt,residential,30,,False,5.57,"LINESTRING (13.5306636 51.2919544, 13.5306407 51.2919064)",,,
227172740,False,Kirchplatz,residential,30,,True,27.187,"LINESTRING (13.5306636 51.2919544, 13.5307958 51.2921845)",,,
244164622,True,Hauptmarkt,residential,,,False,72.84,"LINESTRING (13.5312488 51.2916179, 13.5313393 51.2918168, 13.5313023 51.29184, 13.5311032 51.2918735, 13.5308991 51.2919114, 13.5306636 51.2919544)",,,
722790410,False,Frauenmarkt,residential,30,,True,62.485,"LINESTRING (13.5312488 51.2916179, 13.5315378 51.2915846, 13.5321325 51.291516)",,,
23953111,False,Frauenmarkt,residential,30,,True,31.198999999999998,"LINESTRING (13.5321325 51.291516, 13.5323783 51.2914934, 13.5325763 51.2914748)",,,
722790410,False,Frauenmarkt,residential,30,,False,62.485,"LINESTRING (13.5321325 51.291516, 13.5315378 51.2915846, 13.5312488 51.2916179)",,,
