osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,junction,access
439436074,3,Mühlenstraße,secondary,50,False,True,19.186,"LINESTRING (9.4814399 53.1678949, 9.4813205 53.1679483, 9.4812798 53.1679659, 9.481208 53.1679971)",,,,
"[260380257, 439805221]","['2', '3']",Bremer Straße,primary,50,False,True,371.1,"LINESTRING (9.4814399 53.1678949, 9.4812803 53.1677905, 9.480936 53.167556, 9.4802405 53.1670591, 9.4800345 53.1669124, 9.4798049 53.1667198, 9.4794312 53.1664007, 9.4783705 53.1653858, 9.4781822 53.1651985)",B 75,,,
439805223,2,Große Straße,primary,50,False,False,24.581,"LINESTRING (9.4814399 53.1678949, 9.4815418 53.1679694, 9.4815677 53.1679863, 9.4816229 53.1680222, 9.4816837 53.1680606)",B 75,,,
"[439889184, 184127833, 184127834, 28218228]",2,Zevener Straße,secondary,50,False,True,154.556,"LINESTRING (9.4784021 53.1709253, 9.4785234 53.1707987, 9.4786088 53.1706485, 9.4786517 53.1705363, 9.4786826 53.1704218, 9.4788071 53.1700195, 9.4788835 53.1698638, 9.4789274 53.1697667, 9.4789381 53.1697441, 9.4789603 53.1696975, 9.4789886 53.1696553, 9.4790289 53.1695953)",L 131,yes,,
439436069,2,Große Straße,primary,50,False,True,6.874,"LINESTRING (9.4826684 53.1687173, 9.4825958 53.1686734)",B 75,,,
"[76789963, 439436071]",2,Große Straße,primary,50,False,False,128.03300000000002,"LINESTRING (9.4826684 53.1687173, 9.4827948 53.1687691, 9.4828201 53.1687795, 9.4828498 53.1687899, 9.4829834 53.1688155, 9.4830693 53.1688232, 9.483155 53.1688246, 9.4835576 53.1688129, 9.4839238 53.1688022, 9.4845431 53.1687842)",B 75,,,
439436378,1,Zevener Straße,secondary,50,True,False,23.215,"LINESTRING (9.4826684 53.1687173, 9.4825705 53.1687894, 9.4824876 53.1688244, 9.4823979 53.1688361)",L 131,,,
260380257,2,Bremer Straße,primary,50,False,False,27.968,"LINESTRING (9.4779623 53.1649843, 9.4781822 53.1651985)",B 75,,,
260380257,2,Bremer Straße,primary,50,False,True,25.935,"LINESTRING (9.4779623 53.1649843, 9.4777627 53.1647841)",B 75,,,
24597978,,Leehopweg,residential,30,False,False,74.947,"LINESTRING (9.4779623 53.1649843, 9.4780293 53.1649474, 9.4781741 53.1648666, 9.4782726 53.1647694, 9.478423 53.1643929)",,,,
24742712,,Bahnhofstraße,residential,50,False,False,62.136,"LINESTRING (9.4900162 53.166528, 9.4908533 53.1662822)",,,,
24742712,,Bahnhofstraße,residential,50,False,True,239.83100000000002,"LINESTRING (9.4900162 53.166528, 9.4889107 53.1668577, 9.4885621 53.1669616, 9.4870241 53.1674177, 9.4867929 53.1674862)",,,,
24742731,,Wilhelmstraße,residential,50,False,False,226.0,"LINESTRING (9.4900162 53.166528, 9.4900555 53.1665764, 9.491463 53.1683079, 9.4915013 53.1683551)",,,,
24597978,,Leehopweg,residential,30,False,True,24.844,"LINESTRING (9.4785097 53.1641756, 9.478423 53.1643929)",,,,
24597978,,Leehopweg,residential,30,False,False,64.026,"LINESTRING (9.4785097 53.1641756, 9.4786799 53.1637241, 9.4787238 53.1636143)",,,,
24597978,,Leehopweg,residential,30,False,True,115.46,"LINESTRING (9.4791364 53.162606, 9.479087 53.1627046, 9.4789011 53.1631702, 9.4787238 53.1636143)",,,,
24830610,,Gartenstraße,residential,30,False,False,314.131,"LINESTRING (9.4791364 53.162606, 9.4819897 53.1628178, 9.4838159 53.1629365)",,,,
24597984,,Veerser Weg,residential,30,False,True,123.987,"LINESTRING (9.4838159 53.1629365, 9.4835943 53.1640436)",,,,
24830610,,Gartenstraße,residential,30,False,True,314.131,"LINESTRING (9.4838159 53.1629365, 9.4819897 53.1628178, 9.4791364 53.162606)",,,,
24831153,,Im Garten,residential,30,False,False,116.499,"LINESTRING (9.4838159 53.1629365, 9.4844605 53.1630017, 9.485013 53.16314, 9.4855053 53.1631714)",,,,
24597978,,Leehopweg,residential,30,False,False,115.46000000000001,"LINESTRING (9.4787238 53.1636143, 9.4789011 53.1631702, 9.479087 53.1627046, 9.4791364 53.162606)",,,,
24597978,,Leehopweg,residential,30,False,True,64.026,"LINESTRING (9.4787238 53.1636143, 9.4786799 53.1637241, 9.4785097 53.1641756)",,,,
24830611,,Feldstraße,residential,30,False,False,328.6,"LINESTRING (9.4787238 53.1636143, 9.4817881 53.1638361, 9.4826507 53.16397, 9.4835943 53.1640436)",,,,
24597984,,Veerser Weg,residential,30,False,False,123.987,"LINESTRING (9.4835943 53.1640436, 9.4838159 53.1629365)",,,,
