osmid,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,lanes,ref,width
"[180580645, 83702408, 28427124, 206528150, 7838905]",Tiszafölgvárplatz,unclassified,False,False,99.07199999999999,"LINESTRING (11.251336 49.6421332, 11.2511826 49.6421798, 11.2510495 49.6422191, 11.250843 49.6423177, 11.250774 49.6423416, 11.2506593 49.6423648, 11.250539 49.6423451, 11.2504085 49.6423455, 11.2502349 49.6423056, 11.250089 49.6422538)",,,,,
"[677355467, 868232215]",Bahnhofstraße,tertiary,False,False,270.238,"LINESTRING (11.251336 49.6421332, 11.2515284 49.6422146, 11.2516375 49.642291, 11.2516902 49.6424395, 11.2516573 49.6425411, 11.251597 49.6425864, 11.2514765 49.6426256, 11.2510192 49.6426732, 11.2507656 49.6427177, 11.2504702 49.6427613, 11.2501385 49.642824, 11.2499921 49.6428932, 11.2498213 49.6429695, 11.2496279 49.6430912, 11.2492473 49.6434769)",30,,,,
677355467,Bahnhofstraße,tertiary,False,True,21.617,"LINESTRING (11.249053 49.6436251, 11.2492473 49.6434769)",30,,,,
980532776,Bahnhofstraße,tertiary,False,False,3.997,"LINESTRING (11.249053 49.6436251, 11.249004 49.643642)",30,,,,
"[23415232, 856540649, 856540650, 111798099, 23422298]",Am Gesteiger,"['residential', 'living_street']",False,"[False, True]",145.774,"LINESTRING (11.249053 49.6436251, 11.249132 49.6437055, 11.2489996 49.6438792, 11.2490108 49.6439595, 11.2490222 49.6440112, 11.2490982 49.6443361, 11.2491234 49.644502, 11.2491659 49.6445549, 11.2492416 49.644576, 11.249243 49.6446446, 11.2492472 49.6448568)",,building_passage,,,
23024140,Bahnhofstraße,tertiary,False,False,54.971000000000004,"LINESTRING (11.2479904 49.6449137, 11.2482731 49.6451062, 11.2485571 49.6452422)",30,,2,FO 28,
"[202818904, 111798098]",Guttenburger Straße,tertiary,False,True,207.483,"LINESTRING (11.2479904 49.6449137, 11.2478205 49.6448208, 11.2476819 49.6446545, 11.2475875 49.6444296, 11.2475038 49.6442303, 11.2473357 49.6439983, 11.2470745 49.6437262, 11.2467765 49.6435255, 11.2464796 49.6433847)",30,,2,FO 28,
"[980532776, 868232214]",Bahnhofstraße,tertiary,False,True,172.82,"LINESTRING (11.2479904 49.6449137, 11.2479287 49.6446681, 11.2479122 49.6444651, 11.247957 49.6444062, 11.2480972 49.644222, 11.248292 49.644043, 11.2485534 49.6438724, 11.2486229 49.6438369, 11.248925 49.6436824, 11.249004 49.643642)",30,,,,
23024140,Bahnhofstraße,tertiary,False,True,54.971000000000004,"LINESTRING (11.2485571 49.6452422, 11.2482731 49.6451062, 11.2479904 49.6449137)",30,,2,FO 28,
23030237,Bahnhofstraße,living_street,False,False,49.304,"LINESTRING (11.2485571 49.6452422, 11.2487376 49.645117, 11.2488819 49.644991, 11.2489624 49.6448882)",,,,,
