osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,width,access,junction
36298690,K 14,Dürkheimer Straße,tertiary,False,True,141.025,,,"LINESTRING (8.3679025 49.3861586, 8.3669898 49.3872791)",,,,
23052453,,Iggelheimer Straße,residential,False,True,102.61699999999999,2,50,"LINESTRING (8.3679025 49.3861586, 8.3679709 49.3861689, 8.3680506 49.3861797, 8.3681475 49.3861918, 8.3682762 49.3862058, 8.3683799 49.3862172, 8.3684947 49.3862318, 8.368598 49.386248, 8.3687 49.3862682, 8.3688036 49.3862914, 8.3691446 49.3863743, 8.3692645 49.3864041)",,,,
1054336561,K 14,Iggelheimer Straße,tertiary,False,False,89.105,2,50,"LINESTRING (8.3679025 49.3861586, 8.3678444 49.3861491, 8.367776 49.3861373, 8.3677022 49.3861216, 8.3676224 49.3861028, 8.367552 49.386084, 8.3674696 49.3860596, 8.3673737 49.3860295, 8.3673018 49.3860032, 8.3668247 49.3857859)",,,,
1054342403,,Bahnhofstraße,residential,False,True,6.977,2,30,"LINESTRING (8.3696337 49.3901569, 8.369554 49.3901922)",,,,
"[59825609, 1051758068, 37263991]",,Altenhofstraße,residential,False,False,18.953,,30,"LINESTRING (8.3696337 49.3901569, 8.3695911 49.3901063, 8.3695378 49.3900384, 8.3695129 49.3900057)",yes,,,
"[38129229, 722983142]",,Bahnhofstraße,residential,False,False,135.79500000000002,2,"['50', '30']","LINESTRING (8.3696337 49.3901569, 8.3696744 49.3901392, 8.369715 49.3901229, 8.369757 49.3901077, 8.369803 49.3900925, 8.3698447 49.3900793, 8.3698826 49.3900678, 8.371202 49.3896805, 8.3713336 49.3896419)",yes,,,
23956413,,Burgstraße,residential,True,False,119.06500000000001,,30,"LINESTRING (8.3699428 49.3860354, 8.3699738 49.385999, 8.3700023 49.3859658, 8.3700237 49.3859397, 8.3701076 49.3858237, 8.3702251 49.3855687, 8.3702696 49.3853917, 8.3702943 49.3852, 8.3703225 49.3850055)",,,,
26135677,,Burgstraße,residential,False,False,69.736,,30,"LINESTRING (8.3699428 49.3860354, 8.3698277 49.3861502, 8.3697012 49.3862681, 8.3696704 49.3862967, 8.3696388 49.3863241, 8.3696119 49.3863449, 8.3695822 49.3863646, 8.3695526 49.3863804, 8.3695219 49.3863944, 8.3695082 49.386399, 8.3694951 49.3864034, 8.3694658 49.3864101, 8.3694309 49.3864145, 8.3693934 49.3864171, 8.3693619 49.3864171, 8.3693283 49.3864149, 8.3693008 49.386411, 8.3692645 49.3864041)",,,,
1098562269,,Kirchenstraße,residential,False,True,69.905,,30,"LINESTRING (8.3699428 49.3860354, 8.3700827 49.3860906, 8.3701466 49.386116, 8.3702175 49.3861452, 8.3702799 49.3861722, 8.3703275 49.386194, 8.3703764 49.3862181, 8.3704267 49.3862442, 8.3705266 49.3862983, 8.370538 49.3863045, 8.3707219 49.3864047)",,,,
23956411,,Mannheimer Straße,residential,False,True,133.91199999999998,2,50,"LINESTRING (8.3741136 49.3876306, 8.3741375 49.3876387, 8.3741672 49.3876498, 8.3741928 49.3876589, 8.3742202 49.3876682, 8.374247 49.3876762, 8.3742737 49.3876835, 8.3743103 49.3876921, 8.3743503 49.3877013, 8.3744754 49.3877275, 8.3746842 49.3877706, 8.374788 49.3877917, 8.3750225 49.3878394, 8.3751754 49.3878691, 8.3753191 49.3878959, 8.3754754 49.3879236, 8.3756287 49.3879489, 8.375754 49.3879693, 8.3758762 49.3879888)",,,,
27317561,,Kirchenstraße,residential,False,False,61.87200000000001,,30,"LINESTRING (8.3741136 49.3876306, 8.3739259 49.3875789, 8.3738604 49.3875609, 8.373458 49.3874464, 8.3733901 49.3874267, 8.3733716 49.3874212, 8.3733298 49.3874086)",,,,
1118958266,,Bahnhofstraße,residential,False,True,149.839,2,30,"LINESTRING (8.3741136 49.3876306, 8.3740993 49.3877158, 8.3740582 49.3878325, 8.3740272 49.3879073, 8.3739908 49.3879927, 8.3739529 49.3880775, 8.3739078 49.3881722, 8.3738514 49.3882868, 8.3738046 49.3883771, 8.3737285 49.3885104, 8.373677 49.3885915, 8.3736438 49.388639, 8.373608 49.3886871, 8.3735742 49.3887276, 8.373542 49.3887639, 8.3734987 49.3888083, 8.3734489 49.388852, 8.3734079 49.3888848)",,,,
"[38129229, 722983142]",,Bahnhofstraße,residential,False,True,135.79500000000002,2,"['50', '30']","LINESTRING (8.3713336 49.3896419, 8.371202 49.3896805, 8.3698826 49.3900678, 8.3698447 49.3900793, 8.369803 49.3900925, 8.369757 49.3901077, 8.369715 49.3901229, 8.3696744 49.3901392, 8.3696337 49.3901569)",yes,,,
38129231,,Bahnhofstraße,residential,False,False,27.603,,30,"LINESTRING (8.3713336 49.3896419, 8.3714139 49.3896176, 8.3714275 49.3896135, 8.3716796 49.3895375)",,,,
27317562,,Bleichstraße,residential,False,True,125.57300000000001,,30,"LINESTRING (8.3748421 49.3894623, 8.3754077 49.3887563, 8.3756147 49.3884517)",,,,
36298653,,Frederickstraße,residential,False,False,122.13600000000001,,30,"LINESTRING (8.3748421 49.3894623, 8.3747614 49.389435, 8.3746693 49.3894026, 8.3745168 49.389346, 8.3742444 49.3892402, 8.3740894 49.3891786, 8.3739955 49.38914, 8.3739023 49.3891009, 8.3734079 49.3888848)",,,,
36298654,,Danziger Straße,residential,False,True,71.482,,30,"LINESTRING (8.3748421 49.3894623, 8.3751282 49.3895368, 8.3751477 49.3895424, 8.3754253 49.3896222, 8.3757159 49.3897037, 8.3757514 49.389713)",,8.5,,
545640257,,Bleichstraße,residential,False,False,65.959,,30,"LINESTRING (8.3748421 49.3894623, 8.3746534 49.3896994, 8.3745938 49.3897705, 8.3745256 49.3898455, 8.3744527 49.3899186, 8.3744044 49.3899821)",,,,
