osmid,name,highway,maxspeed,oneway,reversed,length,width,geometry,bridge,ref,lanes
192560072,Medlinger Straße,tertiary,50,False,True,26.791,,"LINESTRING (10.3638108 48.5546585, 10.3634472 48.5546699)",,,
23627387,Schäfstraße,tertiary,50,False,False,95.248,5,"LINESTRING (10.3638108 48.5546585, 10.3638372 48.5544684, 10.3638782 48.5543362, 10.3640393 48.5538163)",,,
32771036,Medlinger Straße,tertiary,50,False,False,20.172,,"LINESTRING (10.3638108 48.5546585, 10.3639299 48.5546692, 10.3640824 48.5546828)",,,
23627387,Schäfstraße,tertiary,50,False,True,134.65900000000002,5,"LINESTRING (10.3643146 48.5526191, 10.3642587 48.5528718, 10.3641775 48.5532386, 10.364122 48.5534704, 10.3640941 48.5535873, 10.3640393 48.5538163)",,,
26397586,Brenzerstraße,residential,30,False,False,183.373,5,"LINESTRING (10.3643146 48.5526191, 10.3635478 48.552549, 10.3634894 48.5525437, 10.3633208 48.552517, 10.3632552 48.5525066, 10.3630833 48.5524794, 10.3628663 48.552445, 10.3624965 48.5523865, 10.3618766 48.5522883)",,,
192560079,Schäfstraße,tertiary,30,False,False,119.70300000000002,5,"LINESTRING (10.3643146 48.5526191, 10.3644259 48.5523366, 10.3646028 48.5520421, 10.3647616 48.5518807, 10.3648298 48.5518113, 10.364868 48.5517798, 10.3650116 48.5516614)",,,
26397589,Obere Vorstadt,residential,30,False,False,161.163,4,"LINESTRING (10.3650116 48.5516614, 10.3648076 48.5515635, 10.3642117 48.5512775, 10.3640043 48.5511674, 10.3638958 48.5511098, 10.36381 48.5510642, 10.3637746 48.5510454, 10.3637039 48.5510188, 10.3635529 48.5509619, 10.3633291 48.5509053, 10.3631922 48.5508707)",,,
116847243,Schäfstraße,tertiary,30,False,False,45.065,5,"LINESTRING (10.3650116 48.5516614, 10.3651105 48.5516065, 10.3651467 48.5515864, 10.3653555 48.5515056, 10.3655195 48.5514369)",,,
192560079,Schäfstraße,tertiary,30,False,True,119.703,5,"LINESTRING (10.3650116 48.5516614, 10.364868 48.5517798, 10.3648298 48.5518113, 10.3647616 48.5518807, 10.3646028 48.5520421, 10.3644259 48.5523366, 10.3643146 48.5526191)",,,
26339749,Walkstraße,residential,30,False,False,38.43,,"LINESTRING (10.3668779 48.5500268, 10.3671252 48.5501238, 10.3673404 48.5501857)",,,
