osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,width,tunnel
26586914,4,B 8;B 470,Forchheimer Straße,primary,50,False,False,32.791000000000004,"LINESTRING (10.604636 49.5816788, 10.6047388 49.581823, 10.6048268 49.5819465)",,,,
"[547599088, 977443863, 40381782, 40381783]",2,B 8,Riedfelder Ortsstraße,primary,50,False,True,116.743,"LINESTRING (10.604636 49.5816788, 10.604413 49.5816899, 10.6043585 49.5816949, 10.6035741 49.5817669, 10.603157 49.5818052, 10.60303 49.5818088)",yes,,,
149450830,,,Würzburger Straße,residential,,False,False,32.194,"LINESTRING (10.604636 49.5816788, 10.6048424 49.5816631, 10.6048898 49.5816595, 10.6050795 49.581645)",,,,
"[228332506, 228332502, 228332503]","['4', '3']",B 470,Rothenburger Straße,primary,50,False,True,132.349,"LINESTRING (10.604636 49.5816788, 10.6045201 49.5815162, 10.6044871 49.5814699, 10.6042234 49.5811001, 10.6040501 49.5808988, 10.6038897 49.5807376, 10.6037807 49.5806281)",,,,
149441174,,St 2255,Plärrer,secondary,50,False,False,32.928,"LINESTRING (10.6052792 49.5784159, 10.604897 49.5782538)",,,,
29315226,,,Wilhelmstraße,residential,30,False,True,99.605,"LINESTRING (10.6052792 49.5784159, 10.6057979 49.5786478, 10.6064161 49.5789248)",,,,
96066196,,St 2255,Ansbacher Straße,secondary,50,False,True,55.856,"LINESTRING (10.6052792 49.5784159, 10.6054886 49.5782298, 10.6057353 49.5780494, 10.6057535 49.5780209)",,,,
149441174,,St 2255,Plärrer,secondary,50,False,True,32.928,"LINESTRING (10.604897 49.5782538, 10.6052792 49.5784159)",,,,
24993774,,,Bahnhofstraße,residential,50,False,False,71.949,"LINESTRING (10.604897 49.5782538, 10.6043499 49.5780091, 10.6040663 49.5778956)",,,,
149441125,,St 2255,Alleestraße,secondary,50,False,False,38.403999999999996,"LINESTRING (10.604897 49.5782538, 10.6047551 49.5783701, 10.604607 49.5785422)",,,,
"[1107776337, 779359693]",,,Riedweg,residential,,True,False,18.396,"LINESTRING (10.6015915 49.5783319, 10.6016417 49.5783401, 10.6016898 49.5783624, 10.6017179 49.5783905, 10.6017295 49.5784232, 10.601726 49.5784496)",,roundabout,,
25114097,,,Raiffeisenstraße,residential,,False,False,100.619,"LINESTRING (10.6042945 49.5792113, 10.6039141 49.5791336, 10.6035522 49.5790573, 10.6033016 49.5789958, 10.603007 49.5788754)",,,,
108199123,,St 2255,Alleestraße,secondary,50,False,False,98.21000000000001,"LINESTRING (10.6042945 49.5792113, 10.6041574 49.5795202, 10.6041153 49.579779, 10.604124 49.5800805)",,,,
1107776336,,St 2255,Alleestraße,secondary,50,False,True,69.702,"LINESTRING (10.6042945 49.5792113, 10.6044558 49.5788844, 10.6046063 49.5786181)",,,,
"[108199123, 685049269, 685049270]",3,St 2255,Alleestraße,secondary,50,False,False,71.649,"LINESTRING (10.604124 49.5800805, 10.6041476 49.5802869, 10.6041348 49.5803461, 10.6041114 49.5804167, 10.6040237 49.5805042, 10.6039521 49.5805486, 10.6039366 49.5805582, 10.6037807 49.5806281)",,,,
108199123,,St 2255,Alleestraße,secondary,50,False,True,98.21000000000001,"LINESTRING (10.604124 49.5800805, 10.6041153 49.579779, 10.6041574 49.5795202, 10.6042945 49.5792113)",,,,
