osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,junction,access
156357992,Schützenstraße,tertiary,50,False,True,50.889,"LINESTRING (12.0393484 50.2491345, 12.0386574 50.2490153)",,,,,
"[28254297, 28726895]","['Fabriksteig', 'Kreuzstraße']",residential,30,False,False,161.668,"LINESTRING (12.0393484 50.2491345, 12.0391987 50.2496138, 12.0390799 50.2499048, 12.0389651 50.2500638, 12.0389284 50.2500985, 12.0388981 50.2501115, 12.0388679 50.2501138, 12.03882 50.2501107, 12.038289 50.2499543)",,,,,
27466241,Maxplatz,residential,30,False,False,48.212,"LINESTRING (12.0358378 50.2481837, 12.0355681 50.2485815)",,,,,
156357991,Ludwigstraße,tertiary,50,False,False,114.094,"LINESTRING (12.0358378 50.2481837, 12.0372915 50.2486181)",,,,,
28725874,Burgstraße,residential,,False,False,121.137,"LINESTRING (12.0358378 50.2481837, 12.0363789 50.2473882, 12.0365191 50.2471852)",,,,,
"[172457068, 156321277, 28254375]",Maxplatz,tertiary,50,False,"[False, True]",120.453,"LINESTRING (12.0358378 50.2481837, 12.0351608 50.2479919, 12.0350839 50.2479683, 12.0345359 50.2478168, 12.0345152 50.2478121, 12.0343916 50.2477788, 12.0342866 50.2477486)",,yes,,,
27466241,Maxplatz,residential,30,False,True,48.212,"LINESTRING (12.0355681 50.2485815, 12.0358378 50.2481837)",,,,,
156357726,Bahnhofstraße,residential,30,True,False,43.508,"LINESTRING (12.0355681 50.2485815, 12.0353166 50.2489382)",,,,,
"[34471497, 351161683, 28236715, 34471498]",Maxplatz,"['living_street', 'residential']",30,True,False,121.21499999999999,"LINESTRING (12.0355681 50.2485815, 12.0348832 50.2483883, 12.0343217 50.2482272, 12.0342672 50.2482114, 12.0341665 50.2481833, 12.0340096 50.2481398)",,yes,,,
28254296,Wallstraße,residential,30,False,False,112.62899999999999,"LINESTRING (12.0355681 50.2485815, 12.0360857 50.2487267, 12.0370081 50.2490033)",,,,,
36805422,Bahnhofstraße,residential,30,False,False,16.818,"LINESTRING (12.0349922 50.2494629, 12.034893 50.2496002)",,,,,
28236714,Fabrikstraße,residential,30,False,False,112.311,"LINESTRING (12.0349922 50.2494629, 12.0352969 50.2494725, 12.0355579 50.2494973, 12.0358429 50.2495562, 12.0362628 50.2496869, 12.0364823 50.2497552)",,,,,
34471500,,residential,,False,False,33.028,"LINESTRING (12.0343405 50.2502135, 12.0347496 50.2503542)",,,,,
28254367,Bahnhofstraße,tertiary,50,False,False,79.393,"LINESTRING (12.0343405 50.2502135, 12.0341057 50.2504459, 12.0338646 50.2506398, 12.0336325 50.2507578)",HO 5,,,,
"[28758304, 28758305, 36805422]",Bahnhofstraße,residential,30,False,True,78.717,"LINESTRING (12.0343405 50.2502135, 12.0347268 50.2497922, 12.034806 50.2497058, 12.0348648 50.2496372, 12.034893 50.2496002)",,yes,,,
156357650,Goethestraße,tertiary,50,False,False,113.805,"LINESTRING (12.0343405 50.2502135, 12.0335501 50.2499417, 12.0329308 50.2497288)",HO 5,,,,
156357649,Am Bahnhof,residential,,False,False,51.205,"LINESTRING (12.0336325 50.2507578, 12.033027 50.2505085)",,,,,
28254367,Bahnhofstraße,tertiary,50,False,True,79.393,"LINESTRING (12.0336325 50.2507578, 12.0338646 50.2506398, 12.0341057 50.2504459, 12.0343405 50.2502135)",HO 5,,,,
156356884,Bahnhofstraße,tertiary,50,False,False,50.522999999999996,"LINESTRING (12.0336325 50.2507578, 12.0333815 50.2509034, 12.0333132 50.2509371, 12.0330821 50.2510442)",HO 5,,2,,
28254302,Rudolf-Breitscheid-Straße,residential,,False,True,61.854,"LINESTRING (12.0329308 50.2497288, 12.0326206 50.2502485)",,,,,
28254368,Goethestraße,residential,50,False,False,390.77900000000005,"LINESTRING (12.0329308 50.2497288, 12.0323757 50.2495387, 12.0287685 50.2483037, 12.0286269 50.2482552, 12.028561 50.2482326, 12.0285042 50.2482139, 12.0280788 50.2480785)",,,,,
"[28254379, 28254380, 28278007]",Rudolf-Breitscheid-Straße,tertiary,50,False,False,73.00599999999999,"LINESTRING (12.0329308 50.2497288, 12.0332454 50.2492641, 12.0332881 50.2492048, 12.0333063 50.2491795, 12.0333437 50.2491277)",HO 5,yes,,,
156357650,Goethestraße,tertiary,50,False,True,113.805,"LINESTRING (12.0329308 50.2497288, 12.0335501 50.2499417, 12.0343405 50.2502135)",HO 5,,,,
227973147,Gartenstraße,tertiary,50,False,False,47.751,"LINESTRING (12.0340096 50.2481398, 12.0342866 50.2477486)",HO 5,,,,
227973147,Gartenstraße,tertiary,50,False,True,42.963,"LINESTRING (12.0340096 50.2481398, 12.0337755 50.248496)",HO 5,,,,
28236716,Pfarrstraße,residential,30,False,True,145.411,"LINESTRING (12.0340096 50.2481398, 12.0333267 50.2479436, 12.0321442 50.2476039)",,,,,
27466152,Friedrich-Ebert-Straße,tertiary,50,False,False,147.17,"LINESTRING (12.0342866 50.2477486, 12.0324044 50.2471981)",,,,,
227973147,Gartenstraße,tertiary,50,False,True,47.751,"LINESTRING (12.0342866 50.2477486, 12.0340096 50.2481398)",HO 5,,,,
28725873,Gartenstraße,tertiary,50,False,False,118.10300000000001,"LINESTRING (12.0342866 50.2477486, 12.0345015 50.2474385, 12.0346669 50.2472094, 12.0347496 50.2470595, 12.0347771 50.2469538, 12.0348278 50.2467519)",,,,,
"[172457068, 156321277, 28254375]",Maxplatz,tertiary,50,False,"[False, True]",120.453,"LINESTRING (12.0342866 50.2477486, 12.0343916 50.2477788, 12.0345152 50.2478121, 12.0345359 50.2478168, 12.0350839 50.2479683, 12.0351608 50.2479919, 12.0358378 50.2481837)",,yes,,,
27466332,Frauenberger Straße,secondary,50,False,True,80.93100000000001,"LINESTRING (12.0280788 50.2480785, 12.0279785 50.2482135, 12.0278855 50.2483653, 12.027726 50.2485996, 12.0276991 50.2486449, 12.0276458 50.2487509)",,,,,
28254368,Goethestraße,residential,50,False,True,390.779,"LINESTRING (12.0280788 50.2480785, 12.0285042 50.2482139, 12.028561 50.2482326, 12.0286269 50.2482552, 12.0287685 50.2483037, 12.0323757 50.2495387, 12.0329308 50.2497288)",,,,,
"[39908704, 34518025, 39908703]",Frauenberger Straße,secondary,50,False,False,119.398,"LINESTRING (12.0280788 50.2480785, 12.0282302 50.2479525, 12.028281 50.2479165, 12.0283999 50.2478381, 12.0284927 50.247777, 12.0286602 50.2476742, 12.0287862 50.2476128, 12.028866 50.2475839, 12.0290144 50.2475281, 12.0292034 50.2474434, 12.0293344 50.2473786)",,yes,,,
26252169,Otto-Hahn-Straße,secondary,50,False,True,9.052,"LINESTRING (12.0276458 50.2487509, 12.0277477 50.2487997)",,,,,
27466332,Frauenberger Straße,secondary,50,False,False,80.931,"LINESTRING (12.0276458 50.2487509, 12.0276991 50.2486449, 12.027726 50.2485996, 12.0278855 50.2483653, 12.0279785 50.2482135, 12.0280788 50.2480785)",,,,,
27466147,Zehstraße,residential,50,False,False,47.305,"LINESTRING (12.0400249 50.2536356, 12.0397359 50.2532524)",,,,,
28277804,Fabrikstraße,residential,50,True,False,30.565,"LINESTRING (12.0383798 50.2509614, 12.0383202 50.2509102, 12.038114 50.2507454)",,,,,
"[28758298, 28758299, 156358036]",Sonnenstraße,secondary,50,False,"[False, True]",205.61799999999997,"LINESTRING (12.0383798 50.2509614, 12.0380223 50.2511454, 12.0375664 50.2513801, 12.0373568 50.2514717, 12.0372002 50.2515255, 12.0370434 50.2515727, 12.0368755 50.2516177, 12.036502 50.251688, 12.0363698 50.2517171, 12.0362463 50.2517464, 12.0361467 50.2517831, 12.0360494 50.2518254, 12.0359233 50.2518956)",,yes,,,
129189631,Sonnenstraße,secondary,50,False,False,110.582,"LINESTRING (12.0383798 50.2509614, 12.0391649 50.2504689, 12.0394755 50.2502559)",,,,,
27466152,Friedrich-Ebert-Straße,tertiary,50,False,True,147.17,"LINESTRING (12.0324044 50.2471981, 12.0342866 50.2477486)",,,,,
28725879,Kirchgasse,residential,,False,False,124.54700000000001,"LINESTRING (12.0324044 50.2471981, 12.0324411 50.2471149, 12.0324911 50.2469452, 12.0324693 50.2468744, 12.0324264 50.2468058, 12.032395 50.2467022, 12.0324106 50.2465552, 12.0324889 50.2463725, 12.0325168 50.2462775, 12.0325239 50.2461883, 12.0325138 50.2461019)",,,,,
28726912,Kirchgasse,tertiary,50,False,True,48.819,"LINESTRING (12.0324044 50.2471981, 12.032366 50.2472767, 12.0323425 50.2473174, 12.0321442 50.2476039)",,,,,
27466173,Gerberstraße,tertiary,50,False,True,76.388,"LINESTRING (12.0321442 50.2476039, 12.0317979 50.2475067, 12.0316263 50.2474839, 12.0314948 50.2474828, 12.031406 50.2474857, 12.0311061 50.2474969)",,,,,
28236716,Pfarrstraße,residential,30,False,False,145.411,"LINESTRING (12.0321442 50.2476039, 12.0333267 50.2479436, 12.0340096 50.2481398)",,,,,
28726912,Kirchgasse,tertiary,50,False,False,48.819,"LINESTRING (12.0321442 50.2476039, 12.0323425 50.2473174, 12.032366 50.2472767, 12.0324044 50.2471981)",,,,,
27466172,,secondary,50,True,False,17.256999999999998,"LINESTRING (12.0295495 50.2473649, 12.0295148 50.2473865, 12.0294707 50.2473996, 12.0294224 50.2474027, 12.0293752 50.2473954, 12.0293344 50.2473786)",,,,roundabout,
27466173,Gerberstraße,tertiary,50,False,False,112.67500000000001,"LINESTRING (12.0295495 50.2473649, 12.029741 50.2474158, 12.0302091 50.247476, 12.0306724 50.2475067, 12.0308787 50.247502, 12.0311061 50.2474969)",,,,,
27466172,,secondary,50,True,False,12.017,"LINESTRING (12.0293369 50.2472404, 12.0293724 50.2472257, 12.029413 50.2472182, 12.0294552 50.2472186, 12.0294955 50.2472267)",,,,roundabout,
28741239,Gerberstraße,secondary,50,False,True,82.413,"LINESTRING (12.0293369 50.2472404, 12.0291105 50.2470521, 12.0290612 50.2469999, 12.0289865 50.2469207, 12.0288181 50.2467343, 12.0286994 50.2466228)",,,,,
27466172,,secondary,50,True,False,17.998,"LINESTRING (12.0294955 50.2472267, 12.0295304 50.2472418, 12.029557 50.2472628, 12.0295731 50.2472877, 12.0295773 50.2473145, 12.0295692 50.247341, 12.0295495 50.2473649)",,,,roundabout,
27466176,Adlerstraße,tertiary,50,False,False,166.51600000000002,"LINESTRING (12.0294955 50.2472267, 12.0297937 50.2468355, 12.0299466 50.2466714, 12.0302817 50.2463118, 12.030644 50.2459229)",,,,,
28726896,Krötenseestraße,residential,30,False,False,91.586,"LINESTRING (12.0364823 50.2497552, 12.0370081 50.2490033)",,,,,
28236714,Fabrikstraße,residential,30,False,False,137.14600000000002,"LINESTRING (12.0364823 50.2497552, 12.0369286 50.2499025, 12.0370236 50.2499403, 12.0371132 50.2499872, 12.0372717 50.2501024, 12.0379083 50.250561)",,,,,
28236714,Fabrikstraße,residential,30,False,True,112.311,"LINESTRING (12.0364823 50.2497552, 12.0362628 50.2496869, 12.0358429 50.2495562, 12.0355579 50.2494973, 12.0352969 50.2494725, 12.0349922 50.2494629)",,,,,
28254294,Angergässchen,residential,30,False,False,122.324,"LINESTRING (12.0333437 50.2491277, 12.0334516 50.2491554, 12.0334911 50.2491648, 12.0337662 50.2492797, 12.0339786 50.2493451, 12.034893 50.2496002)",,,,,
"[28254377, 28254378, 28254380]",Rudolf-Breitscheid-Straße,tertiary,50,False,False,39.025,"LINESTRING (12.0333437 50.2491277, 12.0333737 50.2490859, 12.0334109 50.2490343, 12.0334374 50.2489975, 12.033464 50.2489541, 12.0335621 50.2488058)",HO 5,yes,,,
