osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel
1042675941,L 39,Kapellenstraße,secondary,30,False,False,18.805,"LINESTRING (6.6378539 49.9362069, 6.6381166 49.9362103)",,
205752217,,Strunksecken,residential,,False,True,40.335,"LINESTRING (6.6378539 49.9362069, 6.6378348 49.93626, 6.6376356 49.9364553, 6.6375497 49.9365054)",,
1042675941,L 39,Kapellenstraße,secondary,30,False,True,30.243000000000002,"LINESTRING (6.6378539 49.9362069, 6.637661 49.9361969, 6.6374462 49.9361457)",,
25489960,L 36,Lindenstraße,secondary,,False,False,98.312,"LINESTRING (6.6368865 49.9360618, 6.6368132 49.9361484, 6.6360918 49.936782)",,
321138210,L 36;L 39,Bahnhofstraße,secondary,30,False,True,70.898,"LINESTRING (6.6368865 49.9360618, 6.6367149 49.9360184, 6.6363268 49.9358766, 6.6360371 49.9357391)",,
1042683967,L 39,Kapellenstraße,secondary,30,False,False,33.132999999999996,"LINESTRING (6.6368865 49.9360618, 6.6370818 49.9360888, 6.6373384 49.9361265)",,
1041735124,L 39,Bahnhofstraße,secondary,50,False,False,34.601,"LINESTRING (6.634049 49.9346974, 6.6344333 49.9348862)",,
114450020,,Jacobsstraße,residential,,False,True,183.55700000000002,"LINESTRING (6.634049 49.9346974, 6.634197 49.9346416, 6.6344759 49.9346699, 6.6351725 49.934886, 6.635754 49.9350951, 6.6363632 49.9352768)",,
321134199,L 39,Bahnhofstraße,secondary,50,False,True,139.333,"LINESTRING (6.634049 49.9346974, 6.6336507 49.9345389, 6.6322619 49.9342125)",,
30045160,,Gartenstraße,residential,,False,False,82.414,"LINESTRING (6.6322619 49.9342125, 6.6325964 49.9335033)",3,
321134199,L 39,Bahnhofstraße,secondary,50,False,False,139.333,"LINESTRING (6.6322619 49.9342125, 6.6336507 49.9345389, 6.634049 49.9346974)",,
1124389547,L 36,Kastanienallee,secondary,50,False,True,13.514,"LINESTRING (6.6449421 49.9334385, 6.6451269 49.9334634)",,
114103548,L 36,Trierer Straße,secondary,50,False,False,313.602,"LINESTRING (6.6449421 49.9334385, 6.6445355 49.9334304, 6.6444925 49.9334295, 6.6443523 49.9334531, 6.6439922 49.9335136, 6.6435342 49.9336369, 6.6428174 49.9338324, 6.6421487 49.9340219, 6.6417835 49.9341108, 6.6412534 49.9341391, 6.6407671 49.9341523)",,
1019446622,,Schönfelder Weg,residential,,False,False,61.523999999999994,"LINESTRING (6.6449421 49.9334385, 6.6448867 49.9332802, 6.644815 49.9330756, 6.64475 49.9328992)",,
114103548,L 36,Trierer Straße,secondary,50,False,True,313.602,"LINESTRING (6.6407671 49.9341523, 6.6412534 49.9341391, 6.6417835 49.9341108, 6.6421487 49.9340219, 6.6428174 49.9338324, 6.6435342 49.9336369, 6.6439922 49.9335136, 6.6443523 49.9334531, 6.6444925 49.9334295, 6.6445355 49.9334304, 6.6449421 49.9334385)",,
114103905,,Katzstraße,residential,,False,True,285.54100000000005,"LINESTRING (6.6407671 49.9341523, 6.6408077 49.934047, 6.6408571 49.9340186, 6.6410234 49.9339231, 6.6412013 49.9338432, 6.64145 49.9337668, 6.642137 49.9334327, 6.6427236 49.9332307, 6.6431431 49.9330392, 6.6439795 49.9326879)",,
1042049431,L 36,Trierer Straße,secondary,50,False,False,89.272,"LINESTRING (6.6407671 49.9341523, 6.6406095 49.9342077, 6.6404561 49.9342995, 6.640302 49.9344081, 6.6401923 49.9345081, 6.6401009 49.9345877, 6.640002 49.9346517, 6.6398621 49.9346776)",,
531801555,,Trierer Straße,residential,,False,True,16.237,"LINESTRING (6.6398621 49.9346776, 6.6398061 49.9348191)",,
"[1041735119, 1042041486, 114103199]",L 36,Grünecken,secondary,"['50', '30']",False,False,126.77099999999999,"LINESTRING (6.6398621 49.9346776, 6.6397559 49.9346635, 6.6395569 49.9345828, 6.6395137 49.9345611, 6.6394833 49.9345458, 6.6394556 49.9345319, 6.6392827 49.9344437, 6.6390485 49.9343185, 6.6387337 49.9341451, 6.6385432 49.9340872, 6.6383944 49.9340822)",,
1042049431,L 36,Trierer Straße,secondary,50,False,True,89.272,"LINESTRING (6.6398621 49.9346776, 6.640002 49.9346517, 6.6401009 49.9345877, 6.6401923 49.9345081, 6.640302 49.9344081, 6.6404561 49.9342995, 6.6406095 49.9342077, 6.6407671 49.9341523)",,
321138210,L 36;L 39,Bahnhofstraße,secondary,30,False,False,70.898,"LINESTRING (6.6360371 49.9357391, 6.6363268 49.9358766, 6.6367149 49.9360184, 6.6368865 49.9360618)",,
1041735122,L 36,Maarstraße,secondary,30,False,True,56.795,"LINESTRING (6.6360371 49.9357391, 6.6361364 49.9356428, 6.6362764 49.9354574, 6.6363632 49.9352768)",,
"[1041735123, 1097516439]",L 39,Bahnhofstraße,secondary,50,False,True,148.904,"LINESTRING (6.6360371 49.9357391, 6.635852 49.9356366, 6.6351991 49.9352972, 6.6350682 49.9352269, 6.6344333 49.9348862)",,
