osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,ref,bridge,maxspeed
24036715,Eichstätter Straße,tertiary,False,True,265.68,"LINESTRING (11.4700531 49.0361162, 11.4699477 49.0360728, 11.4693907 49.0358432, 11.4692495 49.0357849, 11.469152 49.0357447, 11.4685251 49.0354863, 11.4683628 49.0354135, 11.4678583 49.0351883, 11.4672308 49.0349059, 11.467113 49.034853, 11.4670068 49.0348054)",,,,,
973125514,,tertiary,True,False,16.675,"LINESTRING (11.4700531 49.0361162, 11.4700849 49.0360936, 11.4701243 49.0360787, 11.4701686 49.0360721, 11.470214 49.0360743, 11.4702563 49.0360851)",roundabout,,,,
4742334,Eichstätter Straße,tertiary,False,True,74.164,"LINESTRING (11.4711989 49.0365365, 11.4711736 49.0365076, 11.4711358 49.0364903, 11.4705131 49.0362975, 11.4704378 49.0362726, 11.4703062 49.036229)",,2,,,
"[23327576, 261819370, 8050469]",Hauptstraße,residential,False,False,337.9959999999999,"LINESTRING (11.4711989 49.0365365, 11.4713481 49.0364513, 11.4715725 49.0362582, 11.47193 49.0360851, 11.4721788 49.0359925, 11.4724045 49.0359228, 11.4727841 49.0357941, 11.4731584 49.0356144, 11.4732257 49.0355829, 11.4733768 49.0354953, 11.4734346 49.0354601, 11.4736488 49.0353187, 11.4738764 49.0351837, 11.4740113 49.0350919, 11.4744726 49.0347032, 11.4743894 49.0346629, 11.4742495 49.0345953)",,,,,
973449671,Neumarkter Straße,tertiary,False,False,54.749,"LINESTRING (11.4711989 49.0365365, 11.4712137 49.0365743, 11.4712135 49.0366171, 11.4711544 49.0367305, 11.4710371 49.036916, 11.4709933 49.0370012)",,2,,,
"[687588725, 511995366]",,primary,False,True,194.731,"LINESTRING (11.4742105 49.0396305, 11.4753711 49.0392839, 11.4766434 49.0389071)",,"['2', '3']",B 299,,
"[35262811, 27740099, 27740100]",Neumarkter Straße,tertiary,False,True,212.64099999999996,"LINESTRING (11.4722426 49.0386129, 11.4720877 49.038515, 11.4719372 49.038387, 11.4718834 49.0383272, 11.471826 49.0382633, 11.4716719 49.0380557, 11.4715969 49.0379798, 11.4714155 49.0378413, 11.4710881 49.0376425, 11.4710092 49.0375659, 11.470943 49.0374405, 11.4709295 49.0372857, 11.4709384 49.0371315, 11.4709933 49.0370012)",,,,yes,
35262810,Kevenhüller Straße,tertiary,False,False,118.785,"LINESTRING (11.4722426 49.0386129, 11.4727606 49.0389134, 11.4729033 49.0389962, 11.4735057 49.0392861)",,,,,
"[27741033, 685703788, 165899317, 8050460]",Kelheimer Straße,primary,False,True,224.322,"LINESTRING (11.4776082 49.034099, 11.4775225 49.0340524, 11.4774009 49.0340146, 11.4769628 49.0339073, 11.4760246 49.0336141, 11.4757363 49.033524, 11.4756274 49.0334917, 11.4754949 49.0334485, 11.4753235 49.0333949, 11.4751138 49.0333301, 11.4749592 49.0332688, 11.4748498 49.0332171)",,"['2', '3']",B 299,yes,
"[261819373, 1067244071]",Kelheimer Straße,secondary,False,True,106.008,"LINESTRING (11.4776082 49.034099, 11.4776948 49.0340582, 11.4777791 49.0340006, 11.4778842 49.0339173, 11.478309 49.0335806, 11.4785615 49.033382)",,2,St 2230,,
"[4499838, 1185467063]",Maria-Hilf-Straße,primary,False,False,98.47200000000001,"LINESTRING (11.4776082 49.034099, 11.4776301 49.0341641, 11.4775868 49.0342651, 11.4775146 49.034418, 11.4774812 49.0345254, 11.4774454 49.0346589, 11.4774079 49.0348374, 11.4773812 49.0349648)",,2,B 299,,30
4499838,Maria-Hilf-Straße,primary,False,False,51.64,"LINESTRING (11.4773812 49.0349648, 11.4773007 49.0354262)",,,B 299,,30
"[4499838, 1185467063]",Maria-Hilf-Straße,primary,False,True,98.472,"LINESTRING (11.4773812 49.0349648, 11.4774079 49.0348374, 11.4774454 49.0346589, 11.4774812 49.0345254, 11.4775146 49.034418, 11.4775868 49.0342651, 11.4776301 49.0341641, 11.4776082 49.034099)",,2,B 299,,30
377516753,,residential,False,False,59.691,"LINESTRING (11.4773812 49.0349648, 11.4774928 49.035007, 11.4776308 49.0352224, 11.4776709 49.0353321, 11.4777086 49.0354351)",,,,,
4743227,Utzmühlstraße,residential,False,True,84.15199999999999,"LINESTRING (11.4676226 49.0394209, 11.467986 49.0391215, 11.4681639 49.038939, 11.468251 49.0387921)",,,,,
973125512,,tertiary,True,False,18.349,"LINESTRING (11.4702563 49.0360851, 11.4702952 49.036106, 11.4703217 49.0361341, 11.4703329 49.0361663, 11.4703275 49.0361991, 11.4703062 49.036229)",roundabout,,,,
