osmid,name,highway,oneway,reversed,length,maxspeed,geometry,access,lanes,bridge,ref
24270032,Ennertsweg,residential,False,False,39.336,,"LINESTRING (7.7694668 51.384578, 7.7700322 51.3846032)",,,,
"[149622381, 753092919]",Am Perick,residential,False,False,109.70700000000001,30,"LINESTRING (7.7694668 51.384578, 7.7694929 51.384467, 7.7696685 51.3840394, 7.7698838 51.3837952, 7.7700287 51.3836702)",,,,
"[538081986, 266624388]",Ennertsweg,residential,False,True,14.753,,"LINESTRING (7.7694668 51.384578, 7.7693744 51.3845739, 7.7692561 51.3845615)",,,,
134121563,Parkstraße,residential,False,False,36.102,30,"LINESTRING (7.7639023 51.3885694, 7.7634295 51.3884339)",,,,
24215726,Parkstraße,residential,False,True,56.814,30,"LINESTRING (7.7639023 51.3885694, 7.7645033 51.3887417, 7.7646463 51.3887827)",,,,
149015989,Hauptstraße,residential,False,True,57.932,30,"LINESTRING (7.7639023 51.3885694, 7.7636795 51.3888235, 7.7634943 51.3890239)",,,,
207201894,Hauptstraße,residential,False,False,115.578,30,"LINESTRING (7.7639023 51.3885694, 7.7640593 51.3883604, 7.7640872 51.388318, 7.7641672 51.3881716, 7.7642602 51.3879401, 7.764304 51.3875717)",,,,
24215724,Mühlackerweg,residential,False,True,191.21,30,"LINESTRING (7.7633089 51.38469, 7.7631696 51.3853606, 7.7628333 51.3862109, 7.7627641 51.3863728)",,,,
24590943,An der Steinert,residential,False,True,100.61499999999998,10,"LINESTRING (7.7633089 51.38469, 7.7637356 51.3847409, 7.7638684 51.3847528, 7.7640148 51.3847443, 7.7640763 51.3847412, 7.7643481 51.3847316, 7.7647478 51.3847176)",,,,
24591146,An der Steinert,residential,False,False,18.692,20,"LINESTRING (7.7633089 51.38469, 7.7632826 51.3846064, 7.7631872 51.3845487)",yes,,,
24591514,Karl-Wagenfeld-Weg,residential,False,False,79.45400000000001,,"LINESTRING (7.75934 51.383278, 7.7595429 51.3830128, 7.7598709 51.3826453)",,,,
328880375,Mühlenweg,residential,False,True,264.138,,"LINESTRING (7.75934 51.383278, 7.7605947 51.3835554, 7.761876 51.3840153, 7.7621867 51.3841268, 7.7625286 51.3842471, 7.762555 51.3843998)",yes,,,
24591514,Karl-Wagenfeld-Weg,residential,False,False,76.381,,"LINESTRING (7.7598709 51.3826453, 7.7605891 51.3821248)",,,,
24591169,Droste-Hülshoff-Weg,residential,False,False,281.859,,"LINESTRING (7.7598709 51.3826453, 7.761015 51.3829448, 7.7621414 51.3831114, 7.7625682 51.3831745, 7.7626899 51.383171, 7.7627576 51.3831093, 7.7630179 51.3826316, 7.7630477 51.3825243)",,,,
24591514,Karl-Wagenfeld-Weg,residential,False,True,79.45400000000001,,"LINESTRING (7.7598709 51.3826453, 7.7595429 51.3830128, 7.75934 51.383278)",,,,
24591514,Karl-Wagenfeld-Weg,residential,False,True,76.381,,"LINESTRING (7.7605891 51.3821248, 7.7598709 51.3826453)",,,,
338770023,Lönsweg,residential,False,False,19.157,,"LINESTRING (7.7605891 51.3821248, 7.7603515 51.3820371)",,,,
24590918,Lönsweg,residential,False,True,178.377,,"LINESTRING (7.7605891 51.3821248, 7.7610013 51.3822551, 7.7611605 51.3823053, 7.7614935 51.3823896, 7.7620118 51.3824545, 7.7630477 51.3825243)",,,,
338770023,Lönsweg,residential,False,True,19.157,,"LINESTRING (7.7603515 51.3820371, 7.7605891 51.3821248)",,,,
24591457,Stormweg,living_street,False,False,124.354,,"LINESTRING (7.7603515 51.3820371, 7.7604844 51.3818861, 7.7605579 51.3818567, 7.7609107 51.3818157, 7.7617962 51.3817191, 7.7619531 51.3816771)",,,,
24590927,Am Oelbusch,residential,False,False,95.072,,"LINESTRING (7.7619531 51.3816771, 7.7621581 51.3817577, 7.7623682 51.3817924, 7.7626642 51.3818338, 7.7629813 51.3818885, 7.7632012 51.3819946)",,,,
24591457,Stormweg,living_street,False,True,124.354,,"LINESTRING (7.7619531 51.3816771, 7.7617962 51.3817191, 7.7609107 51.3818157, 7.7605579 51.3818567, 7.7604844 51.3818861, 7.7603515 51.3820371)",,,,
"[538081989, 266624415]",Ostenschlahstraße,tertiary,True,False,70.153,50,"LINESTRING (7.7702553 51.3855313, 7.7694838 51.385501, 7.7694229 51.3854991, 7.769246 51.3854972)",,2,,
504609389,Urbecker Straße,residential,False,False,85.107,30,"LINESTRING (7.7702553 51.3855313, 7.7702328 51.3856036, 7.7701444 51.3858593, 7.7701751 51.3859554, 7.7705045 51.3862163)",,,,
1222683941,Ostenschlahstraße,tertiary,False,False,203.506,30,"LINESTRING (7.7702553 51.3855313, 7.7703085 51.3855368, 7.7709261 51.3856159, 7.7712752 51.3856687, 7.7731288 51.3858959)",,,,
382366282,Auf dem Hammer,residential,False,True,38.405,30,"LINESTRING (7.7669069 51.3809911, 7.7668262 51.3810387, 7.7667757 51.381078, 7.7667347 51.3811168, 7.7667053 51.3811471, 7.7666798 51.381178, 7.7666618 51.3812147, 7.7666367 51.3812836)",,,,
"[382366280, 133192434, 382366279]",Am Steinbruch,residential,False,False,75.89699999999999,,"LINESTRING (7.7666367 51.3812836, 7.7665621 51.3812628, 7.7664466 51.3812326, 7.7661401 51.3811468, 7.7657444 51.3812754, 7.7656544 51.3813087)",yes,,yes,
382366282,Auf dem Hammer,residential,False,False,38.405,30,"LINESTRING (7.7666367 51.3812836, 7.7666618 51.3812147, 7.7666798 51.381178, 7.7667053 51.3811471, 7.7667347 51.3811168, 7.7667757 51.381078, 7.7668262 51.3810387, 7.7669069 51.3809911)",,,,
"[382366281, 382366282, 753356901]",Auf dem Hammer,residential,False,True,25.916000000000004,30,"LINESTRING (7.7666367 51.3812836, 7.7666205 51.3813344, 7.7666135 51.3813837, 7.7666078 51.3814525, 7.7665919 51.3815146)",,,yes,
207201897,Im Ohl,secondary,False,False,70.13,50,"LINESTRING (7.7646463 51.3887827, 7.7641975 51.3893478)",,,,L 683
24215726,Parkstraße,residential,False,False,56.814,30,"LINESTRING (7.7646463 51.3887827, 7.7645033 51.3887417, 7.7639023 51.3885694)",,,,
24461802,Im Ohl,secondary,False,True,131.913,50,"LINESTRING (7.7646463 51.3887827, 7.764878 51.3884947, 7.7650354 51.3882989, 7.7652317 51.388064, 7.7653407 51.3879492, 7.7654456 51.3878493, 7.7655724 51.3877497)",,,,L 683
24233771,Beethovenstraße,residential,False,False,246.058,30,"LINESTRING (7.7705045 51.3862163, 7.770439 51.3862899, 7.7699637 51.3868237, 7.7696541 51.3871662, 7.7691095 51.3876901, 7.7686356 51.3880936)",,,,
"[504609389, 134456623]",Urbecker Straße,residential,False,False,184.745,30,"LINESTRING (7.7705045 51.3862163, 7.7708585 51.3864952, 7.7713172 51.386845, 7.7720858 51.3873701, 7.772245 51.3874722)",,,,
504609389,Urbecker Straße,residential,False,True,85.107,30,"LINESTRING (7.7705045 51.3862163, 7.7701751 51.3859554, 7.7701444 51.3858593, 7.7702328 51.3856036, 7.7702553 51.3855313)",,,,
24253944,Nockenstraße,residential,False,False,254.332,,"LINESTRING (7.7646982 51.3824931, 7.7647134 51.3825597, 7.7646655 51.3826871, 7.7644364 51.383122, 7.7642999 51.3833528, 7.7642041 51.3835005, 7.7637751 51.3839646, 7.7632784 51.3844412, 7.7631872 51.3845487)",,,,
"[24461827, 133231620, 506780047]",An der Litze,residential,False,True,187.04,30,"LINESTRING (7.7646982 51.3824931, 7.7651566 51.3824242, 7.7656013 51.3823631, 7.7658149 51.3823202, 7.7659238 51.3822823, 7.7661899 51.3820864, 7.7664302 51.3818239, 7.7664929 51.3817361, 7.7665796 51.3815661, 7.7665919 51.3815146)",,,,
24590918,Lönsweg,residential,False,False,115.667,,"LINESTRING (7.7646982 51.3824931, 7.7644152 51.3825185, 7.7639984 51.382566, 7.7636364 51.3825768, 7.7630477 51.3825243)",,,,
500726046,Selvestraße,residential,False,False,79.728,,"LINESTRING (7.7646982 51.3824931, 7.764673 51.3823952, 7.7649322 51.3817989)",,,,
