osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,tunnel
27571923,Von-Weber-Straße,tertiary,False,False,87.41,,"LINESTRING (8.4415809 49.4699102, 8.4424786 49.4693833)",,,
27571923,Von-Weber-Straße,tertiary,False,True,81.85,,"LINESTRING (8.4415809 49.4699102, 8.4407148 49.4703846)",,,
27329938,Erich-Reimann-Straße,residential,False,True,500.557,30,"LINESTRING (8.4415809 49.4699102, 8.4415152 49.4698488, 8.4415062 49.4698404, 8.441263 49.4696678, 8.4410819 49.4695392, 8.4409022 49.4694116, 8.4407223 49.4692839, 8.4387017 49.4678495, 8.4381258 49.4673776, 8.4375949 49.4668714, 8.4371319 49.4664689)",,,
33117532,Marschnerstraße,residential,False,True,176.946,30,"LINESTRING (8.4415809 49.4699102, 8.441643 49.4699682, 8.4430799 49.4711684)",,,
"[255326883, 1111021597, 27571923]",Von-Weber-Straße,tertiary,False,True,70.588,30,"LINESTRING (8.4437564 49.4684648, 8.443664 49.4685272, 8.4435938 49.4685748, 8.4432711 49.4688124, 8.443101 49.4689354)",3,,
"[255326856, 1115903809, 27571924]",Böcklinstraße,tertiary,False,"[False, True]",114.648,30,"LINESTRING (8.4437564 49.4684648, 8.4438349 49.468408, 8.4438811 49.4683748, 8.4439145 49.4683507, 8.4443895 49.4679992, 8.4447992 49.4676878)",,,
127220934,Bayernstraße,residential,False,True,14.494,30,"LINESTRING (8.4447941 49.4711622, 8.4448229 49.4712912)",,,
366630551,Lisztstraße,residential,False,True,78.104,30,"LINESTRING (8.4447941 49.4711622, 8.444131 49.4706075)",,,
26408293,Saarlandstraße,primary,True,False,45.123999999999995,50,"LINESTRING (8.4324377 49.4660012, 8.4325096 49.4660575, 8.4326491 49.4661744, 8.4328145 49.4663246)",2,B 44,
207485199,Adlerdamm,primary_link,True,False,8.436,50,"LINESTRING (8.4324377 49.4660012, 8.4323477 49.4660206, 8.4323259 49.4660221)",2,B 44,
207485204,Saarlandstraße,primary_link,True,False,10.114,50,"LINESTRING (8.4323559 49.4659274, 8.4324377 49.4660012)",2,,
