osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,junction,tunnel
525873151,3,Lübecker Straße,residential,30,False,False,25.139,,"LINESTRING (10.3795551 53.8113444, 10.3791966 53.811265)",,,
525873153,,Lübecker Straße,primary,50,False,True,31.174,B 75,"LINESTRING (10.3795551 53.8113444, 10.3800261 53.8113799)",,,
525873152,3,Berliner Ring,primary,50,False,False,26.624000000000002,B 208,"LINESTRING (10.3795551 53.8113444, 10.3796215 53.8112731, 10.379722 53.8111266)",,,
619373136,3,Berliner Ring,primary,50,False,True,27.973999999999997,B 75,"LINESTRING (10.3795551 53.8113444, 10.3794813 53.8114101, 10.3793957 53.8114623, 10.3792599 53.8115222)",,,
25850611,,Schützenstraße,residential,50,False,True,179.661,,"LINESTRING (10.3694962 53.8086626, 10.3693526 53.8087829, 10.3690853 53.8089154, 10.368926 53.809008, 10.3687489 53.8091309, 10.3685615 53.809261, 10.3685113 53.8092958, 10.3684477 53.8093414, 10.3683397 53.8094188, 10.3681112 53.8095827, 10.3679818 53.8096754, 10.3678745 53.8097514, 10.3676949 53.8098737)",,,
48923476,,Königstraße,residential,30,False,True,258.324,,"LINESTRING (10.3694962 53.8086626, 10.3695864 53.808547, 10.369743 53.8083709, 10.3698951 53.8082422, 10.3699748 53.8082073, 10.3701638 53.8081245, 10.3703859 53.8080592, 10.370628 53.8080301, 10.370764 53.808026, 10.3709204 53.8080237, 10.371739 53.8080114, 10.3729135 53.8080291)",,,
"[48962888, 48962875, 48962829]",,"['Hamburger Straße', 'Hamburger Tor Brücke', 'Hagenstraße']",residential,30,False,False,138.202,,"LINESTRING (10.3694962 53.8086626, 10.3696986 53.8088057, 10.3701205 53.8090093, 10.3705313 53.8091877, 10.3707895 53.8092769, 10.3711694 53.8094022)",yes,,
96185096,,Hamburger Straße,residential,,False,True,194.90500000000003,,"LINESTRING (10.3694962 53.8086626, 10.36931 53.8084959, 10.3692428 53.8084305, 10.3691777 53.8083681, 10.369116 53.8082953, 10.3690643 53.8082185, 10.368987 53.8080313, 10.368906 53.8078175, 10.3688644 53.8077078, 10.3687964 53.8075552, 10.3687375 53.8074229, 10.3687022 53.8073438, 10.3685207 53.8070225)",,,
176071248,,Kirchberg,residential,30,False,False,43.071,,"LINESTRING (10.3745051 53.8077459, 10.3744817 53.8073588)",,,
49132569,,Kirchberg,residential,30,False,False,31.948,,"LINESTRING (10.3745051 53.8077459, 10.3744239 53.8078385, 10.3743984 53.807877, 10.3743586 53.8079376, 10.3743022 53.8080067)",,,
159540038,,Kirchberg,residential,,True,False,29.067,,"LINESTRING (10.3745051 53.8077459, 10.3745303 53.8077841, 10.3745714 53.8078219, 10.3745897 53.8078493, 10.3746266 53.8079129, 10.37464 53.8079913)",,,
11840029,,Bangertstraße,residential,30,True,False,194.902,,"LINESTRING (10.3778997 53.8062733, 10.3781485 53.8062325, 10.3794236 53.806026, 10.3807602 53.8058054)",,,
"[49002244, 370481773]",2,Sülzberg,tertiary,50,False,"[False, True]",47.791000000000004,,"LINESTRING (10.3778997 53.8062733, 10.377922 53.806393, 10.3779495 53.806563, 10.3779584 53.8067015)",,,
