osmid,ref,highway,oneway,reversed,length,maxspeed,geometry,name
635765069,D 90,tertiary,False,True,38.48,,"LINESTRING (6.9664076 48.6292161, 6.9661466 48.6295161)",
61986372,D 90,tertiary,False,False,36.043,50,"LINESTRING (6.9664076 48.6292161, 6.9664356 48.6292839, 6.9665549 48.6295252)",
"[635765066, 84160253]",,residential,False,False,67.533,30,"LINESTRING (6.9675534 48.6312473, 6.9673503 48.6312707, 6.9666481 48.6313516)",Rue de Lorquin
"[635765060, 635765061, 635765062, 635765063, 635765064, 635765067, 295951899]",D 90,tertiary,False,False,243.80399999999997,"['50', '30']","LINESTRING (6.9675534 48.6312473, 6.9676445 48.6313671, 6.9678694 48.6316379, 6.9679984 48.6317651, 6.9683074 48.6320399, 6.9688526 48.6323953, 6.9689823 48.6324798, 6.9692872 48.6326785, 6.9694742 48.6328047, 6.9696283 48.6329383)",
"[635765065, 635765068, 61986372]",D 90,tertiary,False,True,205.07000000000002,"['50', '30']","LINESTRING (6.9675534 48.6312473, 6.9674776 48.6311197, 6.9672591 48.6307516, 6.9665549 48.6295252)",
84160253,,residential,False,False,31.259999999999998,30,"LINESTRING (6.9666481 48.6313516, 6.9664799 48.6313416, 6.9662579 48.6312567)",Rue de Lorquin
"[635765066, 84160253]",,residential,False,True,67.533,30,"LINESTRING (6.9666481 48.6313516, 6.9673503 48.6312707, 6.9675534 48.6312473)",Rue de Lorquin
133375201,,residential,False,False,76.395,30,"LINESTRING (6.9666481 48.6313516, 6.9665081 48.631421, 6.9661916 48.631655, 6.966165 48.6316781, 6.9659511 48.6318576)",
84160253,,residential,False,False,121.11000000000001,30,"LINESTRING (6.9662579 48.6312567, 6.9655624 48.6308459, 6.9650772 48.6305635, 6.9650229 48.6305357)",Rue de Lorquin
84160253,,residential,False,True,31.259999999999998,30,"LINESTRING (6.9662579 48.6312567, 6.9664799 48.6313416, 6.9666481 48.6313516)",Rue de Lorquin
133375188,,residential,False,False,96.07399999999998,50,"LINESTRING (6.9662579 48.6312567, 6.965996 48.6312485, 6.9653831 48.631225, 6.965168 48.631472)",
84160253,,residential,False,True,121.11000000000001,30,"LINESTRING (6.9650229 48.6305357, 6.9650772 48.6305635, 6.9655624 48.6308459, 6.9662579 48.6312567)",Rue de Lorquin
"[295951898, 635765069]",D 90,tertiary,False,False,140.89899999999997,50,"LINESTRING (6.9650229 48.6305357, 6.9654957 48.630185, 6.9656311 48.6300794, 6.9657317 48.6299908, 6.9658807 48.6298164, 6.9660308 48.6296444, 6.9661466 48.6295161)",
295951898,D 90,tertiary,False,True,78.106,50,"LINESTRING (6.9650229 48.6305357, 6.9649151 48.6306272, 6.964644 48.6308842, 6.9644208 48.6311141)",
84160256,,residential,False,True,67.816,50,"LINESTRING (6.9644208 48.6311141, 6.965168 48.631472)",Rue de l'École
295951898,D 90,tertiary,False,True,15.496,50,"LINESTRING (6.9644208 48.6311141, 6.9643026 48.6312295)",
295951898,D 90,tertiary,False,False,78.106,50,"LINESTRING (6.9644208 48.6311141, 6.964644 48.6308842, 6.9649151 48.6306272, 6.9650229 48.6305357)",
84160258,,residential,False,False,80.198,30,"LINESTRING (6.9659511 48.6318576, 6.9652536 48.6324123)",Place de la Mairie
84160256,,residential,False,False,71.777,50,"LINESTRING (6.9659511 48.6318576, 6.9656632 48.6317091, 6.9654494 48.6316084, 6.965168 48.631472)",Rue de l'École
98871646,,residential,False,False,146.99200000000002,50,"LINESTRING (6.9659511 48.6318576, 6.9660114 48.6319296, 6.9664509 48.6321434, 6.9665285 48.6321811, 6.966548 48.6322283, 6.9657888 48.6328076)",Place de la Mairie
133375201,,residential,False,True,76.395,30,"LINESTRING (6.9659511 48.6318576, 6.966165 48.6316781, 6.9661916 48.631655, 6.9665081 48.631421, 6.9666481 48.6313516)",
295951898,D 90,tertiary,False,False,15.496,50,"LINESTRING (6.9643026 48.6312295, 6.9644208 48.6311141)",
84160257,,residential,False,False,295.095,50,"LINESTRING (6.9643026 48.6312295, 6.9642598 48.631215, 6.9633648 48.6308092, 6.9631033 48.6306899, 6.9628446 48.630595, 6.9627241 48.6305145, 6.9620171 48.6300017, 6.9612754 48.629513)",Rue du Faubourg
"[635765057, 635765059]",D 90,tertiary,False,True,45.027,30,"LINESTRING (6.9643026 48.6312295, 6.9641016 48.6314809, 6.9640005 48.6315813)",
84160257,,residential,False,True,295.095,50,"LINESTRING (6.9612754 48.629513, 6.9620171 48.6300017, 6.9627241 48.6305145, 6.9628446 48.630595, 6.9631033 48.6306899, 6.9633648 48.6308092, 6.9642598 48.631215, 6.9643026 48.6312295)",Rue du Faubourg
98871649,,residential,False,True,10.314,50,"LINESTRING (6.9651313 48.6323668, 6.9652536 48.6324123)",Rue de Cap
"[98871649, 635765058]",,residential,False,False,120.71699999999998,"['50', '30']","LINESTRING (6.9651313 48.6323668, 6.9646238 48.6320366, 6.9643958 48.6318461, 6.9642445 48.6317433, 6.9641082 48.6316572, 6.9640413 48.6316101, 6.9640005 48.6315813)",Rue de Cap
133375190,,residential,False,True,151.24999999999997,50,"LINESTRING (6.9651313 48.6323668, 6.9648409 48.6325903, 6.9646896 48.6326371, 6.9645716 48.6326194, 6.9642604 48.6324208, 6.9638581 48.6321585, 6.9636399 48.6320781, 6.9636098 48.632067, 6.9635727 48.6320535)",Ruelle des Jardins
98871649,,residential,False,False,58.983,50,"LINESTRING (6.9657888 48.6328076, 6.9652536 48.6324123)",Rue de Cap
98871649,,residential,False,True,47.322,50,"LINESTRING (6.9657888 48.6328076, 6.9662116 48.6331286)",Rue de Cap
98871646,,residential,False,True,146.99200000000002,50,"LINESTRING (6.9657888 48.6328076, 6.966548 48.6322283, 6.9665285 48.6321811, 6.9664509 48.6321434, 6.9660114 48.6319296, 6.9659511 48.6318576)",Place de la Mairie
"[98871649, 635765058]",,residential,False,True,120.717,"['50', '30']","LINESTRING (6.9640005 48.6315813, 6.9640413 48.6316101, 6.9641082 48.6316572, 6.9642445 48.6317433, 6.9643958 48.6318461, 6.9646238 48.6320366, 6.9651313 48.6323668)",Rue de Cap
"[635765057, 635765059]",D 90,tertiary,False,False,45.027,30,"LINESTRING (6.9640005 48.6315813, 6.9641016 48.6314809, 6.9643026 48.6312295)",
"[635765056, 295417938, 635765059]",D 90,tertiary,False,True,61.214,"['50', '30']","LINESTRING (6.9640005 48.6315813, 6.9639232 48.6316607, 6.9636876 48.6319168, 6.9635727 48.6320535)",
98871649,,residential,False,False,47.322,50,"LINESTRING (6.9662116 48.6331286, 6.9657888 48.6328076)",Rue de Cap
84160258,,residential,False,True,80.198,30,"LINESTRING (6.9652536 48.6324123, 6.9659511 48.6318576)",Place de la Mairie
98871649,,residential,False,False,10.314,50,"LINESTRING (6.9652536 48.6324123, 6.9651313 48.6323668)",Rue de Cap
98871649,,residential,False,True,58.983,50,"LINESTRING (6.9652536 48.6324123, 6.9657888 48.6328076)",Rue de Cap
84160256,,residential,False,False,67.816,50,"LINESTRING (6.965168 48.631472, 6.9644208 48.6311141)",Rue de l'École
84160256,,residential,False,True,71.777,50,"LINESTRING (6.965168 48.631472, 6.9654494 48.6316084, 6.9656632 48.6317091, 6.9659511 48.6318576)",Rue de l'École
133375188,,residential,False,True,96.074,50,"LINESTRING (6.965168 48.631472, 6.9653831 48.631225, 6.965996 48.6312485, 6.9662579 48.6312567)",
133375190,,residential,False,False,151.25,50,"LINESTRING (6.9635727 48.6320535, 6.9636098 48.632067, 6.9636399 48.6320781, 6.9638581 48.6321585, 6.9642604 48.6324208, 6.9645716 48.6326194, 6.9646896 48.6326371, 6.9648409 48.6325903, 6.9651313 48.6323668)",Ruelle des Jardins
"[635765056, 295417938, 635765059]",D 90,tertiary,False,False,61.214000000000006,"['50', '30']","LINESTRING (6.9635727 48.6320535, 6.9636876 48.6319168, 6.9639232 48.6316607, 6.9640005 48.6315813)",
635765069,D 90,tertiary,False,False,38.48,,"LINESTRING (6.9661466 48.6295161, 6.9664076 48.6292161)",
235602631,D 90,tertiary,False,False,30.151,,"LINESTRING (6.9661466 48.6295161, 6.9662097 48.6295111, 6.9663231 48.6295121, 6.9664936 48.6295166, 6.9665549 48.6295252)",
"[295951898, 635765069]",D 90,tertiary,False,True,140.899,50,"LINESTRING (6.9661466 48.6295161, 6.9660308 48.6296444, 6.9658807 48.6298164, 6.9657317 48.6299908, 6.9656311 48.6300794, 6.9654957 48.630185, 6.9650229 48.6305357)",
"[635765065, 61986372, 635765068]",D 90,tertiary,False,False,205.07,"['50', '30']","LINESTRING (6.9665549 48.6295252, 6.9672591 48.6307516, 6.9674776 48.6311197, 6.9675534 48.6312473)",
61986372,D 90,tertiary,False,True,36.043,50,"LINESTRING (6.9665549 48.6295252, 6.9664356 48.6292839, 6.9664076 48.6292161)",
235602631,D 90,tertiary,False,True,30.151,,"LINESTRING (6.9665549 48.6295252, 6.9664936 48.6295166, 6.9663231 48.6295121, 6.9662097 48.6295111, 6.9661466 48.6295161)",
1033581634,,residential,False,True,164.332,,"LINESTRING (6.9676065 48.6335698, 6.9696283 48.6329383)",Rue de la Prairie
