osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width
106261349,2,Unghauser Straße,residential,50,False,True,118.285,"LINESTRING (12.8326696 48.1665765, 12.8324669 48.1665202, 12.8322068 48.1664541, 12.8318914 48.1663801, 12.8316919 48.1663257, 12.8315323 48.166287, 12.8313854 48.1662519, 12.8311696 48.1662193)",
"[128176924, 106261350]",1,Wackerstraße,residential,50,True,False,43.938,"LINESTRING (12.8326696 48.1665765, 12.8328628 48.1666175, 12.8328859 48.1666201, 12.8330828 48.1666581, 12.8332326 48.166698)",
171111278,2,Ludwigsberg,tertiary,50,False,True,29.617,"LINESTRING (12.8326696 48.1665765, 12.8327219 48.1664378, 12.8327599 48.1663171)",
"[1034489322, 1034489323, 16903932]","['2', '3']",Marktler Straße,tertiary,50,False,False,271.54699999999997,"LINESTRING (12.8326696 48.1665765, 12.8326026 48.1667223, 12.8325154 48.1669191, 12.8323719 48.1671856, 12.8322391 48.1674048, 12.8318358 48.1680154, 12.8317096 48.1681944, 12.8316104 48.1683593, 12.8313795 48.1686709, 12.8312629 48.1688271)",
106261349,2,Unghauser Straße,residential,50,False,False,118.285,"LINESTRING (12.8311696 48.1662193, 12.8313854 48.1662519, 12.8315323 48.166287, 12.8316919 48.1663257, 12.8318914 48.1663801, 12.8322068 48.1664541, 12.8324669 48.1665202, 12.8326696 48.1665765)",
106261349,2,Unghauser Straße,residential,50,False,True,49.263000000000005,"LINESTRING (12.8311696 48.1662193, 12.8310081 48.1662047, 12.8307252 48.1661818, 12.8305094 48.1661721)",
113990339,2,Unghauser Straße,residential,50,False,False,175.304,"LINESTRING (12.8282217 48.1663483, 12.8283849 48.166333, 12.828519 48.1663197, 12.8288454 48.1662236, 12.8292409 48.1661146, 12.8293977 48.1660937, 12.8295319 48.1660959, 12.8297144 48.1661062, 12.8300186 48.1661255, 12.8305094 48.1661721)",
"[113990353, 166627366]",,Unghauser Straße,unclassified,,False,True,47.346999999999994,"LINESTRING (12.8282217 48.1663483, 12.828102 48.1663689, 12.8277533 48.1664693, 12.827629 48.1665044)",
710470758,,Berchtesgadener Straße,tertiary,50,False,False,35.699999999999996,"LINESTRING (12.8282217 48.1663483, 12.8280737 48.1662829, 12.8278651 48.1662018, 12.8278117 48.1661803)",
"[13859355, 710470758]",2,Berchtesgadener Straße,tertiary,50,False,True,149.778,"LINESTRING (12.8282217 48.1663483, 12.8283954 48.1664361, 12.8284828 48.1664802, 12.82856 48.1665274, 12.8288845 48.1667465, 12.8291029 48.1669002, 12.8293337 48.1670667, 12.8294501 48.1671598, 12.8296192 48.1673139)",
"[188209901, 18596166]",,Pergerstraße,residential,,False,False,260.048,"LINESTRING (12.8274159 48.1660369, 12.8273762 48.1660972, 12.8272793 48.1660803, 12.8269893 48.1659912, 12.826554 48.1658628, 12.8264759 48.1658398, 12.8262057 48.1657537, 12.8257136 48.1655969, 12.8250772 48.1653788, 12.8245072 48.1651491, 12.824398 48.1651082, 12.8243326 48.1650833)",
