osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,ref,bridge,junction
37078324,2,primary_link,50,False,False,35.217,,"LINESTRING (9.1667903 53.6896206, 9.1666874 53.6893098)",,,
30264026,,residential,,False,False,57.038,An der Heide,"LINESTRING (9.1667903 53.6896206, 9.1668279 53.6897036, 9.167015 53.690116)",,,
530588962,3,primary,50,False,True,40.065,Hauptstraße,"LINESTRING (9.1667903 53.6896206, 9.1665713 53.6896492, 9.1661938 53.6896915)",B 73,,
606476755,2,residential,50,False,True,25.389,Zentrumstraße,"LINESTRING (9.159189 53.6856562, 9.1590349 53.6858655)",,,
"[36975960, 729945749]",2,residential,30,False,False,87.707,Otto-Peschel-Straße,"LINESTRING (9.159189 53.6856562, 9.1593028 53.685523, 9.1593247 53.6854974, 9.1594629 53.6853357, 9.1595418 53.6852433, 9.159618 53.6851542, 9.159793 53.6850263, 9.1598584 53.6849785)",,,
"[258706806, 70068711]","['2', '3']",primary,50,False,False,261.625,Lamstedter Straße,"LINESTRING (9.159189 53.6856562, 9.1585033 53.6854933, 9.1582316 53.6854312, 9.1580326 53.6853858, 9.1567334 53.685089, 9.1554859 53.684804)",B 495,,
43182154,,residential,,False,False,159.236,Hauptstraße,"LINESTRING (9.1538196 53.6925796, 9.154079 53.6926882, 9.1541297 53.6926967, 9.1541934 53.6926951, 9.1542685 53.6926818, 9.1552733 53.6924149, 9.1557136 53.6923169, 9.1558598 53.6922937, 9.1559521 53.6922888, 9.1560416 53.6922958)",,,
"[43627713, 34233954, 259447813, 29322375, 569127313, 79057142, 258701334]","['4', '2', '3']",primary,"['50', '70']",False,False,948.6789999999999,Hauptstraße,"LINESTRING (9.1538196 53.6925796, 9.1547636 53.6918694, 9.1555238 53.6911933, 9.1565217 53.6905994, 9.1570359 53.6903886, 9.1575303 53.690206, 9.1581061 53.690017, 9.1585095 53.6899086, 9.1588141 53.6898393, 9.1596259 53.6896893, 9.1600252 53.6896365, 9.1604735 53.6895934, 9.1610968 53.6895722, 9.1616936 53.689581, 9.16227 53.6896116, 9.1628923 53.6896545, 9.1633992 53.6896942, 9.1638128 53.689725, 9.164283 53.6897514, 9.1648141 53.6897639, 9.1652567 53.6897601, 9.1656655 53.689736, 9.1657924 53.6897261, 9.1661938 53.6896915)",B 73,yes,
606445915,,residential,30,False,False,109.312,Schützenstraße,"LINESTRING (9.1538196 53.6925796, 9.1536825 53.692507, 9.1536212 53.6924767, 9.1535115 53.6924024, 9.1534601 53.6923492, 9.1534459 53.6923205, 9.153443 53.6922901, 9.1534658 53.6921576, 9.1534758 53.6920715, 9.1534701 53.6920386, 9.153453 53.6920141, 9.1534295 53.6919905, 9.1533869 53.6919592, 9.1533195 53.6919021, 9.1532432 53.6918323, 9.153151 53.6917402)",,,
"[29321891, 111539629]",,residential,"['50', '30']",False,True,108.084,Schützenstraße,"LINESTRING (9.1524864 53.688557, 9.1524848 53.6886348, 9.152436 53.6890807, 9.1523916 53.6895273)",,,
606460300,1,residential,50,True,False,15.965,,"LINESTRING (9.1524864 53.688557, 9.1523756 53.6885587, 9.152278 53.6885064)",,,roundabout
30472374,1,residential,50,True,False,29.401999999999997,,"LINESTRING (9.152278 53.6885064, 9.1522748 53.6884516, 9.1523155 53.6883918, 9.1523838 53.6883323, 9.1524924 53.6882974)",,,roundabout
30472374,1,residential,50,True,False,13.485,,"LINESTRING (9.1524924 53.6882974, 9.1525805 53.6883091, 9.1526584 53.6883588)",,,roundabout
36776971,,residential,50,False,False,46.484,Schützenstraße,"LINESTRING (9.1524924 53.6882974, 9.1524849 53.6880934, 9.152503 53.6879362, 9.1525095 53.6878799)",,,
111539631,1,residential,50,True,False,26.274,,"LINESTRING (9.1526584 53.6883588, 9.1526623 53.6884024, 9.1526411 53.6884483, 9.1525612 53.688526, 9.1524864 53.688557)",,,roundabout
"[1102780675, 606445911]",,residential,"['50', '30']",False,False,66.68700000000001,Zentrumstraße,"LINESTRING (9.1526584 53.6883588, 9.1527474 53.688333, 9.1528928 53.6882908, 9.1530092 53.6882451, 9.1535173 53.688043)",,,
606445911,,residential,30,False,True,91.28,Zentrumstraße,"LINESTRING (9.1546621 53.6875801, 9.1535173 53.688043)",,,
30472373,,residential,30,False,False,119.17,Zentrumstraße,"LINESTRING (9.1546621 53.6875801, 9.1554966 53.6872527, 9.1556243 53.6872026, 9.1557612 53.6871442, 9.1561707 53.6869883)",,,
606476753,,residential,,False,True,123.111,Bürgermeister-Grube-Straße,"LINESTRING (9.1546621 53.6875801, 9.1555997 53.6883994, 9.1557767 53.6884524)",,,
30472373,,residential,30,False,True,149.524,Zentrumstraße,"LINESTRING (9.1580822 53.6862734, 9.1578486 53.6863215, 9.1578275 53.6863281, 9.1574939 53.686433, 9.1566626 53.6867783, 9.1561707 53.6869883)",,,
36975959,1,residential,50,True,False,34.243,,"LINESTRING (9.1580822 53.6862734, 9.1580729 53.686255, 9.1580695 53.6862358, 9.1580792 53.6862012, 9.158108 53.6861706, 9.1581512 53.6861481, 9.158188 53.6861391, 9.1582036 53.6861353, 9.1582581 53.6861331, 9.1583101 53.6861409, 9.1583439 53.6861523, 9.1583726 53.6861679, 9.1583934 53.6861855)",,,roundabout
"[667264954, 23358454]",2,residential,50,False,False,56.492999999999995,Zentrumstraße,"LINESTRING (9.1583934 53.6861855, 9.1585877 53.6861325, 9.1587157 53.6860814, 9.1588363 53.6860186, 9.1589493 53.6859531, 9.1590349 53.6858655)",,,
606476754,1,residential,50,True,False,19.022000000000002,,"LINESTRING (9.1583934 53.6861855, 9.1584064 53.6862033, 9.1584135 53.6862223, 9.1584134 53.6862481, 9.1584024 53.686273, 9.1583859 53.6862917, 9.1583521 53.6863138, 9.1583091 53.6863292)",,,roundabout
29321899,,residential,,False,True,98.611,Am Zentrum,"LINESTRING (9.1588613 53.687078, 9.1589501 53.6870039, 9.1589714 53.6869089, 9.1589422 53.6868826, 9.1586312 53.6866031, 9.1584845 53.6864717, 9.1584403 53.6864322, 9.1583091 53.6863292)",,,
"[606494137, 40153398]",,residential,,True,False,142.08000000000004,Am Schulzentrum,"LINESTRING (9.1588613 53.687078, 9.1578066 53.6875241, 9.1575477 53.6876205, 9.1572637 53.6877267, 9.1571765 53.6877444, 9.1571095 53.687753, 9.1570506 53.6877562)",,,
36776971,,residential,50,False,True,184.86200000000002,Schützenstraße,"LINESTRING (9.1529934 53.6842384, 9.1529327 53.6844423, 9.1529258 53.6847058, 9.1529057 53.6848046, 9.1527377 53.6856321, 9.1526855 53.6858892)",,,
258706806,2,primary,50,False,True,175.792,Lamstedter Straße,"LINESTRING (9.1529934 53.6842384, 9.1532281 53.6842972, 9.1539067 53.6844433, 9.1554859 53.684804)",B 495,,
729945749,2,residential,30,False,True,153.772,Otto-Peschel-Straße,"LINESTRING (9.1617098 53.6842374, 9.1606999 53.6844526, 9.1604566 53.6845045, 9.1602513 53.6846272, 9.1600506 53.6848067, 9.1598584 53.6849785)",,,
29321899,,residential,,False,False,98.611,Am Zentrum,"LINESTRING (9.1583091 53.6863292, 9.1584403 53.6864322, 9.1584845 53.6864717, 9.1586312 53.6866031, 9.1589422 53.6868826, 9.1589714 53.6869089, 9.1589501 53.6870039, 9.1588613 53.687078)",,,
606489768,1,residential,50,True,False,17.927,,"LINESTRING (9.1583091 53.6863292, 9.1582578 53.6863368, 9.1582041 53.6863347, 9.1581523 53.6863223, 9.1581093 53.6863002, 9.1580822 53.6862734)",,,roundabout
30264026,,residential,,False,True,57.038,An der Heide,"LINESTRING (9.167015 53.690116, 9.1668279 53.6897036, 9.1667903 53.6896206)",,,
36788750,,residential,50,False,False,60.042,Industriestraße,"LINESTRING (9.1556785 53.6845504, 9.1565381 53.6847304)",,,
40151836,,residential,50,False,False,30.919999999999998,Industriestraße,"LINESTRING (9.1556785 53.6845504, 9.1555477 53.6847226, 9.1554859 53.684804)",,,
40151836,,residential,50,False,True,30.919999999999998,Industriestraße,"LINESTRING (9.1554859 53.684804, 9.1555477 53.6847226, 9.1556785 53.6845504)",,,
258706806,2,primary,50,False,False,175.792,Lamstedter Straße,"LINESTRING (9.1554859 53.684804, 9.1539067 53.6844433, 9.1532281 53.6842972, 9.1529934 53.6842384)",B 495,,
"[258706806, 70068711]","['2', '3']",primary,50,False,True,261.625,Lamstedter Straße,"LINESTRING (9.1554859 53.684804, 9.1567334 53.685089, 9.1580326 53.6853858, 9.1582316 53.6854312, 9.1585033 53.6854933, 9.159189 53.6856562)",B 495,,
40152461,,residential,50,False,False,31.787,Kastanienweg,"LINESTRING (9.152029 53.6879074, 9.1525095 53.6878799)",,,
36776971,,residential,50,False,False,102.672,Schützenstraße,"LINESTRING (9.1525095 53.6878799, 9.1525458 53.6869568)",,,
40152461,,residential,50,False,True,31.787,Kastanienweg,"LINESTRING (9.1525095 53.6878799, 9.152029 53.6879074)",,,
36776971,,residential,50,False,True,46.484,Schützenstraße,"LINESTRING (9.1525095 53.6878799, 9.152503 53.6879362, 9.1524849 53.6880934, 9.1524924 53.6882974)",,,
41789242,,residential,,False,True,115.391,Am Schulzentrum,"LINESTRING (9.1557767 53.6884524, 9.1566522 53.6880259, 9.157015 53.6878251, 9.1570394 53.6877884, 9.1570506 53.6877562)",,,
43182172,,residential,,False,True,58.533,Bürgermeister-Grube-Straße,"LINESTRING (9.1557767 53.6884524, 9.1558411 53.6886857, 9.1559047 53.6889158, 9.1559202 53.6889719)",,,
606476753,,residential,,False,False,123.111,Bürgermeister-Grube-Straße,"LINESTRING (9.1557767 53.6884524, 9.1555997 53.6883994, 9.1546621 53.6875801)",,,
43184038,,residential,,False,False,17.53,Bürgermeister-Grube-Straße,"LINESTRING (9.1555342 53.6894201, 9.1553048 53.6895001)",,,
"[606458392, 606516902, 606445910]",,residential,,False,False,66.396,Bürgermeister-Grube-Straße,"LINESTRING (9.1555342 53.6894201, 9.1559938 53.689238, 9.1559675 53.6891431, 9.1559202 53.6889719)",,,
606445910,,residential,,False,True,75.286,Bürgermeister-Grube-Straße,"LINESTRING (9.1555342 53.6894201, 9.1553209 53.6891957, 9.1559202 53.6889719)",,,
30472373,,residential,30,False,False,149.524,Zentrumstraße,"LINESTRING (9.1561707 53.6869883, 9.1566626 53.6867783, 9.1574939 53.686433, 9.1578275 53.6863281, 9.1578486 53.6863215, 9.1580822 53.6862734)",,,
30472373,,residential,30,False,True,119.17,Zentrumstraße,"LINESTRING (9.1561707 53.6869883, 9.1557612 53.6871442, 9.1556243 53.6872026, 9.1554966 53.6872527, 9.1546621 53.6875801)",,,
40153397,,residential,50,False,False,103.50099999999999,Am Rathaus,"LINESTRING (9.1561707 53.6869883, 9.1565169 53.6872783, 9.157027 53.6877065, 9.1570506 53.6877562)",,,
40153399,,residential,,False,False,201.882,Heideweg,"LINESTRING (9.154683 53.6903081, 9.1545792 53.6903317, 9.1542589 53.6906368, 9.1540755 53.6909256, 9.1540275 53.6910721, 9.153866 53.6915151, 9.153151 53.6917402)",,,
