osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,bridge
142378378,L 3376,Frankenbacher Straße,secondary,50,False,False,7.052,"LINESTRING (8.5288548 50.6751744, 8.5287565 50.6751863)",,,
65656177,,Jahnstraße,residential,50,False,False,43.394999999999996,"LINESTRING (8.5288548 50.6751744, 8.5288459 50.6751389, 8.5288505 50.6750899, 8.5289805 50.674796)",,,
28286099,L 3376,Grabenstraße,secondary,50,False,False,66.768,"LINESTRING (8.5284035 50.6752356, 8.5283302 50.6752332, 8.5281891 50.6752039, 8.5279698 50.6751491, 8.5277574 50.6750947, 8.5276284 50.6750701, 8.5275026 50.6750646)",,,
142378378,L 3376,Frankenbacher Straße,secondary,50,False,True,25.595,"LINESTRING (8.5284035 50.6752356, 8.5285114 50.6752295, 8.5286003 50.6752189, 8.5287565 50.6751863)",,,
28286099,L 3376,Grabenstraße,secondary,50,False,True,5.714,"LINESTRING (8.5274218 50.6750603, 8.5275026 50.6750646)",,,
65656187,,Freithofstraße,residential,30,False,False,16.039,"LINESTRING (8.5274218 50.6750603, 8.5273804 50.6750084, 8.5272949 50.6749415)",,,
142378373,L 3376,Grabenstraße,secondary,50,False,False,110.887,"LINESTRING (8.5274218 50.6750603, 8.527354 50.6750705, 8.5272442 50.6750954, 8.5268276 50.675213, 8.5267307 50.6751942, 8.5267026 50.6751888, 8.5263251 50.6750645, 8.5260057 50.6749398)",,,
39518968,,Zu den Linden,residential,30,False,False,47.143,"LINESTRING (8.525256 50.6746333, 8.5251933 50.6746545, 8.5248049 50.6749426)",,,
142378373,L 3376,Grabenstraße,secondary,50,False,True,62.878,"LINESTRING (8.525256 50.6746333, 8.5256875 50.6748154, 8.5260057 50.6749398)",,,
411384571,L 3376,Rathausplatz,secondary,50,False,False,63.36000000000001,"LINESTRING (8.525256 50.6746333, 8.5251666 50.6745826, 8.5250733 50.6744923, 8.5249459 50.674115)",,,
"[39518970, 39518971]",,"['Erbsengasse', 'Backhausweg']",residential,30,False,False,122.495,"LINESTRING (8.5249459 50.674115, 8.5248208 50.6741177, 8.5246568 50.6741822, 8.5239978 50.6745774, 8.5243933 50.6747843)",,,
411384571,L 3376,Rathausplatz,secondary,50,False,True,63.36000000000001,"LINESTRING (8.5249459 50.674115, 8.5250733 50.6744923, 8.5251666 50.6745826, 8.525256 50.6746333)",,,
"[578440688, 62324167]",,Vorderstraße,residential,30,False,True,67.247,"LINESTRING (8.5249459 50.674115, 8.5250826 50.674114, 8.5253098 50.6740428, 8.5258085 50.6738757)",3,,
"[578451622, 28286095]",L 3376,"['Rathausplatz', 'Goßbachstraße']",secondary,50,False,False,77.86,"LINESTRING (8.5249459 50.674115, 8.5248957 50.6740659, 8.5248198 50.6739918, 8.5247468 50.6739291, 8.524666 50.6738598, 8.5241446 50.673654)",,,
28286095,L 3376,Goßbachstraße,secondary,50,False,False,40.944,"LINESTRING (8.5233233 50.6733245, 8.523244 50.6732803, 8.5232008 50.6732563, 8.523136 50.673218, 8.5229161 50.6730626)",,,
28286095,L 3376,Goßbachstraße,secondary,50,False,True,68.6,"LINESTRING (8.5233233 50.6733245, 8.5234468 50.6733864, 8.5234838 50.6734049, 8.523832 50.6735388, 8.5241446 50.673654)",,,
62324169,,Seifer Weg,residential,,False,True,57.303,"LINESTRING (8.5233233 50.6733245, 8.5232359 50.6733715, 8.5225984 50.6735525)",,,
28286095,L 3376,Goßbachstraße,secondary,50,False,True,40.944,"LINESTRING (8.5229161 50.6730626, 8.523136 50.673218, 8.5232008 50.6732563, 8.523244 50.6732803, 8.5233233 50.6733245)",,,
62324167,,Vorderstraße,residential,30,False,False,71.423,"LINESTRING (8.5262284 50.6733314, 8.5261558 50.6736427, 8.5260975 50.6737215, 8.5259212 50.6738305, 8.5258085 50.6738757)",3,,
65656146,,Freithofstraße,residential,30,False,False,134.402,"LINESTRING (8.5262284 50.6733314, 8.5265181 50.673526, 8.5266715 50.6736215, 8.5264972 50.6738158, 8.5264667 50.6739167, 8.5264469 50.6740832, 8.5263846 50.6741503, 8.5263523 50.6742136, 8.5264089 50.674377)",,,
39518970,,Erbsengasse,residential,30,False,False,33.927,"LINESTRING (8.5243933 50.6747843, 8.5248049 50.6749426)",,,
"[39518970, 39518971]",,"['Erbsengasse', 'Backhausweg']",residential,30,False,True,122.495,"LINESTRING (8.5243933 50.6747843, 8.5239978 50.6745774, 8.5246568 50.6741822, 8.5248208 50.6741177, 8.5249459 50.674115)",,,
"[65656160, 170744262]",,Erbsengasse,residential,30,False,False,156.61199999999997,"LINESTRING (8.5243933 50.6747843, 8.5243119 50.6748555, 8.5241453 50.674983, 8.5238129 50.6751485, 8.5235198 50.6753684, 8.523362 50.6755999, 8.5235826 50.6756633, 8.5237905 50.6758051)",,,
39518970,,Erbsengasse,residential,30,False,True,33.927,"LINESTRING (8.5248049 50.6749426, 8.5243933 50.6747843)",,,
39518968,,Zu den Linden,residential,30,False,True,47.143,"LINESTRING (8.5248049 50.6749426, 8.5251933 50.6746545, 8.525256 50.6746333)",,,
"[39518969, 62313834]",,Zu den Linden,residential,30,False,"[False, True]",119.72,"LINESTRING (8.5248049 50.6749426, 8.5245084 50.6751842, 8.5242837 50.6754021, 8.5241022 50.6755645, 8.5237905 50.6758051)",,,
92522126,,Zu den Linden,residential,30,False,False,67.55600000000001,"LINESTRING (8.5228081 50.6762695, 8.5225343 50.6764304, 8.5224099 50.6766159, 8.5223457 50.6767803)",,,
"[62313834, 92522126]",,Zu den Linden,residential,30,False,"[False, True]",86.508,"LINESTRING (8.5228081 50.6762695, 8.5232773 50.6760742, 8.5234578 50.6759862, 8.5237905 50.6758051)",,,
235638614,,,residential,,False,True,89.952,"LINESTRING (8.5205846 50.6798256, 8.5206356 50.6797561, 8.5210985 50.6790851)",3,,
