osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,width,access
273458839,Billrothstraße,residential,False,True,20.979,,"LINESTRING (13.4321697 54.4158431, 13.4320973 54.416027)",,,
5190634,Billrothstraße,residential,True,False,244.023,30,"LINESTRING (13.4321697 54.4158431, 13.4322778 54.4157798, 13.4324054 54.4157154, 13.4325695 54.4155235, 13.4329678 54.4151032, 13.4340022 54.4142747, 13.4340866 54.4142071, 13.4342809 54.414036)",,,
5190636,Schulstraße,residential,True,False,137.40699999999998,30,"LINESTRING (13.4300746 54.4160389, 13.4309977 54.4159634, 13.4316161 54.415887, 13.4317785 54.4158707, 13.4319564 54.4158529, 13.4321697 54.4158431)",,,
38426585,Gartenstraße,residential,False,True,144.13400000000001,,"LINESTRING (13.4300746 54.4160389, 13.430167 54.4157037, 13.4302301 54.4152746, 13.4301961 54.4147489)",,,
27311747,Neue Straße,residential,True,False,145.146,,"LINESTRING (13.4294363 54.4172858, 13.4293618 54.4171321, 13.4287227 54.4160485)",,,
27568514,Bahnhofstraße,residential,False,False,30.759999999999998,,"LINESTRING (13.4294363 54.4172858, 13.429162 54.4173372, 13.4290509 54.4174249)",,,
27568514,Bahnhofstraße,residential,False,True,74.539,,"LINESTRING (13.4294363 54.4172858, 13.4299845 54.4172593, 13.4305842 54.4172895)",,,
"[53399670, 146901479]","['Markt', 'Raddasstraße']",unclassified,True,False,111.656,"['20', '30']","LINESTRING (13.4334423 54.4189755, 13.4333728 54.418672, 13.4333198 54.4185587, 13.4332896 54.4184941, 13.4331639 54.4183114, 13.4331351 54.4182315, 13.4331235 54.4181815, 13.4332051 54.418003)",2,,
"[172433280, 176491683]",Marktstraße,living_street,False,"[False, True]",95.57900000000001,,"LINESTRING (13.4334423 54.4189755, 13.4333676 54.4189843, 13.4333002 54.4189922, 13.4332081 54.4189405, 13.4327585 54.4186646, 13.4325922 54.4184676, 13.4325643 54.4184509, 13.4324387 54.4184775)",2,4.5,
"[628023584, 282073261, 8162149, 713918447]","['Billrothstraße', 'Kirchstraße']",residential,True,False,205.77000000000004,,"LINESTRING (13.4305842 54.4172895, 13.431066 54.4173125, 13.431294 54.4172905, 13.431525 54.4172378, 13.4315878 54.417194, 13.4316668 54.4170976, 13.4316712 54.4169748, 13.4316492 54.4169046, 13.4316263 54.4168297, 13.431617 54.4167422, 13.4316395 54.4166838, 13.4320973 54.416027)",,,
27568514,Bahnhofstraße,residential,False,False,74.539,,"LINESTRING (13.4305842 54.4172895, 13.4299845 54.4172593, 13.4294363 54.4172858)",,,
31242850,Dammstraße,residential,False,False,145.46,30,"LINESTRING (13.4305842 54.4172895, 13.4301904 54.4168459, 13.4299775 54.4166079, 13.4295845 54.4161181)",,,
"[376251540, 146901478]",Marktstraße,residential,False,True,107.83500000000001,20,"LINESTRING (13.4305842 54.4172895, 13.431027 54.417647, 13.4312157 54.4177581, 13.4313987 54.4178448, 13.4316266 54.4179261, 13.4317439 54.4179679)",2,,
146901478,Marktstraße,residential,False,False,57.08,20,"LINESTRING (13.4332051 54.418003, 13.4330209 54.4179715, 13.432712 54.4180077, 13.4323445 54.4180515)",2,,
"[713918451, 5308829]",Markt,residential,False,True,43.753,20,"LINESTRING (13.4332051 54.418003, 13.4332951 54.4179516, 13.4333773 54.4178939, 13.4334773 54.4178137, 13.4336336 54.4176994)",,,
288627512,Bahnhofstraße,residential,False,False,75.966,30,"LINESTRING (13.4255933 54.419133, 13.4246717 54.4195563)",,,
24558966,Arkonastraße,residential,False,False,138.332,,"LINESTRING (13.4255933 54.419133, 13.425536 54.4190819, 13.424332 54.4181286)",,,
288627512,Bahnhofstraße,residential,False,True,100.634,30,"LINESTRING (13.4255933 54.419133, 13.4261973 54.4188781, 13.4268666 54.4186134)",,,
"[288627512, 314965364]",Bahnhofstraße,residential,False,True,138.131,30,"LINESTRING (13.4229768 54.4203117, 13.4230989 54.4202573, 13.4241253 54.4197998, 13.4246717 54.4195563)",3,,
"[314965372, 653722301]",Ringstraße,residential,False,True,108.55,50,"LINESTRING (13.4229768 54.4203117, 13.423254 54.4206121, 13.4233455 54.4207185, 13.4235041 54.4209457, 13.4236031 54.4210734, 13.4236867 54.421195)","['2', '3']",,
95136691,Markt,residential,False,False,48.13399999999999,,"LINESTRING (13.4323445 54.4180515, 13.4323339 54.4181331, 13.4323414 54.418226, 13.4323593 54.418296, 13.4323716 54.418324, 13.4324289 54.4184552, 13.4324387 54.4184775)",2,,
146901478,Marktstraße,residential,False,False,39.986000000000004,20,"LINESTRING (13.4323445 54.4180515, 13.4322557 54.4180406, 13.4320884 54.41802, 13.4319303 54.4180006, 13.4317439 54.4179679)",2,,
146901478,Marktstraße,residential,False,True,57.08,20,"LINESTRING (13.4323445 54.4180515, 13.432712 54.4180077, 13.4330209 54.4179715, 13.4332051 54.418003)",2,,
5308801,Bahnhofstraße,residential,False,False,98.631,30,"LINESTRING (13.4286038 54.417787, 13.4285417 54.4178793, 13.4283831 54.4179908, 13.4274845 54.4183653)",,,
24558682,Schützenstraße,residential,True,False,119.43900000000001,,"LINESTRING (13.4286038 54.417787, 13.4289192 54.4180155, 13.4289578 54.4180437, 13.4291262 54.4182994, 13.4294159 54.4187394)",,,
27565697,Bahnhofstraße,residential,False,True,47.551,,"LINESTRING (13.4286038 54.417787, 13.4285286 54.4176146, 13.4284224 54.4173726)",,,
27568514,Bahnhofstraße,residential,False,True,49.949999999999996,,"LINESTRING (13.4286038 54.417787, 13.4288846 54.4175168, 13.4290509 54.4174249)",,,
27568514,Bahnhofstraße,residential,False,False,49.949999999999996,,"LINESTRING (13.4290509 54.4174249, 13.4288846 54.4175168, 13.4286038 54.417787)",,,
27568514,Bahnhofstraße,residential,False,True,30.759999999999998,,"LINESTRING (13.4290509 54.4174249, 13.429162 54.4173372, 13.4294363 54.4172858)",,,
"[376251533, 27568535]",Breitsprecherstraße,residential,False,True,42.248000000000005,30,"LINESTRING (13.4290509 54.4174249, 13.428885 54.4173706, 13.4284392 54.4173725, 13.4284224 54.4173726)",,,
5308801,Bahnhofstraße,residential,False,True,98.63100000000001,30,"LINESTRING (13.4274845 54.4183653, 13.4283831 54.4179908, 13.4285417 54.4178793, 13.4286038 54.417787)",,,
27568510,Calandstraße,residential,True,False,43.7,,"LINESTRING (13.4274845 54.4183653, 13.4275669 54.4185337, 13.4276102 54.4186503, 13.4276717 54.4187422)",,,
1245876362,Bahnhofstraße,residential,False,False,48.58200000000001,30,"LINESTRING (13.4274845 54.4183653, 13.4271904 54.4184882, 13.4269553 54.4185781, 13.4268666 54.4186134)",,,
"[713918451, 5308829]",Markt,residential,False,False,43.753,20,"LINESTRING (13.4336336 54.4176994, 13.4334773 54.4178137, 13.4333773 54.4178939, 13.4332951 54.4179516, 13.4332051 54.418003)",,,
