osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,access
225553179,2,Hermannstraße,tertiary,50,False,True,12.321,,"LINESTRING (8.6180673 49.6766856, 8.6182344 49.6767098)",,
62623916,,Schwanheimer Straße,secondary,50,False,False,12.766,L 3345,"LINESTRING (8.6177071 49.6803324, 8.6178838 49.680322)",,
"[184062411, 4299956, 4299957]","['4', '2', '3']",Schwanheimer Straße,secondary,50,False,True,108.561,L 3345,"LINESTRING (8.6177071 49.6803324, 8.6175984 49.6803376, 8.6175631 49.6803393, 8.6172874 49.6803525, 8.6171632 49.6803584, 8.616583 49.6804303, 8.6164296 49.6804505, 8.616225 49.6804957)",,
"[225553180, 278353503]","['4', '2']",Rodensteinstraße,primary,50,True,False,157.47199999999998,B 3;B 47,"LINESTRING (8.6177071 49.6803324, 8.6177011 49.6801809, 8.6177005 49.6797396, 8.6176741 49.6792125, 8.6176555 49.6789168)",,
679409558,2,Nibelungenstraße,primary,30,False,False,12.935,B 47,"LINESTRING (8.6248762 49.6820189, 8.6250537 49.6820374)",,
44615895,2,Nibelungenstraße,primary,30,False,True,35.980000000000004,B 47,"LINESTRING (8.6248762 49.6820189, 8.6248305 49.6820311, 8.6247848 49.6820433, 8.6246571 49.6821079, 8.6246052 49.6821443, 8.6244951 49.6822217)",,
249355769,,Platanenallee,residential,50,True,False,36.468,,"LINESTRING (8.6248762 49.6820189, 8.6249453 49.6819507, 8.6249756 49.6818684, 8.624985 49.6817067)",,
3954465,,Obergasse,residential,,False,False,4.128,,"LINESTRING (8.6244951 49.6822217, 8.6244405 49.6822103)",,
44615895,2,Nibelungenstraße,primary,30,False,False,35.980000000000004,B 47,"LINESTRING (8.6244951 49.6822217, 8.6246052 49.6821443, 8.6246571 49.6821079, 8.6247848 49.6820433, 8.6248305 49.6820311, 8.6248762 49.6820189)",,
"[188454500, 183596645, 188454501, 151833107, 444242104, 363696828]",2,Nibelungenstraße,primary,30,False,"[False, True]",220.02799999999996,B 47,"LINESTRING (8.6244951 49.6822217, 8.6241757 49.6824754, 8.6240331 49.6825908, 8.6240185 49.6826, 8.623938 49.6826652, 8.6238126 49.6827704, 8.6236788 49.6827777, 8.623057 49.6827725, 8.6225865 49.6827593, 8.6222688 49.6827633, 8.6219506 49.682788, 8.6218493 49.6828038)",,
3127973,2,Nibelungenstraße,primary,30,True,False,24.972,B 47,"LINESTRING (8.6218493 49.6828038, 8.621725 49.6828921, 8.6216998 49.6829121, 8.6216041 49.6829617)",,
"[188454500, 188454501, 183596645, 151833107, 444242104, 363696828]",2,Nibelungenstraße,primary,30,False,"[False, True]",220.028,B 47,"LINESTRING (8.6218493 49.6828038, 8.6219506 49.682788, 8.6222688 49.6827633, 8.6225865 49.6827593, 8.623057 49.6827725, 8.6236788 49.6827777, 8.6238126 49.6827704, 8.623938 49.6826652, 8.6240185 49.6826, 8.6240331 49.6825908, 8.6241757 49.6824754, 8.6244951 49.6822217)",,
26802415,1,Friedrichstraße,residential,30,True,False,91.036,,"LINESTRING (8.6216314 49.6851061, 8.6215633 49.6851051, 8.6203663 49.685088)",,
"[62544013, 537923359]",2,Darmstädter Straße,primary,50,False,True,240.72899999999998,B 3,"LINESTRING (8.6216314 49.6851061, 8.6216293 49.6849252, 8.6216284 49.6848475, 8.6216258 49.6845553, 8.6216248 49.6844404, 8.6216323 49.6843168, 8.6216424 49.6841521, 8.6216469 49.6840773, 8.6216507 49.6840387, 8.621684 49.683703, 8.6216853 49.6836797, 8.6217225 49.6833694, 8.6217357 49.6831825, 8.6217144 49.6831034, 8.6216492 49.6830145, 8.6216374 49.6829975, 8.6216041 49.6829617)",,
2470626,,Grieselstraße,residential,50,False,False,30.328,,"LINESTRING (8.6234915 49.6794907, 8.623501 49.6795192, 8.6236138 49.6797516)",,
2470626,,Grieselstraße,residential,50,False,True,75.387,,"LINESTRING (8.6234915 49.6794907, 8.6234247 49.6792932, 8.6234019 49.6791905, 8.6233866 49.6790138, 8.623399 49.6788189)",,
226077220,,Lammertsgasse,living_street,,False,True,42.124,,"LINESTRING (8.6234915 49.6794907, 8.6232635 49.679534, 8.6229408 49.679618)",,
"[24933051, 44732717]",,Augartenstraße,residential,30,True,False,88.918,,"LINESTRING (8.6245934 49.6811968, 8.6247586 49.6812623, 8.6249259 49.6813334, 8.6250627 49.6813916, 8.6252713 49.6814506, 8.6254644 49.6814996, 8.6256904 49.6815577)",,
"[44653137, 679409555, 249355767]",,Platanenallee,residential,50,False,True,63.351,,"LINESTRING (8.6245934 49.6811968, 8.6246356 49.6812455, 8.6246425 49.6812547, 8.6247841 49.6814407, 8.6248097 49.6814746, 8.6249534 49.6816536, 8.624985 49.6817067)",,
"[498201025, 641647726]",2,Platanenallee,residential,50,False,False,118.206,,"LINESTRING (8.6245934 49.6811968, 8.6245194 49.6811197, 8.6243354 49.6809261, 8.6242383 49.6808587, 8.6241391 49.6807898, 8.6239 49.6806645, 8.6236741 49.6805646, 8.6234286 49.6804746)",,
42726153,,Am Rinnentor,residential,,False,True,98.864,,"LINESTRING (8.6187602 49.6802485, 8.6201225 49.6801323)",,
5208605,,Neckarstraße,residential,30,False,False,114.47900000000001,,"LINESTRING (8.6187602 49.6802485, 8.6187759 49.6803231, 8.618856 49.6807033, 8.618932 49.6810638, 8.6189751 49.6812686)",,
31859038,,Neckarstraße,residential,30,False,False,54.135999999999996,,"LINESTRING (8.6187602 49.6802485, 8.6187663 49.6801936, 8.618797 49.6799177, 8.6188143 49.6797629)",,
227831756,,Am Rinnentor,residential,,False,False,63.591,,"LINESTRING (8.6187602 49.6802485, 8.6180942 49.6803074, 8.6180472 49.6803116, 8.6178838 49.680322)",,
42726153,,Am Rinnentor,residential,,False,False,98.864,,"LINESTRING (8.6201225 49.6801323, 8.6187602 49.6802485)",,
42726154,,Am Rinnentor,living_street,,False,True,26.125,,"LINESTRING (8.6201225 49.6801323, 8.620244 49.6799109)",,
"[978326794, 151833108]",,Promenadenstraße,"['residential', 'living_street']",30,False,False,103.07100000000001,,"LINESTRING (8.6201225 49.6801323, 8.6201412 49.6801686, 8.620154 49.6802404, 8.6200957 49.6803587, 8.6200437 49.6804888, 8.620022 49.680543, 8.6199348 49.6807596, 8.6198452 49.6809843, 8.6198274 49.6810288)",,
118149068,,Bahnhofstraße,living_street,,True,False,33.615,,"LINESTRING (8.6198274 49.6810288, 8.619883 49.6810425, 8.6202592 49.6811442)",,
978326794,,Promenadenstraße,living_street,,False,False,19.512,,"LINESTRING (8.6198274 49.6810288, 8.6197928 49.6811206, 8.6197823 49.6812013)",,
"[978326794, 151833108]",,Promenadenstraße,"['living_street', 'residential']",30,False,True,103.07100000000001,,"LINESTRING (8.6198274 49.6810288, 8.6198452 49.6809843, 8.6199348 49.6807596, 8.620022 49.680543, 8.6200437 49.6804888, 8.6200957 49.6803587, 8.620154 49.6802404, 8.6201412 49.6801686, 8.6201225 49.6801323)",,
24917161,,Dalbergergasse,living_street,,False,True,20.733,,"LINESTRING (8.6197126 49.6819804, 8.6197976 49.6819857, 8.6199273 49.6820006, 8.6199666 49.6820389)",,
978326796,,Promenadenstraße,residential,30,False,False,56.675000000000004,,"LINESTRING (8.6197126 49.6819804, 8.6197028 49.6823461, 8.6197008 49.6823906, 8.619698 49.68249)",,
