osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,ref,width
"[28210785, 29456657, 29456659, 121863891, 71514356]","['Goethestraße', 'Am Pferdemarkt']",residential,20,False,"[False, True]",174.26800000000003,yes,"LINESTRING (9.3994743 53.1083272, 9.3998323 53.1084129, 9.4000376 53.1084621, 9.4004145 53.108538, 9.4008503 53.1086273, 9.4011236 53.1086833, 9.4016742 53.1087908, 9.4017429 53.1088042, 9.4019039 53.1088356, 9.401939 53.1088425)",,,
"[4962398, 478368204, 127725390, 169917359]",Mühlenstraße,residential,"['20', '50']",False,True,182.004,,"LINESTRING (9.3994743 53.1083272, 9.3992998 53.1081642, 9.3984457 53.1076398, 9.398341 53.1075524, 9.398202 53.1074342, 9.3980875 53.1073567, 9.3978812 53.1072698, 9.3977516 53.1072324, 9.3975783 53.1071809)",3,,
"[28210787, 478368227]",Bergstraße,residential,20,False,False,251.34599999999998,,"LINESTRING (9.4062567 53.1095237, 9.406384 53.1095648, 9.4066562 53.1096994, 9.4068632 53.1098102, 9.4071357 53.1099735, 9.4072733 53.1100461, 9.4074417 53.1101122, 9.4076686 53.110163, 9.4080611 53.1102215, 9.4086127 53.1102774, 9.4089874 53.1103118, 9.4091867 53.1103384, 9.4095105 53.1103924, 9.4096059 53.1104004)",2,,
"[268848210, 29267999]",Am Kirchhof,residential,20,False,True,99.695,,"LINESTRING (9.4062567 53.1095237, 9.4062902 53.109241, 9.4063001 53.1091876, 9.4063385 53.1089731, 9.4063822 53.108734, 9.4063986 53.1086313)",,,
"[478368226, 28210789]",Birkenweg,residential,30,True,False,94.303,,"LINESTRING (9.4096059 53.1104004, 9.4097386 53.110423, 9.4104656 53.1105114, 9.4107353 53.1105341, 9.4109917 53.1105627)",,,
"[478368227, 28210787]",Bergstraße,residential,20,False,True,251.34599999999998,,"LINESTRING (9.4096059 53.1104004, 9.4095105 53.1103924, 9.4091867 53.1103384, 9.4089874 53.1103118, 9.4086127 53.1102774, 9.4080611 53.1102215, 9.4076686 53.110163, 9.4074417 53.1101122, 9.4072733 53.1100461, 9.4071357 53.1099735, 9.4068632 53.1098102, 9.4066562 53.1096994, 9.406384 53.1095648, 9.4062567 53.1095237)",2,,
"[5409741, 478368253]",Am Sande,primary,50,False,False,83.823,,"LINESTRING (9.4096059 53.1104004, 9.4095802 53.1105264, 9.4095741 53.1105904, 9.4095411 53.1107607, 9.4094768 53.1109872, 9.4094098 53.1111437)","['2', '3']",B 71,
"[127725390, 478368204, 4962398, 169917359]",Mühlenstraße,residential,"['50', '20']",False,False,182.00400000000002,,"LINESTRING (9.3975783 53.1071809, 9.3977516 53.1072324, 9.3978812 53.1072698, 9.3980875 53.1073567, 9.398202 53.1074342, 9.398341 53.1075524, 9.3984457 53.1076398, 9.3992998 53.1081642, 9.3994743 53.1083272)",3,,
26367671,Große Straße,residential,20,True,False,152.088,,"LINESTRING (9.4092989 53.1115418, 9.4092201 53.1115281, 9.4090957 53.1115041, 9.4090351 53.1114929, 9.4071724 53.1110517)",,,
28219736,Glockengießerstraße,primary,50,True,False,63.711,,"LINESTRING (9.4092989 53.1115418, 9.4092976 53.111679, 9.4092855 53.1117178, 9.4092623 53.1117924, 9.4091321 53.1119709, 9.4090246 53.1120786)",1,,
