osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,maxspeed,ref,bridge,width,tunnel,access
436054248,1,secondary,roundabout,True,False,12.938,"LINESTRING (6.0113047 51.788626, 6.0113144 51.788637, 6.0113208 51.7886489, 6.0113239 51.7886646, 6.0113213 51.7886804, 6.011313 51.7886955, 6.0112995 51.7887091, 6.0112841 51.7887191, 6.0112658 51.7887271)",,,,,,,
549733515,2,secondary,,False,True,82.854,"LINESTRING (6.0113047 51.788626, 6.0115646 51.7885123, 6.0115971 51.7884981, 6.0116754 51.7884623, 6.0122776 51.7881867)",Klever Straße,50,,,,,
19073888,2,secondary,,False,True,121.58600000000001,"LINESTRING (6.0040641 51.7906927, 6.0039661 51.7906887, 6.0038846 51.790691, 6.0036591 51.7907213, 6.0024381 51.7910879)",Nimweger Straße,50,K 44,,,,
436054107,1,secondary,roundabout,True,False,17.739,"LINESTRING (6.0040641 51.7906927, 6.0040629 51.7906698, 6.0040702 51.7906472, 6.0040855 51.7906262, 6.004108 51.790608, 6.0041362 51.7905935, 6.0041687 51.7905833, 6.0042038 51.7905778)",,,,,,,
26350200,,residential,,False,True,80.07499999999999,"LINESTRING (6.0042038 51.7905778, 6.0041854 51.7905188, 6.0041487 51.7904862, 6.0041015 51.7904731, 6.0031917 51.7903015)",In der Hand,30,,,,,
436054107,1,secondary,roundabout,True,False,4.093,"LINESTRING (6.0042038 51.7905778, 6.0042337 51.7905769, 6.004263 51.7905794)",,,,,,,
436054106,1,secondary,roundabout,True,False,14.791,"LINESTRING (6.0043788 51.7906411, 6.0043884 51.7906634, 6.0043896 51.7906866, 6.0043792 51.7907146, 6.0043563 51.7907398, 6.0043226 51.7907601)",,,,,,,
120577278,1,secondary,roundabout,True,False,23.127000000000002,"LINESTRING (6.0043226 51.7907601, 6.0042942 51.7907704, 6.0042629 51.790777, 6.0042305 51.7907795, 6.0041976 51.790778, 6.0041655 51.7907723, 6.0041356 51.7907626, 6.0041094 51.7907492, 6.0040881 51.7907326, 6.0040727 51.7907135, 6.0040641 51.7906927)",,,,,,,
"[236878592, 669999812, 19073893, 669999816, 1212809359, 41706578, 236878588]",2,secondary,,False,False,370.406,"LINESTRING (6.0043226 51.7907601, 6.0043789 51.790828, 6.0044281 51.7909054, 6.0044764 51.7910096, 6.0045702 51.7912675, 6.0045991 51.79134, 6.004622 51.7914096, 6.0046314 51.7914376, 6.004644 51.7914752, 6.0046814 51.7915791, 6.0047251 51.79169, 6.0048431 51.7920253, 6.0053721 51.7936, 6.0054113 51.7937032, 6.0054417 51.7937601, 6.0054785 51.7938104, 6.0056549 51.7939696)",Tiggelstraße,50,K 2,yes,,,
"[236878592, 669999812, 19073893, 669999816, 1212809359, 41706578, 236878588]",2,secondary,,False,True,370.406,"LINESTRING (6.0056549 51.7939696, 6.0054785 51.7938104, 6.0054417 51.7937601, 6.0054113 51.7937032, 6.0053721 51.7936, 6.0048431 51.7920253, 6.0047251 51.79169, 6.0046814 51.7915791, 6.004644 51.7914752, 6.0046314 51.7914376, 6.004622 51.7914096, 6.0045991 51.79134, 6.0045702 51.7912675, 6.0044764 51.7910096, 6.0044281 51.7909054, 6.0043789 51.790828, 6.0043226 51.7907601)",Tiggelstraße,50,K 2,yes,,,
19073896,1,secondary,roundabout,True,False,28.336000000000002,"LINESTRING (6.0056549 51.7939696, 6.0057164 51.7939507, 6.0057845 51.7939451, 6.0058518 51.7939535, 6.005911 51.7939751, 6.0059556 51.7940073, 6.0059809 51.7940468)",Tiggelstraße,,K 2,,,,
"[19073899, 1186700383]",2,secondary,,False,False,281.60800000000006,"LINESTRING (6.0059809 51.7940468, 6.0061185 51.794033, 6.0063933 51.793994, 6.0066932 51.7939343, 6.0069335 51.7938589, 6.0072363 51.7937586, 6.007369 51.7937059, 6.0074965 51.7936437, 6.0077679 51.7934761, 6.0080007 51.7933302, 6.0082307 51.7931858, 6.0085128 51.7930422, 6.0087756 51.7929499, 6.0090594 51.7928792, 6.0094584 51.7928234)",Großen Haag,70,,,,,
"[19073899, 1186700383]",2,secondary,,False,True,281.608,"LINESTRING (6.0094584 51.7928234, 6.0090594 51.7928792, 6.0087756 51.7929499, 6.0085128 51.7930422, 6.0082307 51.7931858, 6.0080007 51.7933302, 6.0077679 51.7934761, 6.0074965 51.7936437, 6.007369 51.7937059, 6.0072363 51.7937586, 6.0069335 51.7938589, 6.0066932 51.7939343, 6.0063933 51.793994, 6.0061185 51.794033, 6.0059809 51.7940468)",Großen Haag,70,,,,,
26384036,,residential,,False,False,61.896,"LINESTRING (6.0094584 51.7928234, 6.0094041 51.7927552, 6.009049 51.7923277)",Zum Hallenbad,,,,,,
120577271,2,secondary,,False,False,156.969,"LINESTRING (6.0094584 51.7928234, 6.0098594 51.7927736, 6.0108585 51.7926265, 6.0110116 51.7925997, 6.0113277 51.7925442, 6.0116726 51.7924834)",Großen Haag,70,,,,,
26411089,1,secondary,,False,True,64.517,"LINESTRING (6.0112658 51.7887271, 6.0114165 51.7888898, 6.0115979 51.789048, 6.0118018 51.7892016)",Großen Haag,50,,,,,
436054244,1,secondary,roundabout,True,False,10.432,"LINESTRING (6.0112658 51.7887271, 6.0112435 51.7887332, 6.0112196 51.7887361, 6.0111987 51.7887362, 6.0111782 51.7887339, 6.0111588 51.7887294, 6.0111411 51.7887228, 6.0111261 51.7887148)",,,,,,,
