osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes
58911641,L 309,Marktstraße,tertiary,20,False,False,41.669,,"LINESTRING (9.8984235 47.9091643, 9.8978947 47.9090427)",
"[32762021, 32762022, 468162024, 1221482441, 41574090, 58911641]",L 309,"['Memminger Straße', 'Schulstraße', 'Marktstraße']",tertiary,"['20', '50']",False,True,148.256,yes,"LINESTRING (9.8984235 47.9091643, 9.8985016 47.9091705, 9.8985296 47.909174, 9.8985964 47.9091725, 9.8986649 47.9091686, 9.8986742 47.9091673, 9.8987465 47.9091566, 9.8988143 47.9091346, 9.8988854 47.909112, 9.8990129 47.90906, 9.8990576 47.9090397, 9.8992163 47.9089658, 9.8994615 47.9088767, 9.8996233 47.9088492, 9.8997484 47.9088466, 9.9002838 47.9089002)",
"[907818424, 35468908]",,Parkstraße,residential,20,False,True,66.912,,"LINESTRING (9.8984235 47.9091643, 9.8981923 47.9094306, 9.8979531 47.9096766)",
58911641,L 309,Marktstraße,tertiary,20,False,True,41.669,,"LINESTRING (9.8978947 47.9090427, 9.8984235 47.9091643)",
58911641,L 309,Marktstraße,tertiary,20,False,False,68.902,,"LINESTRING (9.8978947 47.9090427, 9.8976334 47.9089394, 9.8973888 47.9088427, 9.8972697 47.9087976, 9.8970952 47.9087317)",
199510319,,Brunnengasse,residential,30,False,False,47.970000000000006,,"LINESTRING (9.8978947 47.9090427, 9.8979955 47.9088557, 9.8979887 47.9087497, 9.8979763 47.9086235)",
"[35468921, 251305446]",,"['Bürgerstraße', 'Am Viehmarkt']",residential,30,False,"[False, True]",109.79,,"LINESTRING (9.8963566 47.9077497, 9.8967158 47.9077203, 9.8969135 47.9077291, 9.8971088 47.9077628, 9.8972246 47.9078258, 9.8972982 47.9079031, 9.8973219 47.908001, 9.8973718 47.9080981, 9.8974272 47.9081726)",
891282707,,Schloßstraße,residential,20,False,False,20.156,,"LINESTRING (9.8963566 47.9077497, 9.8963391 47.9077107, 9.8962788 47.9075761)",
"[891282707, 29461131]",,Schloßstraße,residential,20,False,True,90.971,,"LINESTRING (9.8963566 47.9077497, 9.8965039 47.9080779, 9.8965394 47.9081569, 9.8965707 47.9082789, 9.8965555 47.9084008, 9.896471 47.9085362)",
38154703,,Schmale Gasse,residential,30,True,False,62.146,,"LINESTRING (9.8962788 47.9075761, 9.8956862 47.9074927, 9.8954798 47.9074274)",
"[251305333, 374698093]",,Mühltorstraße,residential,"['20', '50']",False,False,33.389,,"LINESTRING (9.8962788 47.9075761, 9.8962947 47.9074611, 9.8963201 47.9072771)",
891282707,,Schloßstraße,residential,20,False,True,20.156,,"LINESTRING (9.8962788 47.9075761, 9.8963391 47.9077107, 9.8963566 47.9077497)",
1221524492,,Leutkircher Straße,residential,50,False,False,27.138,,"LINESTRING (9.8964318 47.9061334, 9.8962433 47.9059246)",
"[893615517, 29461134]",,Mühltorstraße,residential,50,False,True,127.87700000000001,,"LINESTRING (9.8964318 47.9061334, 9.8964592 47.9062127, 9.8963605 47.9070518, 9.8963201 47.9072771)",
"[32954144, 58911690, 58911613, 32954143]",,Achbergstraße,residential,"['50', '30']",False,True,113.425,yes,"LINESTRING (9.8964318 47.9061334, 9.8966827 47.9060346, 9.896934 47.9059417, 9.8970427 47.9059033, 9.8971127 47.9058722, 9.8972843 47.9058014, 9.8977442 47.9056177)",
940733056,,Leutkircher Straße,residential,50,False,False,26.879,,"LINESTRING (9.8962433 47.9059246, 9.8960515 47.9057199)",
1221524492,,Leutkircher Straße,residential,50,False,True,27.138,,"LINESTRING (9.8962433 47.9059246, 9.8964318 47.9061334)",
29461127,,Alte Straße,residential,30,False,False,28.161,,"LINESTRING (9.8962433 47.9059246, 9.8960294 47.9060171, 9.8959096 47.9060365)",
940733056,,Leutkircher Straße,residential,50,False,False,36.101,,"LINESTRING (9.8960515 47.9057199, 9.8957719 47.9054548)",
940733056,,Leutkircher Straße,residential,50,False,True,26.879,,"LINESTRING (9.8960515 47.9057199, 9.8962433 47.9059246)",
199494407,,Leutkircher Straße,residential,30,False,False,77.524,,"LINESTRING (9.8960515 47.9057199, 9.8963421 47.9055723, 9.8963527 47.9055341, 9.895989 47.9051996)",
32762025,,Gartenstraße,residential,30,True,False,86.31299999999999,,"LINESTRING (9.8938621 47.9091896, 9.8938991 47.9091281, 9.8939704 47.9090096, 9.8940134 47.9089382, 9.8942884 47.9084679)",
