osmid,lanes,name,highway,access,oneway,reversed,length,geometry,bridge,tunnel,maxspeed,ref
415882568,2,Klenkertor,residential,yes,False,False,50.522000000000006,"LINESTRING (7.6704515 49.7076744, 7.6703961 49.7077453, 7.6703168 49.7078589, 7.6702307 49.7079686, 7.670142 49.7080822)",,,,
415882569,2,Obergasse,residential,,True,False,43.984,"LINESTRING (7.6704515 49.7076744, 7.6704363 49.7076317, 7.6704406 49.7075744, 7.6704403 49.7074952, 7.6704395 49.7074494, 7.670446 49.707381, 7.6704661 49.707281)",,,,
26373674,2,Saarstraße,residential,,False,False,133.195,"LINESTRING (7.6681214 49.7096244, 7.6682737 49.7095411, 7.6684981 49.7093949, 7.6694548 49.7087934)",,,,
26373674,2,Saarstraße,residential,,False,True,23.499,"LINESTRING (7.6681214 49.7096244, 7.6680224 49.7096012, 7.6679207 49.7095944, 7.667802 49.7096018)",,,,
26769095,2,Raumbacher Straße,residential,,False,True,100.75,"LINESTRING (7.6681214 49.7096244, 7.6681477 49.7096829, 7.6681477 49.7097432, 7.6681368 49.7098101, 7.6681081 49.7098892, 7.6680389 49.7100177, 7.6677668 49.710486)",,,,
26373674,2,Saarstraße,residential,,False,False,105.17699999999999,"LINESTRING (7.6663633 49.7097201, 7.6664815 49.7097364, 7.6666006 49.7097432, 7.6667277 49.7097389, 7.667802 49.7096018)",,,,
"[26957978, 26771396, 993735581]",2,Lindenallee,residential,,False,False,168.603,"LINESTRING (7.6663633 49.7097201, 7.6664334 49.7096107, 7.6664933 49.7095431, 7.6665801 49.70948, 7.6672801 49.7090072, 7.6673424 49.7089599, 7.6673781 49.7089077, 7.6673928 49.7088589, 7.6673843 49.7088081, 7.667343 49.7087603, 7.6670997 49.7086125, 7.6670531 49.7085758, 7.6670296 49.7085358)",yes,,,
39213495,,Heimbacher Weg,residential,,False,True,19.606,"LINESTRING (7.6663633 49.7097201, 7.6663287 49.7097604, 7.6662433 49.709841, 7.6662115 49.7098662)",,,,
"[217427353, 208063051, 722446509, 26373790]",,Untertor,residential,,True,False,42.818999999999996,"LINESTRING (7.6721057 49.7079532, 7.6721748 49.7079789, 7.672282 49.708036, 7.6723817 49.7080862, 7.6724378 49.7081295, 7.6724876 49.7081849, 7.6725249 49.7082186)",yes,building_passage,,
"[207517224, 36827019]",2,"['Klenkertor', 'Rapportierplatz']",residential,,True,False,128.542,"LINESTRING (7.6721057 49.7079532, 7.6720256 49.7079806, 7.6719158 49.7080011, 7.6718095 49.7080128, 7.6717171 49.7080181, 7.6716182 49.7080087, 7.6714859 49.7079848, 7.6713361 49.7079549, 7.6712531 49.7079367, 7.6710227 49.707873, 7.670889 49.7078358, 7.6707548 49.7077876, 7.6706309 49.7077352, 7.6705412 49.7077022, 7.6704515 49.7076744)",,,,
