osmid,name,highway,maxspeed,access,oneway,reversed,length,geometry
219198282,Христо Ботев,residential,40,yes,False,True,125.312,"LINESTRING (24.1384288 42.2058019, 24.1371491 42.2064114)"
30514645,Съединение,residential,,,False,True,89.179,"LINESTRING (24.1381527 42.2085448, 24.137251 42.2089888)"
197927525,бул. България,residential,,,False,False,84.509,"LINESTRING (24.1303133 42.2102644, 24.130851 42.2096171)"
197927525,бул. България,residential,,,False,True,89.148,"LINESTRING (24.1303133 42.2102644, 24.1297612 42.210954)"
233136560,Александър Стамболийски,residential,,,False,False,130.673,"LINESTRING (24.1303133 42.2102644, 24.1316564 42.21089)"
233136560,Александър Стамболийски,residential,,,False,True,155.45,"LINESTRING (24.1303133 42.2102644, 24.1287024 42.2095359)"
197954923,,residential,,,False,False,122.583,"LINESTRING (24.133402 42.2088312, 24.1346646 42.2094149)"
197954923,,residential,,,False,True,132.29,"LINESTRING (24.133402 42.2088312, 24.1320901 42.2081448)"
219198282,Христо Ботев,residential,40,yes,False,True,143.52,"LINESTRING (24.133402 42.2088312, 24.1324904 42.2099312)"
219198282,Христо Ботев,residential,40,yes,False,False,80.336,"LINESTRING (24.133402 42.2088312, 24.1337831 42.2083519, 24.1339066 42.2082131)"
197927517,,residential,,,False,True,67.03999999999999,"LINESTRING (24.1318712 42.2050118, 24.132446 42.204952, 24.1326772 42.2049279)"
197927527,Княз Борис,residential,,,False,True,297.33299999999997,"LINESTRING (24.1318712 42.2050118, 24.1319182 42.2054267, 24.1319161 42.2055229, 24.1318905 42.2055891, 24.13175 42.2057878, 24.1304961 42.2074088)"
197927527,Княз Борис,residential,,,False,False,87.268,"LINESTRING (24.1287024 42.2095359, 24.1292544 42.208866)"
197927527,Княз Борис,residential,,,False,True,117.261,"LINESTRING (24.1287024 42.2095359, 24.1280908 42.2104882)"
233136560,Александър Стамболийски,residential,,,False,False,155.45,"LINESTRING (24.1287024 42.2095359, 24.1303133 42.2102644)"
197927517,,residential,,,False,False,57.921,"LINESTRING (24.1347758 42.2046125, 24.1341118 42.204784)"
197927522,Средна Гора,residential,,,False,False,68.609,"LINESTRING (24.1347758 42.2046125, 24.1350501 42.2051951)"
"[365746560, 276429246]",,residential,,,False,False,445.0060000000001,"LINESTRING (24.1347758 42.2046125, 24.1371098 42.2040107, 24.1371965 42.203985, 24.1372384 42.2039797, 24.1372789 42.2039822, 24.1372954 42.2040101, 24.13729 42.2040458, 24.1372529 42.2040784, 24.1371643 42.2041102, 24.1358527 42.204448, 24.1352332 42.2046228, 24.1347758 42.2046125)"
"[365746560, 276429246]",,residential,,,False,True,445.0060000000001,"LINESTRING (24.1347758 42.2046125, 24.1352332 42.2046228, 24.1358527 42.204448, 24.1371643 42.2041102, 24.1372529 42.2040784, 24.13729 42.2040458, 24.1372954 42.2040101, 24.1372789 42.2039822, 24.1372384 42.2039797, 24.1371965 42.203985, 24.1371098 42.2040107, 24.1347758 42.2046125)"
30514645,Съединение,residential,,,False,False,89.179,"LINESTRING (24.137251 42.2089888, 24.1381527 42.2085448)"
197927522,Средна Гора,residential,,,False,True,92.49,"LINESTRING (24.137251 42.2089888, 24.1369199 42.208194)"
30514645,Съединение,residential,,,False,True,148.784,"LINESTRING (24.137251 42.2089888, 24.1365118 42.2093486, 24.1363017 42.2094718, 24.1361327 42.209596, 24.1358586 42.2098277)"
197927525,бул. България,residential,,,False,True,192.917,"LINESTRING (24.1320901 42.2081448, 24.130851 42.2096171)"
197954923,,residential,,,False,False,132.29,"LINESTRING (24.1320901 42.2081448, 24.133402 42.2088312)"
197954923,,residential,,,False,True,154.712,"LINESTRING (24.1320901 42.2081448, 24.1320228 42.2081111, 24.1304961 42.2074088)"
376368749,,residential,20,,False,True,262.303,"LINESTRING (24.1320901 42.2081448, 24.1327422 42.2073435, 24.1328484 42.2072536, 24.132928 42.2072452, 24.1330153 42.207248, 24.1331443 42.2073081, 24.1339066 42.2082131)"
219198282,Христо Ботев,residential,40,yes,False,False,126.825,"LINESTRING (24.1316564 42.21089, 24.1324904 42.2099312)"
233136560,Александър Стамболийски,residential,,,False,False,114.609,"LINESTRING (24.1316564 42.21089, 24.1328061 42.2114707)"
