osmid,oneway,lanes,highway,junction,reversed,length,geometry,name,maxspeed,ref
1151093627,True,1,secondary,roundabout,False,18.159,"LINESTRING (28.1627241 43.4258309, 28.1627105 43.4258892, 28.1626824 43.4259418, 28.1626435 43.4259803)",,,
175631808,False,2,secondary,,True,151.879,"LINESTRING (28.1625603 43.4256428, 28.1625354 43.4252102, 28.1625369 43.4250874, 28.1625372 43.4247193, 28.1625742 43.4244886, 28.1626718 43.4242912)",Христо Ботев,50,
1151093629,True,1,secondary,roundabout,False,7.089,"LINESTRING (28.1625603 43.4256428, 28.1626022 43.425654, 28.1626354 43.425674)",,,
135565838,True,,tertiary,,False,28.692,"LINESTRING (28.1621412 43.4271365, 28.1618005 43.4270633)",,50,
153052178,False,,tertiary,,False,85.829,"LINESTRING (28.1621412 43.4271365, 28.1625026 43.4273106, 28.1626499 43.4273678, 28.1630448 43.4275421)",Струма,50,
135183618,False,,residential,,True,287.065,"LINESTRING (28.1641681 43.4303906, 28.1636578 43.4278357)",Волга,50,
139100199,False,,residential,,False,110.496,"LINESTRING (28.1641681 43.4303906, 28.1628183 43.4302275)",Средна гора,50,
135183740,False,,residential,,True,118.861,"LINESTRING (28.1655246 43.4298938, 28.1647112 43.4290029)",Струма,50,
135253089,False,,residential,,True,225.232,"LINESTRING (28.1555573 43.4258326, 28.1566822 43.4276861)",Средна гора,50,
139100193,False,,residential,,False,358.949,"LINESTRING (28.1555573 43.4258326, 28.1553933 43.4226067)",Средна гора,50,
160573138,False,2,secondary,,True,156.852,"LINESTRING (28.1555573 43.4258326, 28.1574988 43.4257929)",Варненска,50,
135253089,False,,residential,,False,225.568,"LINESTRING (28.1578608 43.4296283, 28.1578119 43.4295477, 28.1567343 43.427772)",Средна гора,50,
139100199,False,,residential,,True,110.432,"LINESTRING (28.1578608 43.4296283, 28.158002 43.4296454, 28.1592098 43.4297913)",Средна гора,50,
1034270467,False,2,secondary,,True,140.558,"LINESTRING (28.1578608 43.4296283, 28.1582067 43.4293884, 28.158744 43.4290158, 28.1590611 43.4287958, 28.1591196 43.4287553)",Дунав,50,27
135183740,False,,residential,,False,118.861,"LINESTRING (28.1647112 43.4290029, 28.1655246 43.4298938)",Струма,50,
135183740,False,,residential,,True,155.18,"LINESTRING (28.1647112 43.4290029, 28.1636578 43.4278357)",Струма,50,
139100199,False,,residential,,True,110.496,"LINESTRING (28.1628183 43.4302275, 28.1641681 43.4303906)",Средна гора,50,
139100199,False,,residential,,False,136.546,"LINESTRING (28.1628183 43.4302275, 28.1620097 43.4301298, 28.1611503 43.4300259)",Средна гора,50,
153052178,False,,tertiary,,False,59.299,"LINESTRING (28.1630448 43.4275421, 28.1636578 43.4278357)",Струма,50,
