osmid,ref,highway,oneway,reversed,length,junction,geometry,name,maxspeed
165731787,102,tertiary,False,True,38.369,,"LINESTRING (22.6872718 43.6256365, 22.6869466 43.6253842)",,
657894747,102,tertiary,True,False,21.433999999999997,roundabout,"LINESTRING (22.6872718 43.6256365, 22.6873345 43.6256277, 22.6873989 43.6256329, 22.6874635 43.6256572, 22.6875062 43.6256925)",,
235504459,,residential,False,False,526.6020000000001,,"LINESTRING (22.6874889 43.6299649, 22.6880432 43.6298105, 22.6885585 43.6296857, 22.6887799 43.6296123, 22.6888745 43.6295438, 22.6888677 43.6294533, 22.6891702 43.6293298, 22.6895335 43.629161, 22.6896348 43.6290766, 22.6896402 43.628969, 22.6891483 43.6286611, 22.688743 43.6286417, 22.6883523 43.6285978, 22.6880059 43.6285217, 22.6873961 43.6283393, 22.6873049 43.6282403, 22.6872985 43.6281078, 22.6873219 43.6279429, 22.687356 43.6277642, 22.6874256 43.6273903)",,
583464865,102,tertiary,False,False,135.461,,"LINESTRING (22.6874889 43.6299649, 22.6873389 43.6299639, 22.6861238 43.6304221, 22.6859671 43.6304545)",Лозан Стрелков,
230426972,,residential,False,False,27.952,,"LINESTRING (22.6816952 43.6253716, 22.6815387 43.6251472)",Цоло Тодоров,50
230426980,,residential,False,True,24.738,,"LINESTRING (22.6816952 43.6253716, 22.6819073 43.6255326)",Княз Борис I,
297961685,,residential,False,False,40.298,,"LINESTRING (22.6816952 43.6253716, 22.6815695 43.6253228, 22.6814622 43.6252937, 22.6812194 43.625281)",Христо Каменов,
297961685,,residential,False,True,44.423,,"LINESTRING (22.6805487 43.6254676, 22.6810609 43.6253188)",Христо Каменов,
230426980,,residential,False,False,151.289,,"LINESTRING (22.6847383 43.6259462, 22.6828623 43.6260305)",Княз Борис I,
297961697,,residential,True,False,130.295,,"LINESTRING (22.6847383 43.6259462, 22.6834603 43.6266654)",Цар Асен I,
230426980,,residential,False,True,91.572,,"LINESTRING (22.6847383 43.6259462, 22.6856946 43.6256002, 22.6857544 43.6255759)",Княз Борис I,
230426972,,residential,False,True,12.491,,"LINESTRING (22.6813313 43.6247588, 22.6813677 43.624868)",Цоло Тодоров,50
"[230426972, 230426975]",,residential,False,False,86.493,,"LINESTRING (22.6813313 43.6247588, 22.6812712 43.6246536, 22.6805902 43.6243874, 22.6804498 43.6243665)",Цоло Тодоров,50
297961687,,residential,False,False,224.942,,"LINESTRING (22.6813313 43.6247588, 22.6823553 43.6248064, 22.6824586 43.6247257, 22.6824626 43.6246694, 22.681151 43.6240871)",,
230426980,,residential,False,False,80.106,,"LINESTRING (22.686609 43.6252067, 22.6857544 43.6255759)",Княз Борис I,
165731787,102,tertiary,False,False,33.769,,"LINESTRING (22.686609 43.6252067, 22.6866965 43.6252705, 22.6869466 43.6253842)",,
