osmid,lanes,name,highway,oneway,reversed,length,geometry,width,tunnel,maxspeed,bridge
685849975,2,Христо Ботев,secondary,False,True,68.396,"LINESTRING (25.6224029 42.4209379, 25.6232148 42.4210762)",,,,
685849975,2,Христо Ботев,secondary,False,False,132.611,"LINESTRING (25.6224029 42.4209379, 25.6212526 42.420742, 25.6208287 42.4206699)",,,,
799346682,,Св. Отец Паисий,secondary,False,True,49.424,"LINESTRING (25.6224029 42.4209379, 25.6223169 42.4212155, 25.6222687 42.4213712)",,,,
53128132,,Майор Т. Кавалджиев,residential,False,True,69.266,"LINESTRING (25.6208287 42.4206699, 25.6206374 42.4212766)",,,,
685849975,2,Христо Ботев,secondary,False,False,65.256,"LINESTRING (25.6208287 42.4206699, 25.6200541 42.4205379)",,,,
685849975,2,Христо Ботев,secondary,False,True,132.611,"LINESTRING (25.6208287 42.4206699, 25.6212526 42.420742, 25.6224029 42.4209379)",,,,
799346679,,Св. Отец Паисий,secondary,False,False,10.202,"LINESTRING (25.6216233 42.4234618, 25.6216524 42.4233726)",,,,
799346680,,бул. Цар Симеон Велики,secondary,True,False,133.905,"LINESTRING (25.6216233 42.4234618, 25.6200361 42.4231835)",,,,
89717718,,Св. Отец Паисий,secondary,False,True,133.231,"LINESTRING (25.6216233 42.4234618, 25.6216171 42.4234809, 25.621244 42.4246268)",,,,
89710537,2,Генерал Гурко,secondary,False,False,67.466,"LINESTRING (25.6252479 42.4226884, 25.6260486 42.4228254)",,,,
89710537,2,Генерал Гурко,secondary,False,True,69.157,"LINESTRING (25.6252479 42.4226884, 25.6244258 42.4225523)",,,,
685849974,1,Хаджи Димитър Асенов,tertiary,True,False,140.187,"LINESTRING (25.6252479 42.4226884, 25.6248648 42.423917)",,,,
89710537,2,Генерал Гурко,secondary,False,True,68.114,"LINESTRING (25.6285192 42.4232481, 25.6277108 42.4231098)",,,,
89712475,,Руски,secondary,False,False,137.447,"LINESTRING (25.6285192 42.4232481, 25.6289181 42.4220476)",,,,
89712477,2,Генерал Гурко,secondary,False,False,68.494,"LINESTRING (25.6285192 42.4232481, 25.6293321 42.4233872)",,,,
30065455,2,Христо Ботев,secondary,False,True,69.652,"LINESTRING (25.6289181 42.4220476, 25.629745 42.4221882)",,,,
89712475,,Руски,secondary,False,False,71.775,"LINESTRING (25.6289181 42.4220476, 25.6291264 42.4214207)",,,,
89712475,,Руски,secondary,False,True,137.447,"LINESTRING (25.6289181 42.4220476, 25.6285192 42.4232481)",,,,
1238323035,2,Христо Ботев,secondary,False,False,72.359,"LINESTRING (25.6289181 42.4220476, 25.6280592 42.4219011)",,,,
89712475,,Руски,secondary,False,True,61.011,"LINESTRING (25.6293034 42.4208878, 25.6291264 42.4214207)",,,,
157681009,1,Братя Жекови,residential,True,False,66.996,"LINESTRING (25.6293034 42.4208878, 25.6300991 42.4210219)",,,,
35838963,2,Хаджи Димитър Асенов,tertiary,False,False,132.244,"LINESTRING (25.625984 42.4203272, 25.6256227 42.4214862)",,,,
157681009,1,Братя Жекови,residential,True,False,64.166,"LINESTRING (25.625984 42.4203272, 25.626746 42.4204559)",,,,
35838974,,Сава Силов,residential,False,True,131.717,"LINESTRING (25.6244258 42.4225523, 25.6240768 42.4237085)",,,,
89710537,2,Генерал Гурко,secondary,False,False,69.157,"LINESTRING (25.6244258 42.4225523, 25.6252479 42.4226884)",,,,
89710537,2,Генерал Гурко,secondary,False,True,65.373,"LINESTRING (25.6244258 42.4225523, 25.6236515 42.4224147)",,,,
35838974,,Сава Силов,residential,False,False,131.717,"LINESTRING (25.6240768 42.4237085, 25.6244258 42.4225523)",,,,
35838963,2,Хаджи Димитър Асенов,tertiary,False,True,132.244,"LINESTRING (25.6256227 42.4214862, 25.625984 42.4203272)",,,,
685849975,2,Христо Ботев,secondary,False,False,73.439,"LINESTRING (25.6256227 42.4214862, 25.6247509 42.4213378)",,,,
894553680,1,Хаджи Димитър Асенов,tertiary,True,False,137.173,"LINESTRING (25.6256227 42.4214862, 25.6252479 42.4226884)",,,,
1238323035,2,Христо Ботев,secondary,False,True,65.768,"LINESTRING (25.6256227 42.4214862, 25.6264034 42.4216192)",,,,
803006730,,Св. Княз Борис,residential,True,False,66.218,"LINESTRING (25.622887 42.4249122, 25.6236723 42.4250486)",,,,
854314103,,Цар Иван Асен II,residential,True,False,144.132,"LINESTRING (25.622887 42.4249122, 25.622495 42.4261757)",,,,
685849974,1,Хаджи Димитър Асенов,tertiary,True,False,143.381,"LINESTRING (25.6244688 42.4251869, 25.624077 42.4264435)",,,,
803006730,,Св. Княз Борис,residential,True,False,65.771,"LINESTRING (25.6244688 42.4251869, 25.6252488 42.4253224)",,,,
89709074,,Ген. Столетов,secondary,False,False,65.136,"LINESTRING (25.6236761 42.4277294, 25.622903 42.4275971)",,,,
685849974,1,Хаджи Димитър Асенов,tertiary,True,False,61.33,"LINESTRING (25.6236761 42.4277294, 25.6235085 42.4282669)",,,,
89709074,,Ген. Столетов,secondary,False,True,131.031,"LINESTRING (25.6236761 42.4277294, 25.6251945 42.4279883, 25.6252316 42.4279946)",,,,
89717718,,Св. Отец Паисий,secondary,False,False,144.925,"LINESTRING (25.6208677 42.4259002, 25.621244 42.4246268)",,,,
1204870945,,Цар Калоян,residential,True,False,70.922,"LINESTRING (25.6208677 42.4259002, 25.6200255 42.4257576)",,,,
89717718,,Св. Отец Паисий,secondary,False,True,146.46,"LINESTRING (25.6208677 42.4259002, 25.6206524 42.4266135, 25.6204795 42.4271858)",,,,
995936107,2,Руски,secondary,False,True,86.495,"LINESTRING (25.6277641 42.4257418, 25.6275298 42.4265002)",,,,
67525051,,Св. Княз Борис,residential,False,False,69.459,"LINESTRING (25.6277641 42.4257418, 25.6280539 42.4257902, 25.6285895 42.4258796)",,,,
670521353,1,Руски,secondary,True,False,212.12,"LINESTRING (25.6277641 42.4257418, 25.6279465 42.4251308, 25.6281156 42.4245713, 25.6281248 42.4245383, 25.6283319 42.4238808)",,,,
89710537,2,Генерал Гурко,secondary,False,False,69.437,"LINESTRING (25.6268867 42.4229688, 25.6277108 42.4231098)",,,,
89710537,2,Генерал Гурко,secondary,False,True,70.617,"LINESTRING (25.6268867 42.4229688, 25.6260486 42.4228254)",,,,
67913155,,Митрополит Методи Кусев,residential,False,False,137.314,"LINESTRING (25.6268867 42.4229688, 25.6272588 42.4218361, 25.627281 42.4217687)",9,,,
89709074,,Ген. Столетов,secondary,False,False,68.843,"LINESTRING (25.6269627 42.4282823, 25.6261433 42.42815)",,,,
165023237,2,Ген. Столетов,secondary,False,True,69.489,"LINESTRING (25.6269627 42.4282823, 25.6277873 42.428424)",,,,
