osmid,lanes,ref,highway,oneway,reversed,length,name,geometry,junction,bridge
1036083672,2,552;609,tertiary,False,True,24.365,,"LINESTRING (25.495885 42.8715046, 25.4961813 42.8714753)",,
174788834,,,residential,False,True,71.327,Васил Левски,"LINESTRING (25.495885 42.8715046, 25.4956845 42.8715612, 25.4956639 42.871567, 25.4955451 42.8716006, 25.4952569 42.8717111, 25.4951442 42.8718193)",,
174788836,,552;609,tertiary,False,False,73.202,Стара планина,"LINESTRING (25.495885 42.8715046, 25.4958428 42.8714357, 25.4955172 42.870904)",,
1036083670,,552;609,tertiary,True,False,6.138,,"LINESTRING (25.4971414 42.8714656, 25.4971163 42.8714655, 25.4970926 42.8714594, 25.4970728 42.8714481)",roundabout,
177637478,,,residential,False,False,25.512,Теменуга,"LINESTRING (25.4962643 42.8694069, 25.4965147 42.8692692)",,
133261053,,,residential,False,False,85.957,Ангел Кънчев,"LINESTRING (25.4962643 42.8694069, 25.4958652 42.8691216, 25.4955077 42.8688683)",,
133261053,,,residential,False,True,159.25300000000001,Ангел Кънчев,"LINESTRING (25.4962643 42.8694069, 25.4964152 42.8697478, 25.4965451 42.8699354, 25.4967409 42.8702036, 25.4970349 42.8706063, 25.4971009 42.8706967)",,
133261053,,,residential,False,False,113.88799999999999,Ангел Кънчев,"LINESTRING (25.4955077 42.8688683, 25.4944926 42.8686787, 25.4942237 42.8685146)",,
133261053,,,residential,False,True,85.957,Ангел Кънчев,"LINESTRING (25.4955077 42.8688683, 25.4958652 42.8691216, 25.4962643 42.8694069)",,
177637463,,,residential,False,True,80.818,,"LINESTRING (25.4955077 42.8688683, 25.4955844 42.8685988, 25.4957102 42.8681568)",,
133261053,,,residential,False,False,34.571,Ангел Кънчев,"LINESTRING (25.4942237 42.8685146, 25.4939182 42.8682989)",,
177637465,,,residential,False,True,26.655,,"LINESTRING (25.4942237 42.8685146, 25.4941679 42.8687508)",,
133261053,,,residential,False,True,113.88799999999999,Ангел Кънчев,"LINESTRING (25.4942237 42.8685146, 25.4944926 42.8686787, 25.4955077 42.8688683)",,
174788831,,,residential,False,False,81.646,Чучура,"LINESTRING (25.4896917 42.8660195, 25.4892559 42.8656989, 25.4891023 42.8655409, 25.4890138 42.8654819)",,
174788833,,,residential,False,False,123.74100000000001,Цар Калоян,"LINESTRING (25.4896917 42.8660195, 25.4900597 42.8657503, 25.490723 42.8652034)",,
176162072,,,residential,False,True,172.28199999999998,Проф. Пенчо Райков,"LINESTRING (25.4896917 42.8660195, 25.4897733 42.8661632, 25.4898493 42.8662972, 25.4899658 42.8664093, 25.4900712 42.8665106, 25.4908881 42.8672868)",,
133261053,,,residential,False,False,23.922,Ангел Кънчев,"LINESTRING (25.4934931 42.8681593, 25.493302 42.867996)",,
133261053,,,residential,False,True,37.963,Ангел Кънчев,"LINESTRING (25.4934931 42.8681593, 25.4939182 42.8682989)",,
150212282,,,residential,False,False,62.316,Уста Генчо,"LINESTRING (25.4934931 42.8681593, 25.4934786 42.8684324, 25.4934633 42.8687193)",,
