osmid,highway,oneway,reversed,length,bridge,geometry,lanes,name,access,maxspeed,ref
"[25301698, 1035047746, 1172221847]",residential,False,True,106.44900000000001,yes,"LINESTRING (27.6344065 42.4397018, 27.6347137 42.4398797, 27.6350801 42.4400991, 27.6354215 42.4402979)",,,,,
27057408,trunk_link,False,False,24.463,,"LINESTRING (27.6349118 42.4406502, 27.6352089 42.4406683)",,,,,
27057405,trunk_link,True,False,76.95100000000001,,"LINESTRING (27.6349118 42.4406502, 27.6346451 42.4406362, 27.6345261 42.4406359, 27.6344559 42.4406451, 27.6343937 42.4406561, 27.6343227 42.4406856, 27.6342669 42.4407249, 27.634094 42.4408657)",1,,,,
27057408,trunk_link,False,True,24.463,,"LINESTRING (27.6352089 42.4406683, 27.6349118 42.4406502)",,,,,
1035047745,trunk_link,False,False,77.006,,"LINESTRING (27.6352089 42.4406683, 27.6361425 42.4407384)",,,,,
98113954,trunk_link,False,False,51.583,,"LINESTRING (27.6352089 42.4406683, 27.6352994 42.4406347, 27.6353378 42.4406187, 27.635362 42.4406041, 27.6353959 42.440579, 27.6354163 42.4405571, 27.6354335 42.4405327, 27.6354447 42.4405083, 27.6354514 42.4404853, 27.6354604 42.4404557, 27.635465 42.4404276, 27.6354657 42.4403995, 27.6354621 42.4403692, 27.6354498 42.4403403, 27.6354215 42.4402979)",2,,,,
98113963,residential,False,True,102.377,,"LINESTRING (27.6361425 42.4407384, 27.637196 42.4402452)",,Никола Вапцаров,yes,,
100354080,residential,False,False,76.809,,"LINESTRING (27.6361425 42.4407384, 27.6354215 42.4402979)",,,,,
1035047745,trunk_link,False,True,77.006,,"LINESTRING (27.6361425 42.4407384, 27.6352089 42.4406683)",,,,,
1035047751,residential,False,False,33.648,,"LINESTRING (27.6361425 42.4407384, 27.6359009 42.4409829)",,Никола Вапцаров,yes,,
1035047752,residential,False,True,38.84,,"LINESTRING (27.6361425 42.4407384, 27.636512 42.4409567)",1,Свети Никола,,,
101381576,residential,False,True,28.127,,"LINESTRING (27.6380822 42.4418842, 27.6382169 42.4421168)",1,Свети Никола,,,
1035037539,residential,False,True,32.097,,"LINESTRING (27.6380822 42.4418842, 27.6379329 42.4416174)",,Дружба,yes,,
704255600,residential,False,False,36.951,,"LINESTRING (27.6380822 42.4418842, 27.6378659 42.4417564, 27.6377309 42.4416763)",1,Свети Никола,,,
98113994,residential,False,False,94.57800000000002,,"LINESTRING (27.6370553 42.4470576, 27.6371194 42.4471282, 27.637217 42.4472028, 27.6375726 42.4474122, 27.6377868 42.4475578, 27.6378459 42.4475877, 27.6379186 42.4476108)",,Морска,,,
