osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref
41078426,2,residential,50,False,True,162.101,"LINESTRING (25.8692009 43.5914223, 25.867397 43.592069)",
221216905,2,residential,50,False,True,117.758,"LINESTRING (25.8692009 43.5914223, 25.869802 43.5922814, 25.8698503 43.5923707)",
221216906,2,residential,50,False,False,148.372,"LINESTRING (25.8638046 43.5914344, 25.864856 43.5903387)",
221216906,2,residential,50,False,True,113.074,"LINESTRING (25.8638046 43.5914344, 25.8639655 43.5924446)",
221221657,2,residential,50,False,False,73.046,"LINESTRING (25.8638046 43.5914344, 25.8647112 43.591415)",
221216894,2,residential,50,False,False,23.15,"LINESTRING (25.8726881 43.5920444, 25.8729187 43.5921687)",
221216903,2,residential,50,False,True,163.628,"LINESTRING (25.8726881 43.5920444, 25.8744485 43.5913097)",
221216903,2,residential,50,False,False,33.812,"LINESTRING (25.8726881 43.5920444, 25.872511 43.5921065, 25.8722911 43.5921337)",
24026215,2,residential,50,False,False,9.229,"LINESTRING (25.8747523 43.5918613, 25.8748608 43.5918346)",
175753430,,tertiary,,True,False,66.508,"LINESTRING (25.8747523 43.5918613, 25.8747355 43.5917865, 25.8746849 43.5916493, 25.8744485 43.5913097)",501
221216902,2,residential,50,False,True,60.5,"LINESTRING (25.870612 43.5939714, 25.8713577 43.5939054)",
221216891,2,residential,50,False,False,97.262,"LINESTRING (25.870612 43.5939714, 25.8704779 43.5937383, 25.8703706 43.5935946, 25.8699254 43.5932682)",
221216891,2,residential,50,False,True,60.168000000000006,"LINESTRING (25.870612 43.5939714, 25.8705477 43.5941113, 25.8702488 43.5944401)",
41078426,2,residential,50,False,False,69.643,"LINESTRING (25.8709659 43.5909936, 25.8718291 43.5909563)",
41078426,2,residential,50,False,True,52.224,"LINESTRING (25.8709659 43.5909936, 25.8703186 43.5910216)",
221216896,2,residential,50,False,False,184.54399999999998,"LINESTRING (25.8709659 43.5909936, 25.8708856 43.5914305, 25.8708534 43.5915276, 25.8707998 43.591617, 25.870714 43.5917025, 25.8699415 43.5922853, 25.8698503 43.5923707)",
221216896,2,residential,50,False,True,116.495,"LINESTRING (25.8677594 43.593848, 25.8685467 43.5929691)",
221216903,2,residential,50,False,False,16.16,"LINESTRING (25.8677594 43.593848, 25.8675621 43.5938745)",
221216903,2,residential,50,False,True,40.68,"LINESTRING (25.8677594 43.593848, 25.8682561 43.5937814)",
221216899,2,residential,50,False,True,137.666,"LINESTRING (25.8711163 43.5926855, 25.8711753 43.592767, 25.8713577 43.5939054)",
221216903,2,residential,50,False,False,102.209,"LINESTRING (25.8711163 43.5926855, 25.8709715 43.5927593, 25.8700595 43.5931944)",
221216903,2,residential,50,False,True,112.866,"LINESTRING (25.8711163 43.5926855, 25.8720765 43.5922153, 25.8722911 43.5921337)",
175753430,,tertiary,,True,False,23.574,"LINESTRING (25.8744485 43.5913097, 25.8743167 43.5911204)",501
221216903,2,residential,50,False,False,163.628,"LINESTRING (25.8744485 43.5913097, 25.8726881 43.5920444)",
221216895,2,residential,50,False,True,33.624,"LINESTRING (25.8721838 43.5940997, 25.8719907 43.5938316)",
221216900,2,residential,50,False,False,20.341,"LINESTRING (25.8733747 43.5938122, 25.8734611 43.5939841)",
221216902,2,residential,50,False,False,56.031000000000006,"LINESTRING (25.8733747 43.5938122, 25.872967 43.59375, 25.8726881 43.5937578)",
221216902,2,residential,50,False,True,32.896,"LINESTRING (25.8733747 43.5938122, 25.873659 43.5938665, 25.8737561 43.5939104)",
221216898,2,residential,50,False,False,131.227,"LINESTRING (25.8690424 43.5936783, 25.8690813 43.5937786, 25.8692937 43.5939357, 25.8702488 43.5944401)",
221216903,2,residential,50,False,False,64.355,"LINESTRING (25.8690424 43.5936783, 25.8689134 43.5936933, 25.8682561 43.5937814)",
221216903,2,residential,50,False,True,84.488,"LINESTRING (25.8690424 43.5936783, 25.8691583 43.5936296, 25.8699254 43.5932682)",
24026215,2,residential,50,False,True,9.229,"LINESTRING (25.8748608 43.5918346, 25.8747523 43.5918613)",
175753431,,tertiary,,True,False,118.984,"LINESTRING (25.8748608 43.5918346, 25.8750212 43.5925194, 25.8750992 43.5928164, 25.8750929 43.5928894)",501
221221657,2,residential,50,False,True,73.046,"LINESTRING (25.8647112 43.591415, 25.8638046 43.5914344)",
221216906,2,residential,50,False,False,113.074,"LINESTRING (25.8639655 43.5924446, 25.8638046 43.5914344)",
221216904,2,residential,50,False,True,195.36699999999996,"LINESTRING (25.8639655 43.5924446, 25.8647916 43.5922386, 25.864974 43.5921765, 25.8651189 43.5921571, 25.8653281 43.5921415, 25.8654837 43.5921648, 25.8656929 43.5922309, 25.865827 43.592293, 25.8660094 43.5923824, 25.8661727 43.592496)",
221216895,2,residential,50,False,False,33.624,"LINESTRING (25.8719907 43.5938316, 25.8721838 43.5940997)",
221216902,2,residential,50,False,False,51.633,"LINESTRING (25.8719907 43.5938316, 25.8713577 43.5939054)",
221216902,2,residential,50,False,True,56.76,"LINESTRING (25.8719907 43.5938316, 25.8726881 43.5937578)",
24035124,2,residential,50,False,False,25.131,"LINESTRING (25.8737561 43.5939104, 25.8734611 43.5939841)",
24035124,2,residential,50,False,True,105.911,"LINESTRING (25.8737561 43.5939104, 25.8738012 43.5938992, 25.875039 43.5937018)",
221216892,2,residential,50,False,True,145.821,"LINESTRING (25.8737561 43.5939104, 25.8741955 43.592736, 25.8742384 43.5926466)",
221216902,2,residential,50,False,False,32.896,"LINESTRING (25.8737561 43.5939104, 25.873659 43.5938665, 25.8733747 43.5938122)",
221216903,2,residential,50,False,True,13.564,"LINESTRING (25.8699254 43.5932682, 25.8700595 43.5931944)",
221216891,2,residential,50,False,True,97.262,"LINESTRING (25.8699254 43.5932682, 25.8703706 43.5935946, 25.8704779 43.5937383, 25.870612 43.5939714)",
221216903,2,residential,50,False,False,84.488,"LINESTRING (25.8699254 43.5932682, 25.8691583 43.5936296, 25.8690424 43.5936783)",
221216902,2,residential,50,False,False,60.5,"LINESTRING (25.8713577 43.5939054, 25.870612 43.5939714)",
221216902,2,residential,50,False,True,51.633,"LINESTRING (25.8713577 43.5939054, 25.8719907 43.5938316)",
221216899,2,residential,50,False,False,137.666,"LINESTRING (25.8713577 43.5939054, 25.8711753 43.592767, 25.8711163 43.5926855)",
41078426,2,residential,50,False,False,78.315,"LINESTRING (25.8718291 43.5909563, 25.8727998 43.5909144)",
41078426,2,residential,50,False,True,69.643,"LINESTRING (25.8718291 43.5909563, 25.8709659 43.5909936)",
221216889,2,residential,50,False,True,136.106,"LINESTRING (25.8718291 43.5909563, 25.8722911 43.5921337)",
41078426,2,residential,50,False,False,6.937,"LINESTRING (25.8661727 43.592496, 25.8662553 43.5924783)",
41078426,2,residential,50,False,True,108.06899999999999,"LINESTRING (25.8661727 43.592496, 25.8654134 43.5928879, 25.8651395 43.5931084)",
221216904,2,residential,50,False,False,195.367,"LINESTRING (25.8661727 43.592496, 25.8660094 43.5923824, 25.865827 43.592293, 25.8656929 43.5922309, 25.8654837 43.5921648, 25.8653281 43.5921415, 25.8651189 43.5921571, 25.864974 43.5921765, 25.8647916 43.5922386, 25.8639655 43.5924446)",
221216893,2,residential,50,False,False,177.673,"LINESTRING (25.8726881 43.5937578, 25.8729187 43.5921687)",
221216902,2,residential,50,False,False,56.76,"LINESTRING (25.8726881 43.5937578, 25.8719907 43.5938316)",
221216902,2,residential,50,False,True,56.031000000000006,"LINESTRING (25.8726881 43.5937578, 25.872967 43.59375, 25.8733747 43.5938122)",
41078426,2,residential,50,False,False,55.253,"LINESTRING (25.8662553 43.5924783, 25.8668702 43.5922579)",
41078426,2,residential,50,False,True,6.937,"LINESTRING (25.8662553 43.5924783, 25.8661727 43.592496)",
221216901,2,residential,50,False,False,187.957,"LINESTRING (25.8662553 43.5924783, 25.8665458 43.5928137, 25.8674524 43.5937034, 25.8675621 43.5938745)",
24035124,2,residential,50,False,False,123.448,"LINESTRING (25.872786 43.594406, 25.8718788 43.5953009)",
221216897,2,residential,50,False,True,81.146,"LINESTRING (25.872786 43.594406, 25.8736413 43.5947918)",
24035124,2,residential,50,False,True,71.994,"LINESTRING (25.872786 43.594406, 25.8729059 43.5943065, 25.8734611 43.5939841)",
221216897,2,residential,50,False,False,81.146,"LINESTRING (25.8736413 43.5947918, 25.872786 43.594406)",
221216897,2,residential,50,False,True,95.586,"LINESTRING (25.8736413 43.5947918, 25.8745817 43.5951758, 25.8746753 43.5952139)",
221216900,2,residential,50,False,True,96.312,"LINESTRING (25.8736413 43.5947918, 25.8737561 43.5946721, 25.8734611 43.5939841)",
221216889,2,residential,50,False,False,136.106,"LINESTRING (25.8722911 43.5921337, 25.8718291 43.5909563)",
221216903,2,residential,50,False,False,112.866,"LINESTRING (25.8722911 43.5921337, 25.8720765 43.5922153, 25.8711163 43.5926855)",
221216903,2,residential,50,False,True,33.812,"LINESTRING (25.8722911 43.5921337, 25.872511 43.5921065, 25.8726881 43.5920444)",
221216894,2,residential,50,False,True,118.826,"LINESTRING (25.8742384 43.5926466, 25.8729187 43.5921687)",
221216892,2,residential,50,False,False,145.821,"LINESTRING (25.8742384 43.5926466, 25.8741955 43.592736, 25.8737561 43.5939104)",
221216894,2,residential,50,False,False,74.012,"LINESTRING (25.8742384 43.5926466, 25.8748982 43.5928486, 25.8750929 43.5928894)",
41078426,2,residential,50,False,False,162.101,"LINESTRING (25.867397 43.592069, 25.8692009 43.5914223)",
41078426,2,residential,50,False,True,47.341,"LINESTRING (25.867397 43.592069, 25.8668702 43.5922579)",
221216890,2,residential,50,False,True,140.776,"LINESTRING (25.867397 43.592069, 25.8677367 43.592565, 25.8685467 43.5929691)",
221216898,2,residential,50,False,False,162.457,"LINESTRING (25.8702488 43.5944401, 25.8718788 43.5953009)",
221216891,2,residential,50,False,False,60.168000000000006,"LINESTRING (25.8702488 43.5944401, 25.8705477 43.5941113, 25.870612 43.5939714)",
221216898,2,residential,50,False,True,131.227,"LINESTRING (25.8702488 43.5944401, 25.8692937 43.5939357, 25.8690813 43.5937786, 25.8690424 43.5936783)",
221216903,2,residential,50,False,False,13.564,"LINESTRING (25.8700595 43.5931944, 25.8699254 43.5932682)",
221216903,2,residential,50,False,True,102.209,"LINESTRING (25.8700595 43.5931944, 25.8709715 43.5927593, 25.8711163 43.5926855)",
221216905,2,residential,50,False,False,93.572,"LINESTRING (25.8700595 43.5931944, 25.8699844 43.5930662, 25.8698503 43.5923707)",
221216893,2,residential,50,False,True,177.673,"LINESTRING (25.8729187 43.5921687, 25.8726881 43.5937578)",
221216894,2,residential,50,False,False,118.826,"LINESTRING (25.8729187 43.5921687, 25.8742384 43.5926466)",
221216894,2,residential,50,False,True,23.15,"LINESTRING (25.8729187 43.5921687, 25.8726881 43.5920444)",
221216903,2,residential,50,False,False,40.68,"LINESTRING (25.8682561 43.5937814, 25.8677594 43.593848)",
24035124,2,residential,50,False,True,389.49800000000005,"LINESTRING (25.8682561 43.5937814, 25.8685682 43.594391, 25.8686379 43.5944921, 25.8687506 43.5945775, 25.8703063 43.5954051, 25.8704028 43.5954361, 25.8705799 43.5954594, 25.8714757 43.5955061, 25.8715776 43.5954944, 25.8717761 43.5953662, 25.8718788 43.5953009)",
221216903,2,residential,50,False,True,64.355,"LINESTRING (25.8682561 43.5937814, 25.8689134 43.5936933, 25.8690424 43.5936783)",
221216896,2,residential,50,False,False,129.76,"LINESTRING (25.8698503 43.5923707, 25.8690778 43.5925456, 25.8689813 43.5925805, 25.8688901 43.5926427, 25.868772 43.5927282, 25.8685467 43.5929691)",
221216896,2,residential,50,False,True,184.54399999999998,"LINESTRING (25.8698503 43.5923707, 25.8699415 43.5922853, 25.870714 43.5917025, 25.8707998 43.591617, 25.8708534 43.5915276, 25.8708856 43.5914305, 25.8709659 43.5909936)",
221216905,2,residential,50,False,False,117.758,"LINESTRING (25.8698503 43.5923707, 25.869802 43.5922814, 25.8692009 43.5914223)",
221216905,2,residential,50,False,True,93.572,"LINESTRING (25.8698503 43.5923707, 25.8699844 43.5930662, 25.8700595 43.5931944)",
221217878,,residential,,False,False,95.04399999999998,"LINESTRING (25.8651886 43.5950709, 25.8652476 43.5947019, 25.8652315 43.5945892, 25.8651242 43.5944415, 25.8650223 43.5943638, 25.8649097 43.5943133)",
221217878,,residential,,False,True,125.644,"LINESTRING (25.8651886 43.5950709, 25.8642874 43.5949855, 25.8636383 43.5949466)",
221218230,2,residential,50,False,True,39.435,"LINESTRING (25.8651886 43.5950709, 25.8653442 43.5950904, 25.86565 43.5951836)",
221217878,,residential,,False,False,125.644,"LINESTRING (25.8636383 43.5949466, 25.8642874 43.5949855, 25.8651886 43.5950709)",
221217889,,residential,,False,False,89.354,"LINESTRING (25.8636383 43.5949466, 25.8635739 43.5948689, 25.8635578 43.5947796, 25.8636061 43.5946319, 25.8636598 43.5945348, 25.863928 43.594224)",
221217889,,residential,,False,True,89.354,"LINESTRING (25.863928 43.594224, 25.8636598 43.5945348, 25.8636061 43.5946319, 25.8635578 43.5947796, 25.8635739 43.5948689, 25.8636383 43.5949466)",
221218230,2,residential,50,False,True,74.073,"LINESTRING (25.86565 43.5951836, 25.8665404 43.5953507)",
221218230,2,residential,50,False,False,39.435,"LINESTRING (25.86565 43.5951836, 25.8653442 43.5950904, 25.8651886 43.5950709)",
221217878,,residential,,False,True,95.04400000000001,"LINESTRING (25.8649097 43.5943133, 25.8650223 43.5943638, 25.8651242 43.5944415, 25.8652315 43.5945892, 25.8652476 43.5947019, 25.8651886 43.5950709)",
221216903,2,residential,50,False,True,53.235,"LINESTRING (25.8669121 43.5939616, 25.8675621 43.5938745)",
221216903,2,residential,50,False,False,190.788,"LINESTRING (25.8669121 43.5939616, 25.8664318 43.594026, 25.8662835 43.5940346, 25.8661668 43.5939924, 25.8657822 43.5937348, 25.8655628 43.5935208, 25.8651395 43.5931084)",
221218228,2,residential,50,False,True,123.675,"LINESTRING (25.8669121 43.5939616, 25.8669267 43.5940336, 25.8672271 43.5944959, 25.86727 43.594628, 25.8672432 43.5947368, 25.8672056 43.5948223, 25.8670286 43.594966)",
221218228,2,residential,50,False,False,58.099,"LINESTRING (25.8665404 43.5953507, 25.8670286 43.594966)",
221218230,2,residential,50,False,False,74.073,"LINESTRING (25.8665404 43.5953507, 25.86565 43.5951836)",
221218231,2,residential,50,False,True,18.98,"LINESTRING (25.8671842 43.5950942, 25.8670286 43.594966)",
