osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,width,lanes
181627322,Александър Стамболийски,tertiary,50,False,False,9.841,,"LINESTRING (24.8053767 42.6321417, 24.8053918 42.6322295)",,
"[489194389, 489193645]",,primary,50,True,False,358.301,6,"LINESTRING (24.8053767 42.6321417, 24.8054532 42.6321434, 24.8056462 42.6321406, 24.805734 42.6321393, 24.8067456 42.6321447, 24.8089074 42.6321349, 24.8096721 42.6321309, 24.8097563 42.6321319)",,
38432674,Ген. Владимир Заимов,tertiary,50,False,False,79.674,,"LINESTRING (24.8013045 42.6330808, 24.8013288 42.6337971)",,
38432674,Ген. Владимир Заимов,tertiary,50,False,True,95.186,,"LINESTRING (24.8013045 42.6330808, 24.8012948 42.6322248)",,
181627410,Йордан Йовков,residential,,False,False,174.594,,"LINESTRING (24.8013045 42.6330808, 24.8034385 42.6330584)",,
38432674,Ген. Владимир Заимов,tertiary,50,False,False,10.498,,"LINESTRING (24.8012964 42.6321304, 24.8012948 42.6322248)",,
169633440,,primary,50,True,False,333.804,6,"LINESTRING (24.8012964 42.6321304, 24.8042852 42.6321388, 24.8053767 42.6321417)",,
62163622,В. Караиванов,residential,30,False,True,34.149,,"LINESTRING (24.8024884 42.6384321, 24.8025284 42.6387378)",,
62163633,Христо Ботев,residential,,False,True,163.49,,"LINESTRING (24.8024884 42.6384321, 24.8005222 42.6381682)",,
75266539,В. Караиванов,residential,40,False,False,72.742,,"LINESTRING (24.8024884 42.6384321, 24.8024754 42.6382432, 24.802494 42.6380617, 24.8025633 42.6377833)",30,
38432674,Ген. Владимир Заимов,tertiary,50,False,False,84.142,,"LINESTRING (24.8005222 42.6381682, 24.800349 42.6389141)",,
62163633,Христо Ботев,residential,,False,False,163.49,,"LINESTRING (24.8005222 42.6381682, 24.8024884 42.6384321)",,
38432674,Ген. Владимир Заимов,tertiary,50,False,True,68.44,,"LINESTRING (24.8005222 42.6381682, 24.8006482 42.6376202, 24.8006578 42.6375609)",,
71322447,Васил Левски,residential,,True,False,34.153,,"LINESTRING (24.8055813 42.6387487, 24.8055277 42.6384441)",,2
