osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,junction,width
339035936,False,189,Цар Освободител,tertiary,False,23.309,"LINESTRING (23.1494874 42.7057795, 23.1497653 42.7057322)",,,
339035936,False,189,Цар Освободител,tertiary,True,84.911,"LINESTRING (23.1494874 42.7057795, 23.1489312 42.7058938, 23.1484822 42.7059726)",,,
339035936,False,189,Цар Освободител,tertiary,True,23.309,"LINESTRING (23.1497653 42.7057322, 23.1494874 42.7057795)",,,
287202289,False,189,Цар Освободител,tertiary,False,79.82900000000001,"LINESTRING (23.1497653 42.7057322, 23.1499506 42.70571, 23.1501494 42.7056898, 23.1504396 42.705673, 23.150585 42.7056721, 23.1507357 42.7056868)",,,
287202288,False,189,Цар Освободител,tertiary,True,101.905,"LINESTRING (23.1519454 42.7059069, 23.1517304 42.7058556, 23.151502 42.7058142, 23.1511323 42.7057466, 23.1507357 42.7056868)",,,
267397549,False,,Цар Симеон,tertiary,True,30.753,"LINESTRING (23.1479684 42.7059613, 23.1480234 42.7062349)",,,
387295625,False,,Цар Освободител,tertiary,False,42.002,"LINESTRING (23.1479684 42.7059613, 23.1484822 42.7059726)",,,
267397549,False,,Цар Симеон,tertiary,False,30.753,"LINESTRING (23.1480234 42.7062349, 23.1479684 42.7059613)",,,
339028687,False,189,Цар Освободител,tertiary,True,18.699,"LINESTRING (23.1480234 42.7062349, 23.1481896 42.7061193)",,,
"[1034445577, 82892787]",False,189,Цар Освободител,tertiary,True,78.20599999999999,"LINESTRING (23.1480234 42.7062349, 23.1478837 42.7063618, 23.1474138 42.7067771)",yes,,
262765467,False,802,Александър Стамболийски,tertiary,True,43.807,"LINESTRING (23.1454116 42.7080176, 23.1449896 42.7082606)",,,
339629687,False,,Св. Св Кирил и Методий,residential,True,131.602,"LINESTRING (23.1454116 42.7080176, 23.145103 42.7091792)",,,
263421005,False,802,Александър Стамболийски,tertiary,False,132.773,"LINESTRING (23.1454116 42.7080176, 23.1463105 42.7074464, 23.1466528 42.7072473)",,,
