osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,junction,bridge
"[87883091, 374827951]",True,1,trunk_link,False,174.419,"LINESTRING (-90.5961572 14.5307852, -90.5961507 14.5304472, -90.596158 14.5302841, -90.5961977 14.5300792, -90.5962859 14.529657, -90.5963624 14.5293611, -90.5963811 14.5292394)",,,,,
"[768849728, 1089503244, 768713677]",True,2,primary,False,92.444,"LINESTRING (-90.5961572 14.5307852, -90.596099 14.5307257, -90.5960146 14.5306733, -90.5959064 14.5306418, -90.5957991 14.5306068, -90.5956963 14.5305661, -90.5956293 14.530535, -90.5955814 14.530494, -90.5955563 14.5304639, -90.5955362 14.5304074, -90.5955302 14.5303581, -90.5955381 14.5303148)",RD GUA-16,Carretera a Bárcena,40,,
310718719,True,2,trunk,False,38.134,"LINESTRING (-90.5963811 14.5292394, -90.5965047 14.528918)",CA-9 Sur,Autopista CA-9 Sur,70,,
87883145,True,2,trunk,False,56.209,"LINESTRING (-90.5959974 14.5299643, -90.5958269 14.5304421)",CA-9 Sur,Autopista CA-9 Sur,70,,
45502454,True,1,trunk_link,False,38.315000000000005,"LINESTRING (-90.5959974 14.5299643, -90.5959163 14.5300238, -90.5958454 14.5300687, -90.5957897 14.5300954, -90.5957423 14.5301063, -90.5956839 14.530111)",,,,,
60935125,False,,residential,True,96.458,"LINESTRING (-90.5946583 14.5286271, -90.5953301 14.528053)",,0 Avenida B,,,
782455920,False,,residential,False,45.018,"LINESTRING (-90.5946583 14.5286271, -90.594363 14.5289138)",,0 Avenida B,,,
1267260008,False,2,primary,True,65.956,"LINESTRING (-90.5946583 14.5286271, -90.5943006 14.5281455)",RD-GUA-2,2a Calle,,,
690924244,False,2,primary,False,161.643,"LINESTRING (-90.5946583 14.5286271, -90.5949378 14.5291986, -90.5950357 14.5293738, -90.5951202 14.5295128, -90.59532 14.5297568, -90.5954042 14.5298502, -90.5954162 14.529873)",RD-GUA-2,2a Calle,,,
25835533,True,1,trunk_link,False,100.417,"LINESTRING (-90.5955274 14.5315006, -90.5956848 14.5312733, -90.5957415 14.5312413, -90.5958121 14.5312296, -90.5958721 14.531242, -90.595947 14.5313006, -90.5959977 14.5313687, -90.5960644 14.5314554, -90.5961345 14.5315913)",,,,,
87883135,True,2,trunk,False,74.41799999999999,"LINESTRING (-90.5955274 14.5315006, -90.5957033 14.5310268, -90.595761 14.5308707)",CA-9 Sur,Autopista CA-9 Sur,70,,
766042979,True,2,primary,False,20.073,"LINESTRING (-90.5937202 14.5274605, -90.5936904 14.5272823)",RD-GUA-2,2a Calle,,,
1267260008,False,2,primary,False,70.477,"LINESTRING (-90.5937202 14.5274605, -90.594138 14.5279485)",RD-GUA-2,2a Calle,,,
62387376,True,1,primary,False,106.971,"LINESTRING (-90.5936904 14.5272823, -90.5928516 14.5267664)",RD-GUA-2,3a Calle,30,,
385172074,False,,residential,True,74.555,"LINESTRING (-90.5928516 14.5267664, -90.5927089 14.5274225)",,1a Avenida A,,,
394995906,False,,unclassified,False,35.383,"LINESTRING (-90.5931732 14.5315935, -90.5928673 14.531477)",,8a Calle,,,
690924243,False,,unclassified,False,38.765,"LINESTRING (-90.5931732 14.5315935, -90.5930757 14.5319291)",,0 Avenida B,,,
782455919,False,,residential,True,275.38100000000003,"LINESTRING (-90.5931732 14.5315935, -90.5932571 14.5314205, -90.5932871 14.5313585, -90.5936464 14.5306177, -90.5937492 14.5304057, -90.594112 14.5296576, -90.5942339 14.5293409)",,0 Avenida B,,,
60935435,False,,residential,True,27.986,"LINESTRING (-90.5924184 14.5312927, -90.5923669 14.5315394)",,1a Avenida,,,
394995906,False,,unclassified,False,9.938,"LINESTRING (-90.5924184 14.5312927, -90.5923361 14.5312522)",,8a Calle,,,
394995906,False,,unclassified,True,52.484,"LINESTRING (-90.5924184 14.5312927, -90.5924549 14.5313077, -90.5926459 14.5313861, -90.5927497 14.5314287, -90.5928673 14.531477)",,8a Calle,,,
85449801,True,2,primary,False,166.454,"LINESTRING (-90.5967457 14.5320369, -90.598099 14.5327613)",RD GUA-16,Carretera a Bárcena,40,,
1145593790,False,,tertiary,True,8.934,"LINESTRING (-90.5967457 14.5320369, -90.5967884 14.531968)",,,,,
