osmid,lanes,highway,oneway,reversed,length,ref,name,maxspeed,geometry
1125057666,2,residential,False,True,62.224,,,,"LINESTRING (-90.7100353 14.4969553, -90.7105738 14.496752)"
164472599,2,secondary,False,False,71.018,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7100353 14.4969553, -90.710217 14.497357, -90.7103046 14.4975383)"
164472599,2,secondary,False,True,61.919,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7100353 14.4969553, -90.7098181 14.4964971, -90.7097954 14.4964492)"
1125057666,2,residential,False,False,90.22,,,,"LINESTRING (-90.7100353 14.4969553, -90.7094731 14.4971578, -90.7092548 14.4972501)"
629981021,,residential,False,False,65.25,,,,"LINESTRING (-90.7103046 14.4975383, -90.7097368 14.4977436)"
164472599,2,secondary,False,True,71.018,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7103046 14.4975383, -90.710217 14.497357, -90.7100353 14.4969553)"
164473809,2,secondary,False,True,76.87700000000001,RD SAC-01,Carretera Antigua Guatemala - Santa María de Jesús,,"LINESTRING (-90.7103046 14.4975383, -90.7103623 14.4976986, -90.7104213 14.4978907, -90.7104457 14.4979774, -90.7104703 14.4980504, -90.7105303 14.4981622, -90.7105453 14.4981868)"
"[629981021, 629978631]",,residential,False,"[False, True]",124.839,,1a Avenida,30,"LINESTRING (-90.7103046 14.4975383, -90.7107845 14.4973237, -90.7107412 14.4971312, -90.7106754 14.4969371, -90.7105738 14.496752)"
164472599,2,secondary,False,False,23.542,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7097046 14.4962566, -90.7097954 14.4964492)"
46928977,1,residential,False,True,192.416,,0 Calle,20,"LINESTRING (-90.7097046 14.4962566, -90.7088551 14.4963439, -90.7081342 14.496374, -90.707923 14.4963847)"
164472599,2,secondary,False,True,113.39599999999999,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7097046 14.4962566, -90.7095221 14.4957625, -90.7093572 14.4952939)"
164472599,2,secondary,False,False,50.096,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7091408 14.4947535, -90.7093062 14.4951746)"
1088878819,,residential,True,False,63.49,,1a Calle,,"LINESTRING (-90.7091408 14.4947535, -90.7096764 14.4945145)"
164472599,2,secondary,False,True,73.241,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7091408 14.4947535, -90.7090264 14.4944795, -90.708888 14.494142)"
164472599,2,secondary,False,True,14.357,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7093572 14.4952939, -90.7093062 14.4951746)"
1125057665,,residential,False,True,67.027,,0 Calle,,"LINESTRING (-90.7093572 14.4952939, -90.709929 14.4950554)"
164472599,2,secondary,False,False,113.39599999999999,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7093572 14.4952939, -90.7095221 14.4957625, -90.7097046 14.4962566)"
164472599,2,secondary,False,False,69.698,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7085175 14.4930021, -90.7085829 14.4932001, -90.7087244 14.493596)"
164472599,2,secondary,False,True,57.513000000000005,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7085175 14.4930021, -90.7084255 14.4926126, -90.7084159 14.4924953)"
"[46929050, 1125247941]",,residential,False,False,235.63400000000004,,5a Calle,,"LINESTRING (-90.7085175 14.4930021, -90.7080579 14.4931036, -90.7079523 14.4931236, -90.7079282 14.4931158, -90.7079148 14.4930944, -90.7078994 14.4930207, -90.7078879 14.4930042, -90.7078692 14.4930016, -90.7077201 14.4930234, -90.7073129 14.4930742, -90.7070976 14.4931176, -90.7069647 14.4931496, -90.7066159 14.49326, -90.7065968 14.4932662, -90.70654 14.4932832, -90.7065257 14.4932829, -90.706519 14.4932777, -90.7064954 14.493231)"
1088878818,,residential,False,True,63.04,,3a Calle,20,"LINESTRING (-90.7087244 14.493596, -90.7092658 14.49338)"
164472599,2,secondary,False,False,63.223,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7087244 14.493596, -90.7088143 14.4938809, -90.708888 14.494142)"
164472599,2,secondary,False,True,69.698,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7087244 14.493596, -90.7085829 14.4932001, -90.7085175 14.4930021)"
46928983,,residential,False,False,76.583,,1a Calle,,"LINESTRING (-90.7085919 14.4915678, -90.7078986 14.4914136)"
164472599,2,secondary,False,False,22.072,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7085919 14.4915678, -90.7085564 14.4917633)"
975136723,2,secondary,False,True,50.67399999999999,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7085919 14.4915678, -90.7086277 14.4913241, -90.7086342 14.4912567, -90.7086415 14.491115)"
46928976,,residential,False,False,74.452,,0 Calle,,"LINESTRING (-90.7084159 14.4924953, -90.7077657 14.4922672)"
164472599,2,secondary,False,True,82.788,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7084159 14.4924953, -90.7085564 14.4917633)"
46929020,,residential,False,True,83.63900000000001,,4a Calle,,"LINESTRING (-90.7084159 14.4924953, -90.7089487 14.4926663, -90.7090137 14.4926721, -90.709072 14.4926739, -90.7091397 14.4926136)"
164472599,2,secondary,False,False,57.513000000000005,RD SAC-01,0 Avenida,20,"LINESTRING (-90.7084159 14.4924953, -90.7084255 14.4926126, -90.7085175 14.4930021)"
46928987,,residential,False,False,42.744,,5a Avenida,,"LINESTRING (-90.710584 14.4909351, -90.7107221 14.4912955)"
46929025,,residential,False,False,75.644,,0 Calle,,"LINESTRING (-90.710584 14.4909351, -90.7099204 14.4911587)"
1157758048,,residential,False,False,27.258,,2a Avenida,20,"LINESTRING (-90.710584 14.4909351, -90.7105099 14.4907007)"
46928988,,residential,False,False,118.801,,5a Avenida,,"LINESTRING (-90.7133001 14.4904519, -90.7139603 14.491308)"
46928980,,residential,False,False,96.27600000000001,,0 Calle,,"LINESTRING (-90.7133001 14.4904519, -90.7127898 14.4906046, -90.7124459 14.4907082)"
46928989,,residential,False,False,18.055,,1a Avenida,20,"LINESTRING (-90.7094398 14.4900522, -90.7094063 14.4902113)"
975136655,,residential,False,False,93.673,,2a Calle,20,"LINESTRING (-90.7094398 14.4900522, -90.7085729 14.48998)"
975136655,,residential,False,True,125.564,,2a Calle,20,"LINESTRING (-90.7094398 14.4900522, -90.7099621 14.4901073, -90.7102149 14.490134, -90.7106008 14.490157)"
975136655,,residential,False,False,125.56400000000001,,2a Calle,20,"LINESTRING (-90.7106008 14.490157, -90.7102149 14.490134, -90.7099621 14.4901073, -90.7094398 14.4900522)"
975136655,,residential,False,True,20.095,,2a Calle,20,"LINESTRING (-90.7106008 14.490157, -90.7106561 14.4901088, -90.7107423 14.4900392)"
1157758048,,residential,False,True,64.675,,2a Avenida,20,"LINESTRING (-90.7106008 14.490157, -90.7104877 14.4903672, -90.710455 14.4904579, -90.7105099 14.4907007)"
46928991,,residential,False,True,90.096,,2a Calle,20,"LINESTRING (-90.7059707 14.4895287, -90.706788 14.4897029)"
46928994,,residential,False,False,46.896,,4a Avenida,20,"LINESTRING (-90.7059707 14.4895287, -90.7058875 14.4897588, -90.7058205 14.4899245)"
46928981,,residential,False,True,165.683,,1a Avenida,20,"LINESTRING (-90.7079182 14.4899237, -90.7078986 14.4914136)"
46928991,,residential,False,False,68.271,,2a Calle,20,"LINESTRING (-90.7079182 14.4899237, -90.707299 14.4897912)"
46928991,,residential,False,True,71.522,,2a Calle,20,"LINESTRING (-90.7079182 14.4899237, -90.7085643 14.4900734)"
46928991,,residential,False,False,55.883,,2a Calle,20,"LINESTRING (-90.707299 14.4897912, -90.706788 14.4897029)"
46928991,,residential,False,True,68.271,,2a Calle,20,"LINESTRING (-90.707299 14.4897912, -90.7079182 14.4899237)"
46928982,,residential,False,True,163.244,,2a Avenida,20,"LINESTRING (-90.707299 14.4897912, -90.7072996 14.4900419, -90.7072376 14.4912578)"
46928991,,residential,False,False,90.096,,2a Calle,20,"LINESTRING (-90.706788 14.4897029, -90.7059707 14.4895287)"
46928991,,residential,False,True,55.883,,2a Calle,20,"LINESTRING (-90.706788 14.4897029, -90.707299 14.4897912)"
629981026,,residential,False,True,162.143,,3a Avenida,20,"LINESTRING (-90.706788 14.4897029, -90.706749 14.4911606)"
"[46929001, 46929006, 46929007]",,residential,False,False,135.398,,2a Avenida,,"LINESTRING (-90.7142258 14.4931759, -90.7140711 14.4935441, -90.7140312 14.4936316, -90.7141609 14.4936919, -90.714327 14.4937765, -90.7143005 14.493839, -90.7142801 14.4938817, -90.7141548 14.4941439)"
47174484,,residential,False,False,79.062,,6a Calle,20,"LINESTRING (-90.7142258 14.4931759, -90.7137845 14.4930036, -90.7135801 14.4928503)"
46929001,,residential,False,False,42.0,,2a Avenida,,"LINESTRING (-90.7141548 14.4941439, -90.7139817 14.4944824)"
"[46929001, 46929006, 46929007]",,residential,False,True,135.39800000000002,,2a Avenida,,"LINESTRING (-90.7141548 14.4941439, -90.7142801 14.4938817, -90.7143005 14.493839, -90.714327 14.4937765, -90.7141609 14.4936919, -90.7140312 14.4936316, -90.7140711 14.4935441, -90.7142258 14.4931759)"
46929000,,tertiary,True,False,38.189,,Diagonal 3,,"LINESTRING (-90.7142102 14.4958091, -90.713875 14.4956967)"
46928997,,residential,False,True,41.672,,,,"LINESTRING (-90.7140785 14.4953779, -90.713875 14.4956967)"
46929023,,residential,False,False,154.119,,Calle del Volcán,,"LINESTRING (-90.7129603 14.4922663, -90.7128077 14.4924308, -90.7126759 14.4926109, -90.7124682 14.4930225, -90.7122156 14.4934426)"
46929023,,residential,False,True,151.485,,Calle del Volcán,,"LINESTRING (-90.7129603 14.4922663, -90.7137804 14.4914719, -90.7139603 14.491308)"
47174484,,residential,False,True,93.125,,6a Calle,20,"LINESTRING (-90.7129603 14.4922663, -90.7132886 14.4925865, -90.7135801 14.4928503)"
47174484,,residential,False,False,93.125,,6a Calle,20,"LINESTRING (-90.7135801 14.4928503, -90.7132886 14.4925865, -90.7129603 14.4922663)"
47174484,,residential,False,True,79.062,,6a Calle,20,"LINESTRING (-90.7135801 14.4928503, -90.7137845 14.4930036, -90.7142258 14.4931759)"
164473801,,residential,False,False,43.611999999999995,,1a Avenida,,"LINESTRING (-90.7135801 14.4928503, -90.7134645 14.4930558, -90.713388 14.4931956)"
164473801,,residential,False,False,63.985,,1a Avenida,,"LINESTRING (-90.7132314 14.4935478, -90.7130157 14.494084)"
164473801,,residential,False,True,42.638,,1a Avenida,,"LINESTRING (-90.7132314 14.4935478, -90.713388 14.4931956)"
629978620,,residential,False,False,58.791,,4a Calle,,"LINESTRING (-90.7132314 14.4935478, -90.7136909 14.4938335)"
47174487,,residential,False,True,69.681,,2a Calle,,"LINESTRING (-90.7115654 14.4929004, -90.7120305 14.4924646)"
46928987,,residential,False,True,210.25500000000002,,5a Avenida,,"LINESTRING (-90.7115654 14.4929004, -90.7113551 14.4926956, -90.7112776 14.4926088, -90.7111254 14.4924377, -90.711061 14.4923342, -90.711004 14.4922232, -90.7109107 14.4920029, -90.7107298 14.4915597, -90.71073 14.4915336, -90.7107455 14.4915132, -90.7107812 14.4914796, -90.7107937 14.4914581, -90.7107891 14.4914299, -90.7107221 14.4912955)"
46929018,,residential,False,False,76.17,,2a Calle,20,"LINESTRING (-90.7115654 14.4929004, -90.7113863 14.4930444, -90.7111984 14.4931465, -90.7109707 14.4932665)"
46929024,,residential,False,True,92.56,,5a Avenida,20,"LINESTRING (-90.7115654 14.4929004, -90.7118703 14.4931886, -90.7122156 14.4934426)"
46929017,,residential,False,False,55.928,,0 Calle,20,"LINESTRING (-90.7122156 14.4934426, -90.712157 14.4935324, -90.7120858 14.4936371, -90.7119247 14.4938592)"
46929023,,residential,False,True,154.11900000000003,,Calle del Volcán,,"LINESTRING (-90.7122156 14.4934426, -90.7124682 14.4930225, -90.7126759 14.4926109, -90.7128077 14.4924308, -90.7129603 14.4922663)"
46929024,,residential,False,False,92.56,,5a Avenida,20,"LINESTRING (-90.7122156 14.4934426, -90.7118703 14.4931886, -90.7115654 14.4929004)"
46929025,,residential,False,False,81.805,,0 Calle,,"LINESTRING (-90.7094919 14.4913207, -90.7087774 14.4915711)"
46929025,,residential,False,True,49.524,,0 Calle,,"LINESTRING (-90.7094919 14.4913207, -90.7099204 14.4911587)"
46929019,,residential,False,False,107.982,,3a Avenida,,"LINESTRING (-90.7094919 14.4913207, -90.7096456 14.4918179, -90.7098349 14.4922312)"
46929019,,residential,False,False,36.789,,3a Avenida,,"LINESTRING (-90.7098349 14.4922312, -90.710036 14.4924987)"
46929020,,residential,False,False,86.079,,4a Calle,,"LINESTRING (-90.7098349 14.4922312, -90.7091397 14.4926136)"
46929019,,residential,False,True,107.982,,3a Avenida,,"LINESTRING (-90.7098349 14.4922312, -90.7096456 14.4918179, -90.7094919 14.4913207)"
46928987,,residential,False,True,42.744,,5a Avenida,,"LINESTRING (-90.7107221 14.4912955, -90.710584 14.4909351)"
46928980,,residential,False,True,196.735,,0 Calle,,"LINESTRING (-90.7107221 14.4912955, -90.7115301 14.49102, -90.7124459 14.4907082)"
46928987,,residential,False,False,210.25500000000002,,5a Avenida,,"LINESTRING (-90.7107221 14.4912955, -90.7107891 14.4914299, -90.7107937 14.4914581, -90.7107812 14.4914796, -90.7107455 14.4915132, -90.71073 14.4915336, -90.7107298 14.4915597, -90.7109107 14.4920029, -90.711004 14.4922232, -90.711061 14.4923342, -90.7111254 14.4924377, -90.7112776 14.4926088, -90.7113551 14.4926956, -90.7115654 14.4929004)"
46929025,,residential,False,True,81.805,,0 Calle,,"LINESTRING (-90.7087774 14.4915711, -90.7094919 14.4913207)"
998905877,1,tertiary,True,False,52.822,,1a Avenida,30,"LINESTRING (-90.7087774 14.4915711, -90.708691 14.4912513, -90.7086415 14.491115)"
46929018,,residential,False,False,66.685,,2a Calle,20,"LINESTRING (-90.7105712 14.4934424, -90.7099969 14.4936671)"
46929018,,residential,False,True,47.247,,2a Calle,20,"LINESTRING (-90.7105712 14.4934424, -90.7109707 14.4932665)"
