osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,access
384577033,Calle del Río,residential,False,False,20.316,,"LINESTRING (-91.1557508 14.7380714, -91.1556189 14.7382022)",,,
384577033,Calle del Río,residential,False,True,46.372,,"LINESTRING (-91.1557508 14.7380714, -91.156031 14.7377544)",,,
28907187,Calle Chinimayá,residential,False,True,170.995,1,"LINESTRING (-91.1557508 14.7380714, -91.1564459 14.7386063, -91.1564702 14.7386308, -91.1567832 14.7392001)",,,
371249489,Calle El Amate,tertiary,False,True,82.65899999999999,2,"LINESTRING (-91.1537162 14.744748, -91.1536998 14.744716, -91.1536428 14.7445953, -91.1535766 14.7444221, -91.1535519 14.7443348, -91.1534887 14.7440413)",,,
403115825,Calle Real,primary,True,False,58.36,,"LINESTRING (-91.1537162 14.744748, -91.1536309 14.7447914, -91.153578 14.7448266, -91.1534769 14.7449157, -91.1533117 14.7450911)",RN-1,,
403110179,Calle Real,primary,False,True,161.932,2,"LINESTRING (-91.1605491 14.7434545, -91.1590638 14.7436944)",RN-1,,
371249489,Calle El Amate,tertiary,False,False,53.648,2,"LINESTRING (-91.1531518 14.7426046, -91.1532532 14.743077)",,,
371249489,Calle El Amate,tertiary,False,True,83.44,2,"LINESTRING (-91.1531518 14.7426046, -91.1531029 14.742403, -91.15303 14.7421662, -91.1529184 14.7418903)",,,
371249494,Calle Las Victorias,residential,False,False,150.87099999999998,1,"LINESTRING (-91.1531518 14.7426046, -91.1526259 14.743069, -91.1521045 14.7435073)",,,
28907182,Calle Frutal,residential,False,True,106.126,2,"LINESTRING (-91.154532 14.739443, -91.1552226 14.7401248)",,,
"[384570457, 789629391]",,residential,False,"[False, True]",218.632,,"LINESTRING (-91.154532 14.739443, -91.1544801 14.7394964, -91.1543294 14.7395253, -91.1541827 14.7394915, -91.153178 14.7407608)",,,
384577033,Calle del Río,residential,False,True,180.89000000000001,,"LINESTRING (-91.154532 14.739443, -91.1548633 14.7390432, -91.1554994 14.7383207, -91.1556189 14.7382022)",,,
