osmid,highway,oneway,reversed,length,ref,name,geometry,maxspeed
189005821,residential,False,True,80.81,,,"LINESTRING (-91.7809743 14.9662298, -91.7808068 14.9655213)",
258179710,residential,False,False,56.714,GUA 1,1ra Avenida A,"LINESTRING (-91.7809743 14.9662298, -91.7810671 14.9667319)",
258179711,trunk,True,False,50.736,RN-1,5a Calle,"LINESTRING (-91.7809743 14.9662298, -91.7805049 14.9662803)",
258179710,residential,False,False,62.634,GUA 1,1ra Avenida A,"LINESTRING (-91.7810671 14.9667319, -91.7811857 14.9672834)",
258179710,residential,False,True,56.714,GUA 1,1ra Avenida A,"LINESTRING (-91.7810671 14.9667319, -91.7809743 14.9662298)",
389927435,residential,False,True,59.353,,4a Calle,"LINESTRING (-91.7810671 14.9667319, -91.7805153 14.9667591)",
189005818,residential,False,False,170.53300000000002,,4a Calle,"LINESTRING (-91.7810671 14.9667319, -91.7814739 14.9667155, -91.7818434 14.9667225, -91.7821095 14.966737, -91.7826401 14.96662)",
258179710,residential,False,False,44.076,GUA 1,1ra Avenida A,"LINESTRING (-91.7811857 14.9672834, -91.7812537 14.9676743)",
258179710,residential,False,True,62.634,GUA 1,1ra Avenida A,"LINESTRING (-91.7811857 14.9672834, -91.7810671 14.9667319)",
389927429,trunk,True,False,130.594,RN-1,3a Calle,"LINESTRING (-91.7811857 14.9672834, -91.7814476 14.9672651, -91.7816306 14.9672534, -91.7818003 14.9672007, -91.7819575 14.9671184, -91.7822993 14.966895)",
258179710,residential,False,False,52.833,GUA 1,1ra Avenida A,"LINESTRING (-91.7812537 14.9676743, -91.7813619 14.9681378)",
258179710,residential,False,True,44.076,GUA 1,1ra Avenida A,"LINESTRING (-91.7812537 14.9676743, -91.7811857 14.9672834)",
780340630,tertiary,True,False,75.421,,,"LINESTRING (-91.7812537 14.9676743, -91.780552 14.967697)",
189619557,residential,False,False,69.611,,,"LINESTRING (-91.7813619 14.9681378, -91.7820099 14.9681411)",
189619557,residential,False,True,84.228,,,"LINESTRING (-91.7813619 14.9681378, -91.7805783 14.9681643)",
258179710,residential,False,True,52.833,GUA 1,1ra Avenida A,"LINESTRING (-91.7813619 14.9681378, -91.7812537 14.9676743)",
258179710,residential,False,False,137.82999999999998,GUA 1,1ra Avenida A,"LINESTRING (-91.7813619 14.9681378, -91.7814586 14.9686913, -91.7814795 14.9693692)",
389931037,tertiary,True,False,54.061,,,"LINESTRING (-91.7814795 14.9693692, -91.781964 14.9692377)",
258179710,residential,False,True,137.82999999999998,GUA 1,1ra Avenida A,"LINESTRING (-91.7814795 14.9693692, -91.7814586 14.9686913, -91.7813619 14.9681378)",
389931039,residential,False,True,142.548,,,"LINESTRING (-91.7814795 14.9693692, -91.7815118 14.9701748, -91.7815335 14.9706501)",
389927404,tertiary,True,False,82.694,GUA 1,,"LINESTRING (-91.7807463 14.9695958, -91.7814795 14.9693692)",
189619554,tertiary,False,True,142.032,,2a Avenida,"LINESTRING (-91.7807463 14.9695958, -91.7809086 14.9707268, -91.7809104 14.9708623)",
