osmid,highway,oneway,reversed,length,name,lanes,ref,maxspeed,geometry
236318862,residential,False,True,33.569,,,,,"LINESTRING (-90.4356157 14.4616462, -90.4358984 14.4615189)"
236311430,residential,False,False,97.99,3a Calle,,,,"LINESTRING (-90.440159 14.4639029, -90.4393526 14.4643114)"
236311430,residential,False,True,7.887,3a Calle,,,,"LINESTRING (-90.440159 14.4639029, -90.4402258 14.4638738)"
383385910,primary,True,False,70.58,2a Avenida,1,RN-2,40,"LINESTRING (-90.440159 14.4639029, -90.4404239 14.4644835)"
383385910,primary,True,False,38.543,2a Avenida,1,RN-2,40,"LINESTRING (-90.4400149 14.4635856, -90.440159 14.4639029)"
965667261,primary_link,False,False,7.981,,1,,,"LINESTRING (-90.4400149 14.4635856, -90.4400835 14.4635584)"
236311431,residential,False,True,42.032,2a Calle Zona 3,,,,"LINESTRING (-90.4398379 14.4652697, -90.4402037 14.4651377)"
236319249,residential,False,False,45.982,1a Avenida Zona 2,,,,"LINESTRING (-90.4398379 14.4652697, -90.4396478 14.4648994)"
404121651,residential,False,False,51.164,2a Calle Zona 3,,,,"LINESTRING (-90.4398379 14.4652697, -90.439444 14.4654066, -90.4393907 14.4654253)"
383792753,primary,False,False,3.974,1a Avenida Zona 3,2,RN-2,70,"LINESTRING (-90.4412178 14.4656823, -90.4411935 14.4656554)"
404135317,residential,False,False,81.134,1a Calle Zona 1,,,,"LINESTRING (-90.4412178 14.4656823, -90.4405107 14.4659345)"
383792753,primary,False,True,97.392,1a Avenida Zona 3,2,RN-2,70,"LINESTRING (-90.4412178 14.4656823, -90.4414944 14.4660124, -90.4417843 14.4663651)"
404110735,residential,True,False,229.476,1a Avenida Zona 1,,,,"LINESTRING (-90.4412178 14.4656823, -90.4412222 14.4656309, -90.4411984 14.4655454, -90.4410086 14.4650519, -90.4409163 14.4648083, -90.4404946 14.4637466)"
236311430,residential,False,False,77.407,3a Calle,,,,"LINESTRING (-90.4385759 14.4647138, -90.4379425 14.4650431)"
236311430,residential,False,True,48.571,3a Calle,,,,"LINESTRING (-90.4385759 14.4647138, -90.4389755 14.4645111)"
236311429,residential,False,False,92.321,2da Avenida Zona 2,,,,"LINESTRING (-90.4385759 14.4647138, -90.4383673 14.464342, -90.4381859 14.4639747)"
236311429,residential,False,True,106.672,2da Avenida Zona 2,,,,"LINESTRING (-90.4385759 14.4647138, -90.4387894 14.4651002, -90.4390432 14.4655597)"
236311431,residential,False,False,52.075,2a Calle Zona 3,,,,"LINESTRING (-90.4406556 14.4649708, -90.4402037 14.4651377)"
236311431,residential,False,True,7.658,2a Calle Zona 3,,,,"LINESTRING (-90.4406556 14.4649708, -90.4407215 14.4649449)"
383385910,primary,True,False,97.006,2a Avenida,1,RN-2,40,"LINESTRING (-90.4406556 14.4649708, -90.4407047 14.4650643, -90.440807 14.465224, -90.4410041 14.4655123, -90.4410856 14.4655889, -90.4411935 14.4656554)"
236311430,residential,False,True,77.407,3a Calle,,,,"LINESTRING (-90.4379425 14.4650431, -90.4385759 14.4647138)"
404121651,residential,False,False,13.277,2a Calle Zona 3,,,,"LINESTRING (-90.4390432 14.4655597, -90.438938 14.465622)"
404121651,residential,False,True,40.29,2a Calle Zona 3,,,,"LINESTRING (-90.4390432 14.4655597, -90.4393907 14.4654253)"
236311429,residential,False,False,106.672,2da Avenida Zona 2,,,,"LINESTRING (-90.4390432 14.4655597, -90.4387894 14.4651002, -90.4385759 14.4647138)"
271478621,residential,False,False,92.013,8a Calle Zona 1,,,,"LINESTRING (-90.438109 14.4601616, -90.4373639 14.4605668)"
271478621,residential,False,True,95.361,8a Calle Zona 1,,,,"LINESTRING (-90.438109 14.4601616, -90.4389099 14.4597955)"
"[236429461, 404117238]",residential,False,False,223.558,4a Avenida Zona 1,,,,"LINESTRING (-90.438109 14.4601616, -90.4379599 14.459991, -90.4378879 14.4598426, -90.4378847 14.4588728, -90.4380983 14.4586316, -90.4382528 14.4583313)"
"[236314299, 404117238]",residential,False,True,93.25,4a Avenida Zona 1,,,,"LINESTRING (-90.438109 14.4601616, -90.4383148 14.4605256, -90.4385224 14.4608985)"
236314299,residential,False,True,96.741,4a Avenida Zona 1,,,,"LINESTRING (-90.4385224 14.4608985, -90.4389351 14.4616713)"
236324041,tertiary,False,False,91.54,7a Calle,,,,"LINESTRING (-90.4385224 14.4608985, -90.4392731 14.4605121)"
"[236314299, 404117238]",residential,False,False,93.25,4a Avenida Zona 1,,,,"LINESTRING (-90.4385224 14.4608985, -90.4383148 14.4605256, -90.438109 14.4601616)"
236324041,tertiary,False,True,93.549,7a Calle,,,,"LINESTRING (-90.4385224 14.4608985, -90.4382955 14.4610116, -90.4381145 14.4611063, -90.4377638 14.461308)"
236314300,residential,False,False,60.492,5a Calle Zona 1,,,,"LINESTRING (-90.4398256 14.4621696, -90.4393202 14.4624072)"
383385909,primary,False,False,5.387,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4398256 14.4621696, -90.4398331 14.4621217)"
383385909,primary,False,True,106.14800000000001,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4398256 14.4621696, -90.439807 14.4625063, -90.4398092 14.462632, -90.4398213 14.4627612, -90.4398379 14.4629249, -90.4398715 14.4631197)"
236314298,residential,False,False,17.412,4a Calle Zona 1,,,,"LINESTRING (-90.4398715 14.4631197, -90.4397167 14.463165)"
383790018,residential,False,True,37.978,4a Calle Zona 1,,,,"LINESTRING (-90.4398715 14.4631197, -90.4402184 14.4630579)"
383385909,primary,False,False,106.148,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4398715 14.4631197, -90.4398379 14.4629249, -90.4398213 14.4627612, -90.4398092 14.462632, -90.439807 14.4625063, -90.4398256 14.4621696)"
383385910,primary,True,False,54.260999999999996,2a Avenida,1,RN-2,40,"LINESTRING (-90.4398715 14.4631197, -90.4398957 14.463257, -90.4399318 14.463381, -90.4400149 14.4635856)"
236314298,residential,False,False,92.334,4a Calle Zona 1,,,,"LINESTRING (-90.4397167 14.463165, -90.4389738 14.4635798)"
236314298,residential,False,True,17.412,4a Calle Zona 1,,,,"LINESTRING (-90.4397167 14.463165, -90.4398715 14.4631197)"
236314299,residential,False,False,94.461,4a Avenida Zona 1,,,,"LINESTRING (-90.4397167 14.463165, -90.4393202 14.4624072)"
236311429,residential,False,True,95.71,2da Avenida Zona 2,,,,"LINESTRING (-90.437793 14.4632026, -90.4381859 14.4639747)"
383785977,residential,False,True,8.665,2da Avenida Zona 2,,,,"LINESTRING (-90.437793 14.4632026, -90.4377556 14.4631336)"
383790014,residential,False,True,93.87,5a Calle Zona 2,,,,"LINESTRING (-90.437793 14.4632026, -90.4385629 14.4628065)"
236314297,residential,False,False,96.701,1a Avenida Zona 2,,,,"LINESTRING (-90.4389738 14.4635798, -90.4385629 14.4628065)"
236314297,residential,False,True,91.002,1a Avenida Zona 2,,,,"LINESTRING (-90.4389738 14.4635798, -90.4393526 14.4643114)"
236314298,residential,False,True,92.334,4a Calle Zona 1,,,,"LINESTRING (-90.4389738 14.4635798, -90.4397167 14.463165)"
383790009,residential,False,False,48.133,4a Calle Zona 2,,,,"LINESTRING (-90.4389738 14.4635798, -90.4385733 14.4637721)"
236311430,residential,False,False,46.278,3a Calle,,,,"LINESTRING (-90.4393526 14.4643114, -90.4389755 14.4645111)"
236311430,residential,False,True,97.99,3a Calle,,,,"LINESTRING (-90.4393526 14.4643114, -90.440159 14.4639029)"
236314297,residential,False,False,91.002,1a Avenida Zona 2,,,,"LINESTRING (-90.4393526 14.4643114, -90.4389738 14.4635798)"
236319249,residential,False,True,72.699,1a Avenida Zona 2,,,,"LINESTRING (-90.4393526 14.4643114, -90.4396478 14.4648994)"
236324042,residential,False,False,25.423,6a Calle Zona 1,,,,"LINESTRING (-90.4399344 14.4611578, -90.4397245 14.4612625)"
383790015,residential,False,True,46.993,6a Calle Zona 1,,,,"LINESTRING (-90.4399344 14.4611578, -90.44033 14.4609793)"
383385909,primary,False,False,101.798,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4399344 14.4611578, -90.4399184 14.4610487, -90.4398476 14.4604242, -90.4398243 14.4602486)"
383385909,primary,False,True,58.706,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4399344 14.4611578, -90.439921 14.4615041, -90.4399194 14.4616855)"
236316548,residential,False,False,51.505,3a Avenida,,,,"LINESTRING (-90.4399194 14.4616855, -90.4397245 14.4612625)"
383385909,primary,False,True,49.385,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4399194 14.4616855, -90.4398331 14.4621217)"
383385909,primary,False,False,58.706,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4399194 14.4616855, -90.439921 14.4615041, -90.4399344 14.4611578)"
236317849,residential,False,True,39.992,3a Avenida Zona 2,,,,"LINESTRING (-90.4354627 14.4607897, -90.4356572 14.4610961)"
236317849,residential,False,False,70.601,3a Avenida Zona 2,,,,"LINESTRING (-90.4362045 14.4620804, -90.4360285 14.4617552, -90.4358984 14.4615189)"
1264650930,tertiary,True,False,46.167,7a Calle,,,,"LINESTRING (-90.4362045 14.4620804, -90.4359376 14.4621993, -90.4358692 14.4622357, -90.4358269 14.4622726)"
236317849,residential,False,False,16.196,3a Avenida Zona 2,,,,"LINESTRING (-90.4358984 14.4615189, -90.4358272 14.4613906)"
236318862,residential,False,False,33.569,,,,,"LINESTRING (-90.4358984 14.4615189, -90.4356157 14.4616462)"
236317849,residential,False,True,70.601,3a Avenida Zona 2,,,,"LINESTRING (-90.4358984 14.4615189, -90.4360285 14.4617552, -90.4362045 14.4620804)"
383790015,residential,False,False,46.993,6a Calle Zona 1,,,,"LINESTRING (-90.44033 14.4609793, -90.4399344 14.4611578)"
383785973,residential,False,False,114.484,1a Avenida Zona 1,,,,"LINESTRING (-90.44033 14.4609793, -90.4402109 14.4619431, -90.4402113 14.462002)"
383785973,residential,False,True,33.492000000000004,1a Avenida Zona 1,,,,"LINESTRING (-90.44033 14.4609793, -90.4403639 14.4608631, -90.4404264 14.4606931)"
383785973,residential,False,False,82.152,1a Avenida Zona 1,,,,"LINESTRING (-90.4402184 14.4630579, -90.4404946 14.4637466)"
383785973,residential,False,True,117.413,1a Avenida Zona 1,,,,"LINESTRING (-90.4402184 14.4630579, -90.4402113 14.462002)"
383790018,residential,False,False,37.978,4a Calle Zona 1,,,,"LINESTRING (-90.4402184 14.4630579, -90.4398715 14.4631197)"
383785972,residential,False,True,112.637,7a Calle Zona 1,,,,"LINESTRING (-90.4407579 14.4597916, -90.4398243 14.4602486)"
383785973,residential,False,False,106.407,1a Avenida Zona 1,,,,"LINESTRING (-90.4407579 14.4597916, -90.4404264 14.4606931)"
236295375,residential,False,True,34.605000000000004,1a Avenida Zona 1,,,,"LINESTRING (-90.4407579 14.4597916, -90.4407885 14.4597243, -90.4408929 14.4595092)"
236324041,tertiary,False,True,66.188,7a Calle,,,,"LINESTRING (-90.4398243 14.4602486, -90.4392731 14.4605121)"
383785972,residential,False,False,112.637,7a Calle Zona 1,,,,"LINESTRING (-90.4398243 14.4602486, -90.4407579 14.4597916)"
383385909,primary,False,False,96.94900000000001,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4398243 14.4602486, -90.4397797 14.4601086, -90.4397277 14.4599156, -90.4396838 14.4596656, -90.4396805 14.4595211, -90.4396999 14.4593947)"
383385909,primary,False,True,101.79799999999999,2a Avenida Zona 1,2,RN-2,40,"LINESTRING (-90.4398243 14.4602486, -90.4398476 14.4604242, -90.4399184 14.4610487, -90.4399344 14.4611578)"
236316548,residential,False,False,96.564,3a Avenida,,,,"LINESTRING (-90.4397245 14.4612625, -90.4392731 14.4605121)"
236316548,residential,False,True,51.505,3a Avenida,,,,"LINESTRING (-90.4397245 14.4612625, -90.4399194 14.4616855)"
236324042,residential,False,False,96.388,6a Calle Zona 1,,,,"LINESTRING (-90.4397245 14.4612625, -90.4389351 14.4616713)"
236324042,residential,False,True,25.423,6a Calle Zona 1,,,,"LINESTRING (-90.4397245 14.4612625, -90.4399344 14.4611578)"
