osmid,highway,oneway,reversed,length,ref,geometry,bridge
178573003,secondary,False,True,26.586,,"LINESTRING (125.2111126 39.6892098, 125.2110816 39.6894477)",
178573011,trunk,False,True,86.503,AH1,"LINESTRING (125.2111126 39.6892098, 125.2101176 39.6893474)",
178573011,trunk,False,False,200.446,AH1,"LINESTRING (125.2111126 39.6892098, 125.2124777 39.689021, 125.2134151 39.6888782)",
178573007,tertiary,False,True,320.621,,"LINESTRING (125.2079366 39.6896651, 125.2080409 39.6899677, 125.2082583 39.6925326)",
"[178573011, 178573012, 178572998]",trunk,False,False,171.51600000000002,AH1,"LINESTRING (125.2079366 39.6896651, 125.2080334 39.6896369, 125.2082935 39.6895996, 125.2099041 39.6893769)",yes
178573002,secondary,False,True,119.843,,"LINESTRING (125.2151574 39.6898258, 125.2138067 39.6901109)",
220789511,secondary,False,False,45.695,,"LINESTRING (125.2151574 39.6898258, 125.2150039 39.6894322)",
178573003,secondary,False,False,134.606,,"LINESTRING (125.2109247 39.6906522, 125.2110816 39.6894477)",
178573003,secondary,False,True,58.142,,"LINESTRING (125.2109247 39.6906522, 125.2108586 39.6911726)",
178573002,secondary,False,False,93.94500000000001,,"LINESTRING (125.2109247 39.6906522, 125.2117796 39.6905387, 125.2120018 39.6904918)",
178573007,tertiary,False,True,99.691,,"LINESTRING (125.2082583 39.6925326, 125.2070955 39.692476)",
203373357,residential,False,True,44.072,,"LINESTRING (125.2082583 39.6925326, 125.2082854 39.6929284)",
178573007,tertiary,False,False,320.621,,"LINESTRING (125.2082583 39.6925326, 125.2080409 39.6899677, 125.2079366 39.6896651)",
203373357,residential,False,False,218.00099999999998,,"LINESTRING (125.2082583 39.6925326, 125.209501 39.6926621, 125.2098696 39.6924862, 125.2099218 39.6918256)",
178573003,secondary,False,False,156.701,,"LINESTRING (125.210507 39.6950386, 125.2106349 39.6936328)",
203373359,residential,False,True,101.32499999999999,,"LINESTRING (125.210507 39.6950386, 125.2105783 39.6952007, 125.2107532 39.695364, 125.2108559 39.6955848, 125.2109375 39.695872)",
203373451,residential,False,False,235.86199999999997,,"LINESTRING (125.210507 39.6950386, 125.2102306 39.6952545, 125.2100627 39.6953748, 125.210002 39.6954933, 125.209939 39.6963065, 125.210051 39.6963567, 125.2102586 39.6964303, 125.21024 39.696854)",
178573011,trunk,False,False,18.561,AH1,"LINESTRING (125.2099041 39.6893769, 125.2101176 39.6893474)",
