osmid,name,highway,oneway,reversed,length,ref,lanes,geometry
111253573,Domingo Robledo,residential,False,False,110.299,,,"LINESTRING (-54.3070905 -24.0593071, -54.3081706 -24.0592011)"
111253573,Domingo Robledo,residential,False,True,15.89,,,"LINESTRING (-54.3070905 -24.0593071, -54.3069349 -24.0593224)"
111253577,Avenida Paraguay,trunk,True,False,222.074,PY03,,"LINESTRING (-54.3070905 -24.0593071, -54.3073224 -24.061293)"
181471295,34 Curuguateños,residential,False,False,17.838,,,"LINESTRING (-54.3030764 -24.0636635, -54.3030952 -24.063823)"
181471295,34 Curuguateños,residential,False,True,218.736,,,"LINESTRING (-54.3030764 -24.0636635, -54.3028454 -24.0617077)"
193047221,avenida. Bernardino Cabellero Melgarejo,tertiary,True,False,110.222,,,"LINESTRING (-54.3030764 -24.0636635, -54.3041566 -24.0635648)"
193047221,avenida. Bernardino Cabellero Melgarejo,tertiary,True,False,109.956,,,"LINESTRING (-54.3075603 -24.0632268, -54.3086368 -24.0631189)"
263611854,Avenida Paraguay,trunk,True,False,15.375,PY03,1,"LINESTRING (-54.3075603 -24.0632268, -54.3075791 -24.063364)"
128488102,Del Maestro,residential,False,True,224.508,,,"LINESTRING (-54.3045347 -24.0575272, -54.3047667 -24.0595351)"
245556026,Fernando de la Mora del Cazal y Sanabria,residential,False,False,110.828,,,"LINESTRING (-54.3045347 -24.0575272, -54.30345 -24.0576384)"
245556026,Fernando de la Mora del Cazal y Sanabria,residential,False,True,109.377,,,"LINESTRING (-54.3045347 -24.0575272, -54.3056052 -24.0574175)"
477930234,avenida. Bernardino Cabellero Melgarejo,tertiary,True,False,49.997,,,"LINESTRING (-54.3097302 -24.0630113, -54.3102184 -24.0629525)"
661801443,Destacamento de Caballeria,residential,False,False,214.781,,,"LINESTRING (-54.3097302 -24.0630113, -54.309497 -24.0610915)"
661801443,Destacamento de Caballeria,residential,False,True,15.317,,,"LINESTRING (-54.3097302 -24.0630113, -54.3097436 -24.0631485)"
128488102,Del Maestro,residential,False,False,217.674,,,"LINESTRING (-54.3052314 -24.0634544, -54.3050025 -24.061508)"
128488102,Del Maestro,residential,False,True,15.634,,,"LINESTRING (-54.3052314 -24.0634544, -54.3052478 -24.0635942)"
