osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref,junction,access
310675481,2,Tägertschistrasse,secondary,False,False,25.695999999999998,"LINESTRING (7.5657588 46.8753164, 7.5656045 46.8753072, 7.565426 46.8752791)",,,,
660502068,2,Tägertschistrasse,secondary,False,True,69.265,"LINESTRING (7.5657588 46.8753164, 7.5659306 46.8753082, 7.5660944 46.8752896, 7.5665028 46.8752394, 7.5666593 46.8752244)",,,,
660502070,,Mühletalstrasse,residential,False,False,30.159999999999997,"LINESTRING (7.5657588 46.8753164, 7.5657506 46.8753905, 7.5657759 46.8754631, 7.5658457 46.8755757)",30,,,
20793222,1,Belpbergstrasse,tertiary,True,False,79.085,"LINESTRING (7.562393 46.8738382, 7.562292 46.873756, 7.5622237 46.8736129, 7.5620776 46.8734327, 7.5618467 46.8732423)",30,,,
25493840,2,Thunstrasse,primary,False,False,36.653999999999996,"LINESTRING (7.562393 46.8738382, 7.562396 46.8737474, 7.5624495 46.8735114)",50,6,,
150520626,,,residential,False,False,108.02400000000002,"LINESTRING (7.562393 46.8738382, 7.5625366 46.8737947, 7.562867 46.8738203, 7.5629567 46.8737222, 7.5629893 46.8736869, 7.5630094 46.8736091, 7.5629678 46.8735824, 7.5624495 46.8735114)",,,,
264957460,3,Thunstrasse,primary,False,True,65.629,"LINESTRING (7.562393 46.8738382, 7.5624347 46.8741519, 7.562584 46.8744075)",50,6,,
"[25493840, 925961061, 925961062, 925961063]",2,Thunstrasse,primary,False,True,392.186,"LINESTRING (7.563533 46.8695341, 7.5634994 46.8696278, 7.5634102 46.8699171, 7.5633691 46.8700415, 7.5632901 46.8702765, 7.5631154 46.8707475, 7.5630279 46.8710217, 7.5629476 46.8712589, 7.562878 46.871419, 7.5628124 46.8715397, 7.5625746 46.8719562, 7.5625262 46.8720515, 7.5624907 46.8721396, 7.5624652 46.8722292, 7.5624471 46.8723273, 7.5624361 46.8724456, 7.5624396 46.8725632, 7.5624718 46.8729573)",50,6,,
5080283,1,,primary,True,False,14.139999999999999,"LINESTRING (7.5636898 46.8694873, 7.5636692 46.8695085, 7.5636407 46.8695248, 7.5636066 46.869535, 7.5635697 46.8695382, 7.563533 46.8695341)",50,,roundabout,
26451946,1,Buchliweg,residential,False,False,99.828,"LINESTRING (7.5636898 46.8694873, 7.5638012 46.8695194, 7.5638462 46.8695384, 7.5638773 46.8695622, 7.5639603 46.8696591, 7.5640112 46.8696923, 7.5640674 46.8697131, 7.5648407 46.8698369)",,,,
5080289,1,Neue Bahnhofstrasse,tertiary,True,False,19.615000000000002,"LINESTRING (7.562584 46.8744075, 7.5625196 46.8744295, 7.5624572 46.8744339, 7.5623345 46.8744424)",30,,,
33775617,2,Thunstrasse,primary,False,True,47.419000000000004,"LINESTRING (7.562584 46.8744075, 7.562683 46.8745105, 7.5629316 46.8747616)",50,6,,
264957460,3,Thunstrasse,primary,False,False,65.629,"LINESTRING (7.562584 46.8744075, 7.5624347 46.8741519, 7.562393 46.8738382)",50,6,,
310675481,2,Tägertschistrasse,secondary,False,True,44.43600000000001,"LINESTRING (7.5631689 46.8748244, 7.5632562 46.8747883, 7.5633833 46.8747701, 7.5634889 46.8747649, 7.5635863 46.874769, 7.5637093 46.8747826, 7.5637319 46.8747893)",,,,
1232757901,1,Dorfplatz,primary,True,False,17.285,"LINESTRING (7.5631689 46.8748244, 7.5631716 46.8748745, 7.5631595 46.8749206, 7.563119 46.8749721)",,,roundabout,
"[27712541, 5080286]",2,Bernstrasse,primary,False,False,178.712,"LINESTRING (7.5629224 46.8749818, 7.5628856 46.875052, 7.5628685 46.8750935, 7.5628455 46.8751467, 7.5628201 46.8752039, 7.5627506 46.8753809, 7.562602 46.8756468, 7.562191 46.8763438, 7.5621151 46.8764897)",50,6,,
"[5080287, 1232757903]",1,Dorfplatz,primary,True,False,25.93,"LINESTRING (7.5629224 46.8749818, 7.5628897 46.874942, 7.5628792 46.8748797, 7.5628969 46.8748079, 7.5629316 46.8747616)",,,roundabout,
33775617,2,Thunstrasse,primary,False,False,47.419000000000004,"LINESTRING (7.5629316 46.8747616, 7.562683 46.8745105, 7.562584 46.8744075)",50,6,,
1232757900,1,Dorfplatz,primary,True,False,23.635,"LINESTRING (7.5629316 46.8747616, 7.5630098 46.8747387, 7.5630923 46.8747488, 7.5631495 46.8747779, 7.5631689 46.8748244)",,,roundabout,
5080288,1,Alte Bahnhofstrasse,tertiary,True,False,154.492,"LINESTRING (7.5603623 46.873884, 7.5605941 46.8738831, 7.5619666 46.8738392, 7.5622296 46.8738431, 7.562393 46.8738382)",30,,,
20793138,1,Kreuzweg,residential,False,True,95.483,"LINESTRING (7.5603623 46.873884, 7.5603799 46.8737699, 7.56051 46.873444, 7.560526 46.8734041, 7.560568 46.8732989, 7.5606665 46.8730522)",30,,,
34311294,2,Alte Bahnhofstrasse,tertiary,False,False,41.704,"LINESTRING (7.5603623 46.873884, 7.5599447 46.8738868, 7.5598756 46.8738942, 7.5598169 46.8739057)",30,,,
"[755576963, 26490220]",2,"['Schlossstrasse', 'Hunzigenstrasse']",tertiary,False,True,74.417,"LINESTRING (7.5580771 46.8740951, 7.558099 46.8741154, 7.5581502 46.8741617, 7.5581735 46.8742026, 7.5581601 46.8743175, 7.5580549 46.8745471, 7.558026 46.8746119, 7.5580141 46.8746757, 7.5580341 46.8747281)",30,,,
"[939299112, 295677934, 295677935, 613269744, 1090532027]",,Dorfmattweg,residential,False,True,158.76000000000002,"LINESTRING (7.5580771 46.8740951, 7.5584911 46.8739805, 7.5587607 46.8739172, 7.5588309 46.8738981, 7.5589051 46.8738387, 7.5589539 46.8736746, 7.5589668 46.8736313, 7.5590317 46.8734188, 7.5590391 46.8733569, 7.5590269 46.8733065, 7.559006 46.8732713, 7.5589651 46.8732293, 7.5589017 46.8731909, 7.5587696 46.8731289)",30,,,no
20793605,2,Belpbergstrasse,tertiary,False,False,105.33300000000001,"LINESTRING (7.5596087 46.8705772, 7.5587776 46.8704588, 7.5586941 46.8704467, 7.5586153 46.8704337, 7.5585431 46.8704204, 7.5584675 46.8704038, 7.558343 46.8703705, 7.5582676 46.8703478)",30,,,
20793776,,Industriestrasse,residential,False,False,123.012,"LINESTRING (7.5596087 46.8705772, 7.5595499 46.8708509, 7.5594451 46.8712969, 7.5593805 46.8715716, 7.5593718 46.8716711)",30,,,
"[613269700, 613269703]",2,Belpbergstrasse,tertiary,False,True,68.3,"LINESTRING (7.5596087 46.8705772, 7.5599885 46.8706266, 7.5603472 46.8706741, 7.5604167 46.8706767, 7.5604927 46.8706688)",30,,,
20793776,,Industriestrasse,residential,False,False,168.53500000000003,"LINESTRING (7.5593718 46.8716711, 7.5593589 46.8717409, 7.559339 46.8717944, 7.5587696 46.8731289)",30,,,
20793776,,Industriestrasse,residential,False,True,123.012,"LINESTRING (7.5593718 46.8716711, 7.5593805 46.8715716, 7.5594451 46.8712969, 7.5595499 46.8708509, 7.5596087 46.8705772)",30,,,
25937824,,Industriestrasse,residential,False,True,177.191,"LINESTRING (7.5593718 46.8716711, 7.5587816 46.8710898, 7.5586154 46.870921, 7.5581961 46.870495, 7.5581803 46.8704655, 7.5581808 46.8704333, 7.5582001 46.8704008, 7.5582676 46.8703478)",30,,,
20793138,1,Kreuzweg,residential,False,False,62.449,"LINESTRING (7.5608968 46.8725131, 7.5606665 46.8730522)",30,,,
755576960,1,Belpbergstrasse,tertiary,True,False,74.193,"LINESTRING (7.5608968 46.8725131, 7.5606323 46.872333, 7.5604137 46.8721968, 7.5603366 46.872166, 7.5602502 46.8721471, 7.5601272 46.8721257)",30,,,
20793222,1,Belpbergstrasse,tertiary,True,False,108.76400000000001,"LINESTRING (7.5618467 46.8732423, 7.5614465 46.872892, 7.5613771 46.8728463, 7.5610575 46.8726246, 7.5610342 46.8726084, 7.5608968 46.8725131)",30,,,
25953092,1,Chutzenweg,residential,True,False,93.206,"LINESTRING (7.5618467 46.8732423, 7.5617911 46.8732557, 7.5617444 46.8732595, 7.5616957 46.8732547, 7.5606665 46.8730522)",30,,,
"[754935374, 754935375, 754935376, 660502065, 20794196, 310675476, 754935380]",,Bahnhofplatz,tertiary,True,False,88.70200000000001,"LINESTRING (7.5601272 46.8721257, 7.560053 46.8723576, 7.5600258 46.8724419, 7.5599906 46.8725418, 7.5599667 46.8726087, 7.5599326 46.8727032, 7.5598918 46.8728064, 7.5598515 46.8729006)",30,,,
"[613269737, 925961067]",2,Belpbergstrasse,tertiary,False,False,166.674,"LINESTRING (7.5601272 46.8721257, 7.5602334 46.8718217, 7.5602412 46.8718023, 7.5605467 46.8709503, 7.5605609 46.8708991, 7.5605624 46.8708438, 7.5605509 46.8707998, 7.560528 46.8707505, 7.5604927 46.8706688)",30,,,
