osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,lanes
906441627,AN 17,Neuendettelsauer Straße,tertiary,50,False,False,93.29899999999999,"LINESTRING (10.7920462 49.3342898, 10.7922005 49.3340241, 10.7923104 49.3337375, 10.7923806 49.333482)",,
906441627,AN 17,Neuendettelsauer Straße,tertiary,50,False,True,71.999,"LINESTRING (10.7920462 49.3342898, 10.7918223 49.3346044, 10.7915782 49.3348596)",,
"[120828505, 120828506, 906441630]",,"['Randstraße', 'Schönbühlstraße']",residential,,False,"[False, True]",507.5320000000001,"LINESTRING (10.7915782 49.3348596, 10.7914494 49.3348209, 10.7902706 49.3344507, 10.7889648 49.3340335, 10.7887997 49.3340178, 10.7886627 49.3340388, 10.7885983 49.3340755, 10.7885418 49.3341561, 10.7886789 49.3345195, 10.7889708 49.3351742, 10.7894153 49.3361715, 10.7894902 49.3363396, 10.789513 49.3363948)",,
121834860,AN 17,Neuendettelsauer Straße,tertiary,50,False,True,227.83400000000003,"LINESTRING (10.7915782 49.3348596, 10.7910391 49.3353367, 10.7908178 49.335522, 10.7904185 49.3358215, 10.7903669 49.3358578, 10.7899622 49.3361495, 10.7896309 49.3363391, 10.789513 49.3363948)",,
906441627,AN 17,Neuendettelsauer Straße,tertiary,50,False,False,71.999,"LINESTRING (10.7915782 49.3348596, 10.7918223 49.3346044, 10.7920462 49.3342898)",,
"[120828505, 120828506, 906441630]",,"['Randstraße', 'Schönbühlstraße']",residential,,False,"[False, True]",507.532,"LINESTRING (10.789513 49.3363948, 10.7894902 49.3363396, 10.7894153 49.3361715, 10.7889708 49.3351742, 10.7886789 49.3345195, 10.7885418 49.3341561, 10.7885983 49.3340755, 10.7886627 49.3340388, 10.7887997 49.3340178, 10.7889648 49.3340335, 10.7902706 49.3344507, 10.7914494 49.3348209, 10.7915782 49.3348596)",,
121834860,AN 17,Neuendettelsauer Straße,tertiary,50,False,False,227.834,"LINESTRING (10.789513 49.3363948, 10.7896309 49.3363391, 10.7899622 49.3361495, 10.7903669 49.3358578, 10.7904185 49.3358215, 10.7908178 49.335522, 10.7910391 49.3353367, 10.7915782 49.3348596)",,
121834861,AN 17,Neuendettelsauer Straße,tertiary,50,False,True,97.42999999999999,"LINESTRING (10.789513 49.3363948, 10.7893821 49.3364425, 10.7892668 49.336484, 10.7885697 49.336722, 10.7884927 49.3367599, 10.7884126 49.336785, 10.788322 49.3367853)",,
"[42790120, 48229870]",AN 17,Neuendettelsauer Straße,tertiary,50,False,False,46.495999999999995,"LINESTRING (10.7876982 49.3367271, 10.7879987 49.336727, 10.7881574 49.3367399, 10.7882318 49.3367711, 10.788322 49.3367853)",,
122296011,AN 17,Badstraße,tertiary,30,False,True,141.142,"LINESTRING (10.7876982 49.3367271, 10.7877146 49.3367797, 10.787729 49.3368456, 10.7877229 49.3369336, 10.7877063 49.3370594, 10.7876507 49.3372182, 10.7875618 49.3373553, 10.7874483 49.3375477, 10.7873442 49.3377445, 10.7872366 49.3379411)",,
