osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,ref,lanes,tunnel
547516450,Schulstraße,residential,30,False,True,59.089,"LINESTRING (9.5908489 48.707139, 9.5908258 48.7069294, 9.5908111 48.7067967, 9.5908076 48.7067651, 9.5907904 48.706609)",,,,,
812893691,Ulmer Straße,secondary,50,False,False,88.937,"LINESTRING (9.5908489 48.707139, 9.5907793 48.7071434, 9.5905598 48.7071571, 9.5904296 48.7071653, 9.5903215 48.7071721, 9.5901296 48.7071841, 9.5900876 48.7071868, 9.5897418 48.7072085, 9.5896423 48.7072147)",,,,,
812893692,Ulmer Straße,secondary,50,False,True,42.565,"LINESTRING (9.5908489 48.707139, 9.591253 48.7071158, 9.591404 48.7071071, 9.5914268 48.7071058)",,,,,
4057182,Ulmer Straße,residential,,False,False,8.872,"LINESTRING (9.5850431 48.7062879, 9.5849964 48.7062143)",,,,,
1268215336,,secondary,,True,False,31.357000000000003,"LINESTRING (9.5850431 48.7062879, 9.5850965 48.7062869, 9.5851473 48.7062978, 9.5851894 48.7063195, 9.5852179 48.7063493, 9.5852293 48.7063837, 9.5852223 48.7064187, 9.5851977 48.70645, 9.5851585 48.7064739)",roundabout,,,,
4057182,Ulmer Straße,residential,,False,True,98.095,"LINESTRING (9.584537 48.7053901, 9.5846883 48.7055716, 9.5847455 48.7056742, 9.584819 48.7058061, 9.5848605 48.7058805, 9.5848971 48.7059801, 9.584949 48.7061212, 9.5849964 48.7062143)",,,,,
"[13268002, 488700232, 170419629, 25372440, 8209148]",Sparwieser Straße,residential,50,False,False,105.096,"LINESTRING (9.584537 48.7053901, 9.5846163 48.7053303, 9.5849224 48.7051531, 9.5849544 48.7051392, 9.585344 48.7049343, 9.5854408 48.7048747, 9.5855093 48.7048196, 9.5855517 48.7047401)",,yes,,,
46269418,Stuttgarter Straße,residential,30,False,True,112.613,"LINESTRING (9.584537 48.7053901, 9.5844661 48.7053366, 9.5843856 48.7052606, 9.5842465 48.7051726, 9.5841479 48.7051101, 9.5840114 48.7050411, 9.5837395 48.7049043, 9.583327 48.7047974)",,,,,
817313166,Ulmer Straße,secondary,50,False,True,14.263,"LINESTRING (9.5851585 48.7064739, 9.5852806 48.7065737)",,,,,
1268215337,,secondary,,True,False,16.974999999999998,"LINESTRING (9.5851585 48.7064739, 9.5851163 48.7064864, 9.5850704 48.7064902, 9.5850249 48.7064848, 9.5849838 48.7064708, 9.5849507 48.7064494)",roundabout,,,,
28134762,Wilhelmstraße,residential,30,False,True,61.313,"LINESTRING (9.5884447 48.7072953, 9.5883513 48.7069483, 9.5882986 48.7067524)",,,,,
45789671,Ulmer Straße,secondary,50,False,False,79.44,"LINESTRING (9.5884447 48.7072953, 9.5883532 48.7072947, 9.5877813 48.7072913, 9.5873697 48.7072389)",,,,,
