osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,tunnel,access
60491100,True,4,B 3,Bismarckallee,primary,50,False,13.395,"LINESTRING (7.8438817 47.9995727, 7.8438143 47.999461)",,,
"[30277613, 4096495]",True,2,K 9859,Zur Unterführung,secondary,50,False,25.750999999999998,"LINESTRING (7.8438817 47.9995727, 7.8437868 47.9996235, 7.8436746 47.999694, 7.8436263 47.9997285)",,,
"[801420093, 4881245]",False,,,Colombistraße,residential,30,False,104.40100000000001,"LINESTRING (7.8458297 47.999044, 7.8457325 47.9988006, 7.8457048 47.998699, 7.8456295 47.9981175)",6,,
"[42487865, 42487869, 39223429, 240147659]",True,2,B 3,Friedrichstraße,primary,50,False,122.16500000000002,"LINESTRING (7.8458297 47.999044, 7.8459688 47.9990193, 7.8461005 47.998996, 7.8463536 47.9989523, 7.8464995 47.9989277, 7.8468311 47.9988729, 7.8471433 47.9988266, 7.8474256 47.9987866)",,,
213523792,True,1,,Auf der Zinnen,residential,30,False,42.777,"LINESTRING (7.8554764 47.9974064, 7.8555966 47.9972914, 7.855717 47.9971681, 7.8557766 47.9970796)",,,
240800876,True,3,,Leopoldring,primary,50,False,36.173,"LINESTRING (7.8554764 47.9974064, 7.8557341 47.9973308, 7.8559228 47.9972776)",,,
51984105,True,2,,Auf der Zinnen,primary_link,,False,12.283,"LINESTRING (7.8560055 47.9973732, 7.8559228 47.9972776)",,,
"[243604096, 51984029]",True,2,,Leopoldring,primary,50,False,124.60300000000001,"LINESTRING (7.8560055 47.9973732, 7.8552403 47.9975954, 7.854671 47.9977629, 7.8546123 47.9977788, 7.8544688 47.9978184)",,,
51984106,True,2,,Auf der Zinnen,primary_link,,False,12.103,"LINESTRING (7.8560435 47.9972429, 7.8561091 47.9973425)",,,
"[51984091, 243604085, 243604083]",True,"['2', '3']",,Auf der Zinnen,residential,30,False,52.473,"LINESTRING (7.855686 47.996845, 7.8557882 47.9969036, 7.8558689 47.9969748, 7.8559419 47.9970826, 7.8559807 47.9971448, 7.8560435 47.9972429)",,,
"[1090799120, 26963881]",False,,,Hermannstraße,residential,30,False,63.333,"LINESTRING (7.8550608 47.9967542, 7.8550553 47.9966306, 7.8550299 47.9965163, 7.855368 47.9963629, 7.8554385 47.9963309)",,,
"[243604084, 160413486]",False,2,,Auf der Zinnen,residential,30,True,38.080999999999996,"LINESTRING (7.8550608 47.9967542, 7.8551714 47.996756, 7.8553069 47.9967752, 7.8554522 47.9968053, 7.855552 47.9968371)",,,
"[158258860, 243604086]",False,2,,Auf der Zinnen,residential,30,False,64.544,"LINESTRING (7.8550608 47.9967542, 7.8548794 47.9967679, 7.8547128 47.9967975, 7.8545656 47.9968335, 7.8543421 47.9969133, 7.8542541 47.9969484)",,,
4784141,False,,,Herrenstraße,residential,30,True,21.732,"LINESTRING (7.8542541 47.9969484, 7.8542054 47.9968693, 7.8541528 47.9967652)",,,
"[243604082, 158258859, 243604087]",False,"['2', '3']",,Auf der Zinnen,residential,30,False,93.816,"LINESTRING (7.8542541 47.9969484, 7.8541743 47.9969898, 7.8538585 47.9971372, 7.8537773 47.9971742, 7.8535474 47.9972573, 7.8534037 47.9972886, 7.8532529 47.9973084, 7.8531461 47.9973273)",,,
"[158258860, 243604086]",False,2,,Auf der Zinnen,residential,30,True,64.54400000000001,"LINESTRING (7.8542541 47.9969484, 7.8543421 47.9969133, 7.8545656 47.9968335, 7.8547128 47.9967975, 7.8548794 47.9967679, 7.8550608 47.9967542)",,,
"[513969391, 30314471]",True,"['2', '3']",,Leopoldring,primary,"['50', '30']",False,120.375,"LINESTRING (7.8544688 47.9978184, 7.8539873 47.9979744, 7.8538208 47.9980241, 7.8537224 47.9980505, 7.8536438 47.9980716, 7.8535632 47.9980912, 7.8534829 47.9981087, 7.853425 47.9981182, 7.8533454 47.9981282, 7.8532213 47.9981423, 7.8531846 47.998146, 7.8531246 47.9981519, 7.8529503 47.9981649)",,,
