osmid,lanes,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry,width,bridge,junction
156819942,2,B 112,Berliner Straße,primary,50,yes,False,False,56.696,"LINESTRING (14.6416953 51.7398076, 14.6420624 51.740264)",,,
27248707,2,,Amtstraße,residential,50,yes,False,False,175.19900000000004,"LINESTRING (14.6416953 51.7398076, 14.6418022 51.7398031, 14.6421466 51.7398075, 14.6424916 51.7398471, 14.642892 51.739913, 14.6430752 51.7399675, 14.6434339 51.7401228, 14.6435874 51.7402205, 14.6436866 51.7402643, 14.6437787 51.7402915, 14.6439532 51.7403055, 14.6440194 51.7403107)",,,
1043651490,2,,Albertstraße,residential,50,yes,False,False,108.964,"LINESTRING (14.6416953 51.7398076, 14.6416089 51.7398123, 14.6401347 51.739969)",,,
30640682,2,,Käthe-Kollwitz-Straße,residential,50,yes,False,False,124.419,"LINESTRING (14.6420624 51.740264, 14.6402919 51.7404877)",,,
156819942,2,B 112,Berliner Straße,primary,50,yes,False,True,56.696,"LINESTRING (14.6420624 51.740264, 14.6416953 51.7398076)",,,
"[257282881, 156819942]","['2', '3']",B 112,Berliner Straße,primary,50,yes,False,False,87.502,"LINESTRING (14.6420624 51.740264, 14.6423356 51.7406012, 14.6426328 51.7409672)",,,
223397143,2,,Bahnhofstraße,residential,50,yes,False,False,110.305,"LINESTRING (14.63974 51.7452282, 14.6397038 51.7451616, 14.6395444 51.7446983, 14.6393937 51.7442601)",,,
"[257282904, 151936507]","['2', '3']",B 112,Cottbuser Straße,primary,50,yes,False,True,381.356,"LINESTRING (14.63974 51.7452282, 14.6398138 51.7452189, 14.6414802 51.7450086, 14.6419939 51.7449438, 14.6421947 51.7449185, 14.6422882 51.7449067, 14.6428855 51.7448313, 14.6432193 51.7447892, 14.6434371 51.7447617, 14.6441496 51.7446718, 14.6442902 51.7446547, 14.6449144 51.7445787, 14.6449451 51.744575, 14.6451679 51.7445446)",,,
"[154488765, 315063055]","['2', '3']",,Bahnhofstraße,residential,50,yes,False,True,44.669,"LINESTRING (14.63974 51.7452282, 14.6397658 51.7452982, 14.6398658 51.7455702, 14.6398872 51.7456194)",,,
27248742,2,,Lindenstraße,residential,50,yes,False,True,19.165,"LINESTRING (14.6486778 51.7471115, 14.6487038 51.7472831)",,,
57055138,2,,Gymnasialstraße,residential,50,yes,True,False,98.76599999999999,"LINESTRING (14.6486778 51.7471115, 14.6478589 51.7470535, 14.64783 51.7470515, 14.6472507 51.7470217)",,,
187999750,2,,Pestalozziplatz,residential,50,yes,False,False,97.36500000000001,"LINESTRING (14.6486778 51.7471115, 14.6486687 51.7468267, 14.6486616 51.7466047, 14.6486444 51.7465649, 14.6485765 51.7464066, 14.6485077 51.7462485)",,,
187999745,2,,Lindenplatz,residential,50,yes,False,False,14.021,"LINESTRING (14.6485077 51.7462485, 14.6484601 51.7461259)",,,
187999750,2,,Pestalozziplatz,residential,50,yes,False,True,97.365,"LINESTRING (14.6485077 51.7462485, 14.6485765 51.7464066, 14.6486444 51.7465649, 14.6486616 51.7466047, 14.6486687 51.7468267, 14.6486778 51.7471115)",,,
315063062,3,,Frankfurter Straße,residential,50,yes,False,True,32.952,"LINESTRING (14.6460957 51.7465457, 14.6459972 51.7468357)",,,
34000817,2,,Hochstraße,residential,50,yes,True,False,70.936,"LINESTRING (14.6460957 51.7465457, 14.6469683 51.7464502, 14.6471094 51.7464317)",,,
"[314044994, 314045003, 314044997, 315063063]","['2', '3']",,Frankfurter Straße,residential,50,yes,False,False,154.098,"LINESTRING (14.6460957 51.7465457, 14.6461 51.7463011, 14.6460463 51.7460967, 14.6460331 51.7460588, 14.6460035 51.7459736, 14.6459803 51.7458977, 14.6458559 51.7455748, 14.6457064 51.7452855, 14.6456524 51.7451963)",,,
315063062,3,,Frankfurter Straße,residential,50,yes,False,False,32.952,"LINESTRING (14.6459972 51.7468357, 14.6460957 51.7465457)",,,
1047186802,2,,Frankfurter Straße,residential,50,,False,True,26.161,"LINESTRING (14.6459972 51.7468357, 14.6458246 51.7470453)",,,
1047186802,2,,Frankfurter Straße,residential,50,,False,False,26.161,"LINESTRING (14.6458246 51.7470453, 14.6459972 51.7468357)",,,
141148858,2,,Otto-Nagel-Straße,residential,,,False,False,267.05100000000004,"LINESTRING (14.6458246 51.7470453, 14.6455568 51.7470207, 14.6442688 51.7471868, 14.642989 51.7473439, 14.6420199 51.7474629)",,,
37975940,2,,Max-Fritz-Hammer-Straße,residential,30,,False,False,122.251,"LINESTRING (14.6456531 51.740346, 14.6457583 51.7403498, 14.6458129 51.7403522, 14.6474255 51.7404107)",6,,
37975940,2,,Max-Fritz-Hammer-Straße,residential,30,,False,True,89.673,"LINESTRING (14.6456531 51.740346, 14.645599 51.7403453, 14.6455235 51.7403443, 14.6445212 51.740331, 14.6444103 51.7403253, 14.6443519 51.7403205)",6,,
262089999,1,,Planckstraße,residential,30,,True,False,107.36400000000002,"LINESTRING (14.6456531 51.740346, 14.6456499 51.7403602, 14.6456457 51.7403787, 14.6454745 51.7411358, 14.6453225 51.7412172, 14.6452692 51.7412457)",3,,
154488765,2,,Bahnhofstraße,residential,50,yes,False,True,39.108,"LINESTRING (14.6398872 51.7456194, 14.6400184 51.7459616)",,,
"[154488765, 315063055]","['2', '3']",,Bahnhofstraße,residential,50,yes,False,False,44.669000000000004,"LINESTRING (14.6398872 51.7456194, 14.6398658 51.7455702, 14.6397658 51.7452982, 14.63974 51.7452282)",,,
154240276,2,,Roßstraße,residential,50,yes,False,True,53.999,"LINESTRING (14.6401347 51.739969, 14.6402793 51.7404463)",,,
1043651490,2,,Albertstraße,residential,50,yes,False,True,108.964,"LINESTRING (14.6401347 51.739969, 14.6416089 51.7398123, 14.6416953 51.7398076)",,,
